pair_id,solo_accuracy,solo_precision,solo_recall,solo_f1,similarity,fedavg_accuracy,fedavg_precision,fedavg_recall,fedavg_f1,fedprox_accuracy,fedprox_precision,fedprox_recall,fedprox_f1,scaffold_accuracy,scaffold_precision,scaffold_recall,scaffold_f1,fedov_accuracy,fedov_precision,fedov_recall,fedov_f1,combined_accuracy,combined_precision,combined_recall,combined_f1
33039_42649,1.0,1.0,1.0,1.0,0.997524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6310679611650486,0.594365124690653,0.6310679611650486,0.6114644294847942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24573_39259,1.0,1.0,1.0,1.0,0.9976423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2169811320754717,0.32951189499589834,0.21698113207547168,0.2546764772290504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21772_86502,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.18518518518518517,0.9977296,0.5555555555555556,0.8222222222222223,0.5555555555555556,0.6137566137566137,0.5555555555555556,0.8222222222222223,0.5555555555555556,0.6137566137566137,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.17777777777777778,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.19753086419753085,0.4444444444444444,0.27350427350427353
30153_40688,0.7112676056338029,0.7137397813454152,0.7112676056338029,0.7107658114134932,0.9979287,0.7535211267605634,0.7536203134298749,0.7535211267605634,0.753533351076054,0.7605633802816901,0.7608651911468813,0.7605633802816901,0.7605633802816901,0.4507042253521127,0.424496581611686,0.4507042253521127,0.38971154113621825,0.7464788732394366,0.7642445582586428,0.7464788732394366,0.7428112981687595,0.7605633802816901,0.761582211872187,0.7605633802816901,0.7604683657500558
11618_20890,0.5203252032520326,0.5342220737275865,0.5203252032520326,0.5170835131130083,0.99801624,0.6016260162601627,0.6022354481918025,0.6016260162601627,0.6018910864469613,0.6016260162601627,0.6022354481918025,0.6016260162601627,0.6018910864469613,0.44715447154471544,0.46117622215183196,0.44715447154471544,0.4218608852755194,0.6097560975609756,0.6067951136880088,0.6097560975609756,0.6041766300015942,0.6341463414634146,0.6376933097728651,0.6341463414634146,0.6348735401486396
00007_00440,1.0,1.0,1.0,1.0,0.99820536,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4869109947643979,0.722024772508206,0.4869109947643979,0.48809244971066407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15292_16281,0.0,0.0,0.0,0.0,0.99787295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73178_73434,1.0,1.0,1.0,1.0,0.99754035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2535211267605634,0.06881287726358148,0.2535211267605634,0.10824497547080235,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60287_68965,0.5327868852459017,0.5524199223331335,0.5327868852459017,0.5144451393436947,0.99766195,0.5245901639344263,0.5201765447667087,0.5245901639344263,0.5153996948583174,0.5327868852459017,0.5295384257644459,0.5327868852459017,0.5268006671945815,0.47540983606557374,0.4451450189155107,0.47540983606557374,0.4279469164715066,0.4672131147540984,0.4684224670787423,0.4672131147540984,0.4675354732056757,0.5327868852459017,0.5358686754717816,0.5327868852459017,0.5325671384338827
77347_78640,0.6097560975609756,0.618378911061838,0.6097560975609756,0.5965011500111422,0.99756634,0.5934959349593496,0.6068722196655929,0.5934959349593496,0.5923667570009034,0.6178861788617886,0.6370085755652076,0.6178861788617886,0.6153038155307015,0.5121951219512195,0.4813172374147984,0.5121951219512195,0.46165148398471934,0.5853658536585366,0.5840830568193479,0.5853658536585366,0.5583890061412,0.6341463414634146,0.6504967893665936,0.6341463414634146,0.632693868790074
