Gene_Type,Gene_Description,Genomic_Start_Position,Strand_Orientation,Gene_Db_Id,Gene_Classification,Genomic_End_Position
0,0,1711409,0,9,0,1713823
1,0,29866,1,99,1,32772
0,0,371611,1,30,0,373899
0,0,719244,1,77,0,721934
0,0,425755,0,90,0,428427
0,0,1514173,1,45,0,1516533
0,0,462814,0,162,0,465591
0,0,51578,1,33,0,54199
1,0,949273,1,117,1,952113
0,0,1022305,0,233,0,1024944
1,0,197364,1,37,1,199898
0,0,402206,0,119,0,404584
0,0,470631,0,202,0,473501
0,0,243767,0,89,0,246580
0,0,30969,0,28,0,33755
0,0,353552,0,244,0,355891
0,0,990858,1,46,0,993191
1,0,1098211,1,194,1,1100880
1,0,1120611,0,221,1,1123469
0,0,1158613,0,167,0,1161129
1,0,30248,1,216,1,32977
0,0,30843,1,27,0,33431
0,0,182293,0,6,0,184674
0,0,1755496,1,188,0,1757922
0,0,550610,0,174,0,553480
0,0,13502,0,31,0,16153
0,0,290183,1,245,0,292921
0,0,253732,0,179,0,256062
0,0,22811,0,52,0,25495
0,0,6085,1,195,0,8691
0,0,177890,1,213,0,180436
0,0,12538,1,212,0,15222
0,0,847319,0,205,0,849988
0,0,1963551,1,104,0,1966199
0,0,544250,0,143,0,546874
1,0,1011738,0,135,1,1014233
0,0,516413,0,251,0,519004
0,0,1173581,0,166,0,1176004
0,0,79808,1,138,0,82609
1,0,314314,0,120,1,316755
0,0,620053,0,43,0,622377
0,0,480707,1,98,0,483376
0,0,1311887,0,92,0,1314205
0,0,1013150,1,209,0,1015945
0,0,201761,1,65,0,204433
0,0,1797939,1,109,0,1800605
0,0,122370,1,83,0,125132
1,0,14982,0,23,1,17633
0,0,1423,0,122,0,4209
0,0,185287,0,232,0,187941
0,0,1032837,0,60,0,1035713
0,0,422410,0,136,0,425184
0,0,510834,0,257,0,513629
0,0,566338,1,173,0,568671
0,0,1112378,0,220,0,1115182
1,0,429818,0,159,1,432436
0,0,215884,1,57,0,218715
1,0,84020,1,153,1,86749
1,0,393418,0,72,1,396102
1,0,104540,0,254,1,107074
0,0,600077,0,44,0,602587
1,0,387120,0,164,1,389747
0,0,419294,0,200,0,422008
0,0,1063010,0,198,0,1065877
0,0,375975,0,163,0,378614
0,0,306937,0,111,0,309384
0,0,583331,1,84,0,585607
0,0,4697,0,21,0,7162
0,0,647633,1,41,0,650434
0,0,20606,1,218,0,23290
0,0,7462,0,63,0,9867
1,0,439932,1,201,1,442799
0,0,1692543,1,8,0,1695278
0,0,697620,0,16,0,700388
0,0,11996,0,49,0,14845
0,0,5759,0,214,0,8092
1,0,11352,1,197,1,13979
0,0,1042786,0,208,0,1045611
0,0,12438,0,88,0,15062
0,0,1059124,0,113,0,1061168
0,0,5269,1,172,0,8115
0,0,376740,1,170,0,379418
0,0,2044399,1,185,0,2047179
0,0,582301,0,204,0,585177
0,0,472298,0,142,0,475012
0,0,1322082,0,91,0,1324430
0,0,1093946,1,235,0,1096585
1,0,6749,1,196,1,9580
0,0,48174,1,152,0,50888
0,0,1060310,1,234,0,1062895
0,0,756089,0,47,0,758419
0,0,9967,0,151,0,12594
0,0,6579,1,217,0,9089
1,0,42286,0,125,1,45075
1,0,1575672,1,101,1,1578209
0,0,1825916,0,108,0,1828534
0,0,463714,0,177,0,466038
0,0,1862957,0,106,0,1865809
0,0,138117,0,253,0,139709
1,0,288478,0,118,1,290907
0,0,1169280,1,40,0,1171520
0,0,2057611,1,184,0,2060220
0,0,798375,0,165,0,800723
0,0,9363,1,12,0,12158
0,0,19363,0,86,0,21771
0,0,485541,0,203,0,488327
0,0,451748,0,158,0,454333
0,0,259847,0,243,0,262330
0,0,566233,0,259,0,568854
0,0,13513,1,145,0,16377
0,0,177754,1,36,0,180486
0,0,1594209,0,186,0,1596686
0,0,299487,0,242,0,301826
0,0,733583,0,81,0,736453
0,0,1126764,1,169,0,1129346
0,0,18310,0,59,0,20976
0,0,2932,0,150,0,5331
0,0,627020,1,114,0,629809
0,0,1822929,0,187,0,1825289
1,0,588504,0,258,1,590672
0,0,4166,1,121,0,6553
0,0,1149583,0,222,0,1152306
0,0,10931,1,156,0,13678
0,0,465485,0,70,0,468388
1,0,473501,0,149,1,476059
