Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,0,1097,13,13,7,55,1,0
0,0,30308,53,53,6,10,27168,1
1,0,81368,21,21,2,83,80808,1
0,0,763,10,10,1,24,5,0
0,0,703218,19,19,8,26,701626,0
1,0,5286,82,82,2,29,4336,1
1,0,93861,100,100,2,50,92599,1
0,0,716461,49,49,6,51,713525,0
0,0,581462,112,112,5,23,578019,0
0,0,212280,148,148,8,31,211864,0
1,0,38881,133,133,2,59,36347,0
0,0,297517,81,81,6,87,294389,0
0,0,83014,122,122,8,90,81473,1
0,0,720,141,141,8,27,1,1
0,0,666404,22,22,8,25,665952,0
1,0,30302,0,0,2,86,29316,1
1,0,5807,131,131,2,34,3882,1
1,0,118859,98,98,2,35,115842,1
0,0,9728,42,42,6,40,6585,0
0,0,12029,47,47,8,88,11478,0
0,0,315827,126,126,6,79,312663,0
1,0,4234,78,78,2,45,3116,1
1,0,99546,110,110,2,27,97369,0
1,0,32123,59,59,2,51,29739,1
1,0,929052,124,124,2,86,925927,0
0,0,4123,90,90,5,1,1628,1
0,0,116617,56,56,6,44,113450,0
1,0,8113,65,65,2,91,5945,0
0,0,4229,138,138,6,52,1371,1
0,0,33235,7,7,8,78,30782,1
0,0,1206,16,16,8,87,1,0
1,0,789292,97,97,2,10,788021,0
1,0,53098,127,127,2,23,49949,1
1,0,99066,113,113,2,82,97825,1
0,0,318588,153,153,6,43,315535,0
0,0,1289,11,11,8,92,3,0
0,0,546,143,143,8,63,1,1
1,0,383983,5,5,2,60,383429,1
1,0,213521,149,149,2,51,212382,0
1,0,57661,44,44,2,57,55166,1
1,0,74545,151,151,2,68,72053,1
1,0,8781,28,28,2,49,5653,0
0,0,599,1,1,7,32,3,0
0,0,81855,146,146,6,14,78709,1
1,0,341238,29,29,2,73,338959,1
0,0,227216,79,79,8,69,225387,0
1,0,5181,105,105,2,88,4192,0
1,0,99079,54,54,2,3,97820,1
0,0,35758,6,6,7,78,35156,1
1,0,46653,88,88,2,17,44743,1
0,0,521345,25,25,6,56,518232,0
0,1,54155,58,58,6,38,50976,1
