Entity_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
1,1662950,13,2,1661937,1
0,384182,75,4,382887,0
0,1957918,57,8,1956215,0
0,740372,23,9,739299,0
0,1356346,48,8,1354634,1
0,401051,45,0,400292,0
1,545819,22,24,544815,0
0,807440,72,17,806025,0
1,120630,14,24,119065,0
0,2350,5,13,965,0
0,183296,63,19,181743,1
0,96204,71,5,95182,1
1,2122182,2,2,2120788,1
0,434782,74,10,433358,0
1,373406,51,2,371496,1
0,276965,34,14,276033,1
0,2133734,55,1,2133172,1
1,1720929,30,24,1719919,0
0,802557,79,16,801154,0
0,432759,19,22,431323,0
1,428550,44,2,427162,0
0,406809,78,11,405529,0
0,423414,18,1,422794,0
0,488962,26,1,488378,0
1,603942,61,2,602953,1
0,649350,3,10,647746,1
0,1053526,27,18,1052240,1
0,428424,40,21,427006,0
0,532018,81,10,530630,0
1,6897,4,24,5479,0
1,413826,41,2,412408,0
1,1480218,11,2,1478512,1
1,1111176,69,24,1109698,0
0,168069,0,12,166519,0
0,406516,39,10,405110,0
1,5338,43,24,4406,1
1,461547,46,2,460189,0
1,21584,9,2,19890,1
0,489416,6,0,489063,0
0,3277,17,21,1805,0
0,375903,7,6,374896,1
0,445437,42,11,444157,0
1,464293,20,2,462872,1
0,5790,24,17,4375,1
1,17774,66,2,16488,1
0,1623870,29,10,1622425,0
0,1178108,70,18,1176633,0
0,1206373,50,0,1204937,0
0,915863,35,1,915636,0
0,10843,64,0,9875,1
0,2077637,31,10,2076276,0
0,161,65,1,3,1
0,4346,59,20,2898,0
1,411951,36,2,410611,0
1,1613551,56,2,1612028,0
1,486119,28,24,484647,1
0,21672,12,0,20227,1
0,848504,1,10,847224,1
0,1885991,15,12,1884423,1
0,229325,58,21,227910,0
0,42175,60,20,40730,0
0,1861827,33,13,1860490,0
1,2138530,54,2,2137184,1
1,6645,68,2,5179,1
1,401095,21,2,399644,0
1,440871,73,2,439477,0
0,129767,80,15,128835,0
0,1181813,53,0,1181490,1
1,377047,76,2,375671,0
0,407538,25,0,407386,1
1,395492,77,2,394080,0
1,19699,10,2,17999,0
1,1461,38,2,1,0
0,1673448,16,6,1672462,0
0,56906,8,19,55425,1
1,5370,62,2,3925,0
1,587224,82,2,585836,0
0,1876953,32,21,1875676,0
0,1345315,49,3,1343381,1
1,385849,47,2,384458,0
0,18574,37,1,17966,0
0,1142020,52,23,1140743,0
0,39044,67,7,37485,1
