StrandOrientation,GenomicEndPosition,GeneDbId,ChromosomeLocation,EncodedProtein,GeneType,GenomicStartPosition
1,520756,28,2,3,0,519809
0,434643,30,4,3,0,432829
1,11546763,14,7,3,0,11545570
1,16157563,18,7,4,0,16156159
0,6549201,8,7,3,0,6548746
1,2780894,6,7,4,0,2779937
1,1579373,2,7,2,0,1578207
1,22979736,24,7,3,0,22978261
0,2646920,4,7,8,0,2645877
0,559806,32,6,5,1,558834
0,2775423,5,7,3,0,2774086
0,15089831,17,7,3,0,15088605
1,11438889,13,7,7,0,11438077
0,73871,0,0,0,0,73416
0,12197203,16,7,6,0,12196105
1,23628449,25,7,4,0,23628117
1,1120997,29,3,3,0,1120479
1,3138110,34,6,3,0,3137298
1,16867243,19,7,3,0,16866602
0,3848398,1,1,2,0,3847910
1,21906493,23,7,4,0,21905750
1,7635530,11,7,3,0,7634784
1,8559,27,2,3,0,7741
1,17983993,20,7,3,0,17983292
0,9721730,12,7,6,0,9720415
0,18607403,21,7,3,0,18606726
0,2858803,33,6,3,0,2858432
1,7636842,10,7,2,0,7635970
1,5649719,7,7,3,0,5648142
1,24599377,26,7,1,0,24599018
1,7139860,9,7,3,0,7138967
0,1966177,31,5,3,0,1965272
1,1833747,3,7,3,0,1832821
0,11705435,15,7,7,0,11704542
0,21871006,22,7,4,0,21870218
