Gender,Biography,BirthDate,ViafId,FirstName,Citizenship,FullName,Birthplace,Profession
1,514,721,101714038.0,192,19,710,259,152
1,150,673,18095789.0,190,19,147,320,106
0,162,943,4.669154260521824e+21,308,0,980,290,52
1,111,340,13708412.0,190,0,207,409,73
1,506,730,53664042.0,236,20,861,537,46
1,97,902,,242,0,875,290,68
1,356,62,311600692.0,92,13,332,290,68
1,108,1047,,190,0,631,320,71
1,254,257,301389535.0,63,1,257,320,146
1,162,295,,145,19,562,76,111
1,85,820,,124,0,460,290,65
1,27,231,171660710.0,15,1,107,565,111
1,522,898,,169,0,598,320,23
1,67,708,,16,19,86,586,46
1,189,892,,297,0,1135,133,152
1,162,706,6845426.0,24,0,140,148,111
0,52,844,,114,0,391,521,27
1,344,209,250576105.0,15,11,59,198,152
1,344,94,71240850.0,190,16,643,584,152
1,198,971,306419718.0,82,0,304,290,68
1,257,904,5.005154260348424e+21,242,0,834,68,146
1,192,898,,18,0,93,290,112
1,97,975,5.247165628848641e+21,176,0,649,66,68
1,557,197,27040851.0,116,19,402,422,29
1,589,233,249585793.0,116,17,399,320,109
1,339,85,,179,11,663,503,115
1,344,783,165219957.0,190,11,1125,290,52
1,433,478,,190,19,538,600,89
0,344,593,112942351.0,190,4,1145,290,134
0,84,660,113881929.0,193,19,718,159,20
1,457,451,233160248.0,190,18,1016,384,76
1,198,675,305022160.0,220,0,795,93,115
1,129,448,,77,0,299,36,96
1,53,1033,2.137159941674025e+21,237,0,863,290,68
1,469,491,,190,19,630,82,152
0,140,747,305463883.0,190,0,9,290,101
1,344,122,,89,16,324,290,107
0,344,930,,284,0,1085,438,9
1,243,103,309860479.0,16,16,80,68,99
1,97,923,,242,0,826,290,93
0,97,1009,5.17816163438261e+21,136,0,484,290,68
1,262,765,4.921447830777415e+20,255,4,942,133,152
1,156,80,80269202.0,283,16,943,244,110
1,249,840,102071498.0,26,0,168,290,146
1,519,84,46853190.0,228,16,819,122,75
1,218,129,235392147.0,49,16,230,281,115
1,213,116,30615042.0,139,16,500,38,110
0,522,957,,193,0,720,320,23
1,544,116,2.0101542605101243e+21,154,16,529,108,115
0,344,778,164036850.0,190,11,885,320,148
0,344,439,161465115.0,84,19,315,209,136
1,344,861,,7,0,24,311,37
1,66,599,,282,0,932,129,45
1,229,732,38592165.0,116,0,419,268,76
1,347,454,84131731.0,16,13,848,221,152
1,140,502,36287932.0,18,0,95,187,101
0,344,906,311806584.0,190,11,313,464,146
1,145,862,249805015.0,254,0,1100,129,101
1,275,803,5.1153895169402405e+19,5,19,708,312,152
0,344,544,311120569.0,246,0,887,290,15
1,344,604,54556496.0,190,0,545,315,146
1,344,522,302008539.0,285,0,1095,438,152
1,344,277,163016678.0,242,0,830,319,99
1,97,736,,173,0,620,582,68
1,344,113,311365160.0,190,16,683,459,130
0,224,1012,,190,0,727,290,132
0,482,738,4.220154387311031e+21,248,19,894,275,146
1,168,243,250481283.0,177,0,659,592,111
1,310,180,215271663.0,190,16,808,443,19
1,308,954,302128585.0,220,0,319,290,57
1,116,395,5.789154260659325e+21,18,18,127,326,102
1,344,211,1.6291542603340243e+21,190,11,560,601,76
1,162,804,121937568.0,256,0,951,546,111
1,344,896,4.391446476993691e+20,190,11,1107,292,111
1,242,1047,,190,0,661,320,141
1,556,258,2.915426072142448e+19,190,11,909,290,152
1,425,384,,277,0,1052,460,46
1,522,991,,191,0,703,320,23
0,302,953,,244,15,226,290,133
1,440,365,4.11145857888923e+20,16,19,116,556,73
0,344,838,311232765.0,190,11,1160,320,65
0,344,551,163989446.0,266,19,1092,126,76
0,522,1021,,129,0,475,320,23
1,300,934,249947711.0,277,0,1045,290,110
