EntityType,ProfileImage,BirthDate,CqRankingMaleCyclistId,LastName,FirstName,FirstCyclingRiderId,EventsParticipated,Gender,CommonsCategory,HeightCm,Birthplace,ProCyclingStatsCyclistId,UciRiderId,Profession,CyclingArchivesCyclistId
1,9,6,23375.0,8,13,33464.0,2,1,11,192.0,13,170733.0,97652.0,1,98722.0
1,11,10,26421.0,7,4,45364.0,2,1,4,190.0,6,194085.0,148901.0,1,100908.0
1,8,3,20861.0,2,12,16816.0,2,1,10,184.0,0,155558.0,86624.0,1,80972.0
1,7,12,,3,8,78803.0,3,1,8,,8,209616.0,227565.0,1,
1,12,11,28641.0,6,1,65033.0,2,1,0,185.0,3,202338.0,156896.0,1,106043.0
0,3,15,,8,10,,0,0,1,,8,,,0,
1,10,0,18633.0,4,9,9347.0,2,1,7,,7,133660.0,66758.0,1,62182.0
1,0,5,21020.0,1,2,16944.0,1,1,2,183.0,10,132304.0,86519.0,1,72901.0
1,1,14,,8,6,,4,1,8,,1,219102.0,649489.0,1,
1,13,2,20147.0,9,7,10920.0,2,1,6,176.0,5,137832.0,75279.0,1,66493.0
1,7,8,,8,0,17008.0,2,1,8,169.0,12,168764.0,86658.0,1,111391.0
1,2,9,24226.0,5,14,37430.0,2,1,12,190.0,11,176913.0,100909.0,1,73080.0
1,5,7,,0,3,27229.0,2,1,3,183.0,9,170557.0,86594.0,1,81814.0
1,6,1,21502.0,11,5,16057.0,2,1,5,197.0,2,130887.0,77543.0,1,54560.0
1,7,13,,8,15,95518.0,3,1,8,,8,216906.0,649412.0,1,
1,4,4,21238.0,10,11,16811.0,2,1,9,178.0,4,132431.0,79514.0,1,80578.0
