Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Genomic_Start_Position
0,1160395,345,345,1159709
0,18293,402,402,17649
0,7200,132,132,6637
0,55025,357,357,54438
0,1464254,86,86,1463646
1,494817,200,200,494134
0,2016292,327,327,2015537
0,9057,386,386,8128
0,4555,130,130,3962
0,683253,96,96,682675
0,844685,366,366,844098
0,112468,399,399,111971
0,4870,338,338,4217
0,2682,261,261,1954
0,158502,17,17,158113
0,1955674,330,330,1955171
1,756041,97,97,755460
1,1368555,307,307,1367977
1,1487064,90,90,1486369
1,44362,298,298,43754
0,265007,255,255,264339
0,128464,414,414,128075
1,1921473,106,106,1920904
0,458814,350,350,458125
0,316703,369,369,316059
0,548591,222,222,548190
0,1604078,114,114,1603452
0,85370,59,59,84681
0,17407,258,258,16820
0,1033564,295,295,1032920
0,1738968,26,26,1738420
1,6677,377,377,6162
1,278070,218,218,277438
0,1731530,334,334,1730895
0,515441,203,203,514617
0,567879,379,379,567310
0,10321,124,124,9749
0,1686468,110,110,1685914
0,7629,226,226,6979
0,1645,354,354,1004
1,376974,53,53,376393
1,807869,23,23,807330
0,431207,424,424,430704
1,39701,50,50,39237
0,307213,256,256,306524
1,782,44,44,129
1,1132814,315,315,1132212
1,36247,70,70,35642
1,170789,66,66,170208
1,717564,267,267,716974
1,1637787,112,112,1637185
0,487905,167,167,487330
1,628319,181,181,627354
0,1932015,105,105,1931470
0,2027,38,38,1341
0,1743790,333,333,1743146
0,521226,204,204,520573
1,1118634,317,317,1117975
0,347837,16,16,347313
0,250738,321,321,250097
1,1579,2,2,1004
0,578960,74,74,578253
1,552848,142,142,552180
0,52129,262,262,51491
1,19103,378,378,18480
0,4829,254,254,4128
1,603114,235,235,602248
0,436400,10,10,435816
0,1148872,408,408,1148204
0,339516,221,221,338926
1,1581481,211,211,1580900
1,1081012,404,404,1080440
0,15668,342,342,15015
1,6518,301,301,5874
1,33001,18,18,32291
1,527500,426,426,526817
1,668902,146,146,668282
0,1995197,213,213,1994529
0,216763,320,320,216122
0,596495,157,157,595866
0,416038,381,381,415541
1,463493,99,99,462885
1,14001,392,392,13402
0,385637,19,19,384969
1,627298,98,98,626603
1,1845,387,387,1489
1,375081,120,120,374536
0,1473130,85,85,1472456
1,1134002,406,406,1133424
0,444695,30,30,444042
0,42175,384,384,41594
0,9261,126,126,8539
0,382637,55,55,382086
1,35038,300,300,34388
0,416102,244,244,415509
1,13194,347,347,12661
1,653543,82,82,652923
1,327963,421,421,327337
0,78452,297,297,77844
0,2893,382,382,2228
1,38888,77,77,38181
1,22995,302,302,22609
1,1066542,403,403,1065931
0,438865,349,349,438233
0,345916,151,151,345353
0,499409,364,364,498789
0,262228,36,36,261515
1,350824,412,412,350453
0,224418,164,164,223792
0,17055,46,46,16375
1,1049,281,281,204
