CyclingDiscipline,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,MemoireDuCyclismeCyclistId,TwitterUsername,BirthPlace,UciRiderId,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,LanguagesSpoken,FirstCyclingRiderId,HeightCm,FreebaseId
2,34,86654.0,29568,13,,235390,13,,10,33,148689,,29,,19,18,154976,5,88703.0,184.0,20
2,2,69634.0,26526,28,5000.0,194619,28,,14,13,149727,66.0,34,146565.0,23,27,115790,7,45992.0,176.0,20
2,26,41886.0,13566,25,128269.0,140495,25,46784.0,27,4,64917,65.0,10,133840.0,1,25,53957,2,2275.0,184.0,11
2,33,51513.0,17627,32,69964.0,135523,33,56613.0,18,11,78566,60.0,15,133843.0,2,32,60103,2,6104.0,183.0,15
2,5,22930.0,7279,10,11722.0,140229,10,1523.0,23,0,58181,57.0,3,,5,10,30554,4,2741.0,170.0,13
2,30,41885.0,13080,29,142323.0,140628,29,54334.0,15,14,64737,65.0,7,,22,28,58535,2,860.0,180.0,8
2,13,52116.0,19994,12,21760.0,132360,12,62863.0,6,20,75170,55.0,24,142859.0,15,12,67513,2,10990.0,173.0,20
3,27,56666.0,18975,0,32176.0,133024,0,64111.0,0,5,70590,58.0,19,133999.0,31,0,65132,1,20147.0,172.0,19
2,17,69190.0,25740,15,,196424,16,,17,12,112082,,31,,29,14,115868,0,38195.0,175.0,20
2,12,11026.0,85,5,,140368,5,15734.0,10,22,11859,,0,,17,5,6132,2,63.0,,7
2,26,41886.0,13566,25,128269.0,140495,25,46784.0,27,4,64917,65.0,10,133840.0,1,25,53957,2,2275.0,184.0,11
2,33,51513.0,17627,32,69964.0,135523,33,56613.0,18,11,78566,60.0,15,133843.0,2,32,60103,2,6104.0,183.0,15
3,7,49095.0,18487,7,,137599,7,65045.0,10,24,65648,58.0,13,132351.0,24,7,45553,5,9451.0,173.0,2
2,11,22917.0,6177,4,25109.0,140232,4,2003.0,3,23,45643,65.0,4,134607.0,6,4,20659,4,1006.0,179.0,12
2,6,47903.0,17632,1,2988.0,137714,1,,12,32,68792,67.0,11,,21,1,61490,2,16566.0,190.0,20
2,18,65180.0,23357,17,11187.0,135597,18,,7,19,100349,60.0,16,,3,16,94232,2,17182.0,176.0,20
1,0,46381.0,18610,16,77168.0,137427,17,56596.0,19,26,71557,62.0,18,133837.0,0,15,63999,2,12474.0,173.0,1
2,31,62708.0,24758,31,9311.0,176726,31,,8,3,91637,,30,,12,30,89011,2,37379.0,178.0,20
2,20,,27598,20,,196190,15,,10,6,147399,,32,,19,13,88447,8,37388.0,,20
2,19,54557.0,16893,6,4175.0,135016,6,,4,15,87008,66.0,14,,28,6,73006,4,14126.0,182.0,0
2,25,57472.0,21342,24,317302.0,178184,24,,13,10,91656,62.0,23,142266.0,19,24,66785,5,23097.0,170.0,20
2,10,49026.0,17994,3,29268.0,137768,3,55924.0,2,27,75120,68.0,20,,27,3,61718,8,7781.0,186.0,16
0,32,,26397,20,,168807,32,,10,17,86807,,27,,19,31,77655,5,16982.0,177.0,20
2,13,52116.0,19994,12,21760.0,132360,12,62863.0,6,20,75170,55.0,24,142859.0,15,12,67513,2,10990.0,173.0,20
2,9,61640.0,21812,11,10093.0,170183,11,,22,8,97091,58.0,26,144171.0,7,11,91127,4,20384.0,176.0,20
2,16,55639.0,20535,8,,160352,8,,5,1,89125,,25,,16,8,73388,4,14791.0,181.0,20
2,21,52670.0,19335,21,16028.0,137764,21,58542.0,11,29,79919,69.0,8,142504.0,9,20,61303,8,7640.0,184.0,3
2,23,37791.0,10629,33,22194.0,140481,34,14951.0,20,28,54572,63.0,5,,13,33,26542,8,750.0,172.0,6
2,13,52116.0,19994,12,21760.0,132360,12,62863.0,6,20,75170,55.0,24,142859.0,15,12,67513,2,10990.0,173.0,20
2,24,22870.0,1646,23,,140614,23,9856.0,10,31,32145,70.0,2,111647.0,26,23,19086,5,346.0,186.0,5
2,2,69634.0,26526,28,5000.0,194619,28,,14,13,149727,66.0,34,146565.0,23,27,115790,7,45992.0,176.0,20
2,33,51513.0,17627,32,69964.0,135523,33,56613.0,18,11,78566,60.0,15,133843.0,2,32,60103,2,6104.0,183.0,15
2,29,63563.0,28569,9,1008.0,135571,9,,21,9,119427,64.0,17,,4,9,80663,2,17215.0,177.0,20
3,22,,25335,19,,184242,20,,26,21,102035,,33,,25,19,93791,5,37447.0,177.0,20
2,29,63563.0,28569,9,1008.0,135571,9,,21,9,119427,64.0,17,,4,9,80663,2,17215.0,177.0,20
0,3,47686.0,17534,14,8603.0,140333,14,45660.0,24,18,59773,72.0,9,142502.0,11,21,37589,8,2325.0,183.0,17
2,14,,18632,27,,139797,27,,10,16,75188,,21,,20,26,65328,5,9008.0,179.0,4
2,4,52879.0,19448,18,15757.0,132428,19,62745.0,9,25,73817,,22,1303134.0,18,17,71390,5,7695.0,184.0,18
2,2,69634.0,26526,28,5000.0,194619,28,,14,13,149727,66.0,34,146565.0,23,27,115790,7,45992.0,176.0,20
2,25,57472.0,21342,24,317302.0,178184,24,,13,10,91656,62.0,23,142266.0,19,24,66785,5,23097.0,170.0,20
2,15,18670.0,4742,26,31366.0,140434,26,5766.0,28,2,32044,63.0,1,134151.0,10,26,18129,3,168.0,170.0,9
3,22,,25335,19,,184242,20,,26,21,102035,,33,,25,19,93791,5,37447.0,177.0,20
0,28,47214.0,16722,30,34792.0,140674,30,46202.0,16,30,64531,71.0,12,132670.0,30,29,52973,5,6228.0,183.0,14
2,8,62255.0,24189,2,5751.0,187231,2,,1,7,79522,64.0,28,142857.0,8,2,82930,2,34011.0,176.0,20
2,1,43386.0,14310,22,35954.0,140509,22,43346.0,25,34,53804,62.0,6,135495.0,14,22,36343,6,3991.0,173.0,10
1,0,46381.0,18610,16,77168.0,137427,17,56596.0,19,26,71557,62.0,18,133837.0,0,15,63999,2,12474.0,173.0,1
