CyclingDiscipline,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,TwitterUsername,BirthPlace,UciRiderId,WeightKg,BirthDate,SportsTeam,OlympediaPeopleId,LastName,FirstName,RaceParticipation,CitizenshipCountry,CyclingArchivesCyclistId,LanguagesSpoken,FirstCyclingRiderId,HeightCm,FreebaseId,SportCountry
0,14,61536.0,23427,8,11,10153.0,177662,19,21,97741,65.0,17,13,,13,10,3,7,95079,3,27289,181.0,11,6
0,15,65227.0,26509,0,12,,194909,8,2,111440,57.0,20,2,146670.0,11,11,8,14,99609,5,46163,173.0,11,12
0,19,55907.0,20793,0,22,2918.0,168755,18,19,461093,73.0,13,15,,0,20,5,9,66627,5,16610,178.0,4,4
0,9,20041.0,6807,0,20,61270.0,140781,12,16,32596,67.0,3,17,125028.0,4,18,11,11,21225,6,114,182.0,7,10
0,12,,17940,12,9,4499.0,138871,10,12,507857,59.0,11,17,135861.0,15,8,2,12,60701,5,6538,172.0,1,9
0,6,51883.0,19078,10,0,3652.0,130946,20,20,66347,60.0,9,11,,14,0,12,13,72799,1,10996,177.0,11,9
0,4,61640.0,21812,3,6,10093.0,170183,16,4,97091,58.0,14,9,144171.0,3,5,6,8,91127,4,20384,176.0,11,7
0,21,49272.0,17881,11,16,13864.0,140294,9,9,76092,56.0,8,6,,1,14,12,13,38092,0,4863,169.0,10,11
0,18,38086.0,5472,0,19,,135803,8,17,31273,,0,8,,2,17,7,2,23206,5,1905,,9,9
0,20,57472.0,21342,14,18,317302.0,178184,11,7,91656,62.0,12,3,142266.0,13,16,10,5,66785,5,23097,170.0,11,5
0,2,11009.0,5139,1,1,188233.0,140904,0,10,55131,65.0,5,9,135241.0,12,1,0,10,27924,5,581,183.0,5,8
0,8,19630.0,10023,0,5,28543.0,140233,1,3,54679,61.0,7,17,,18,4,12,8,22431,4,794,175.0,6,7
0,6,51883.0,19078,10,0,3652.0,130946,20,20,66347,60.0,9,11,,14,0,12,13,72799,1,10996,177.0,11,9
0,11,19558.0,3828,5,8,65423.0,140870,17,8,34012,69.0,1,16,113255.0,7,7,1,9,21215,5,264,182.0,8,4
0,18,38086.0,5472,0,19,,135803,8,17,31273,,0,8,,2,17,7,2,23206,5,1905,,9,9
0,3,,29474,2,2,,215760,3,1,638202,,22,4,2502935.0,8,2,9,6,149604,5,92666,184.0,11,9
0,13,69190.0,25740,7,10,,196424,13,11,112082,,18,14,,20,9,9,4,115868,2,38195,175.0,11,4
0,17,83295.0,28377,13,17,84000.0,212377,2,0,587366,62.0,21,12,141007.0,5,15,9,1,141854,5,84019,171.0,11,1
0,22,65462.0,24902,9,15,5529.0,185580,7,18,88143,67.0,16,7,,16,13,8,15,119310,5,37494,183.0,11,13
0,9,20041.0,6807,0,20,61270.0,140781,12,16,32596,67.0,3,17,125028.0,4,18,11,11,21225,6,114,182.0,7,10
0,0,47885.0,18123,16,13,21399.0,139801,6,22,68832,71.0,10,16,1303133.0,19,12,12,9,58401,5,6309,179.0,2,4
0,10,66232.0,23948,6,7,,176305,5,15,109829,,15,1,,10,6,12,0,81941,5,37446,175.0,11,0
0,1,,25026,15,21,31358.0,198985,4,13,109855,54.0,19,10,141956.0,9,19,4,3,109700,7,58639,163.0,11,3
0,5,,9740,0,3,1264.0,138149,14,14,61428,,2,18,,6,3,12,13,14214,7,2141,,11,9
0,7,52495.0,19900,4,4,8437.0,141005,15,5,58947,65.0,6,0,134608.0,17,4,2,8,57565,4,14122,178.0,0,7
0,16,56938.0,20257,0,14,17205.0,167585,21,6,86480,64.0,4,5,133037.0,21,12,6,2,81851,5,16569,175.0,3,2
0,7,52495.0,19900,4,4,8437.0,141005,15,5,58947,65.0,6,0,134608.0,17,4,2,8,57565,4,14122,178.0,0,7
