GeneSubclass,GeneType,GenomicStartPosition,StrandOrientation,EncodedProtein,GeneDbId,GenomicEndPosition
0,0,12457699,0,39,117,12460992
0,0,21662360,1,38,170,21664027
1,1,14714348,1,41,126,14716347
1,1,24259394,0,22,182,24261916
0,0,16958119,1,38,143,16959828
0,0,22506750,0,23,175,22507853
0,0,5693386,0,38,86,5694837
1,1,4345470,0,32,75,4347332
0,0,19109871,1,38,156,19111241
0,0,186996,1,38,56,189059
0,0,7320766,1,43,29,7321944
0,0,5533789,1,38,82,5535594
0,0,16125630,0,20,136,16126477
0,0,16124496,0,19,135,16125431
0,0,6406782,1,19,88,6407978
0,0,22865183,1,39,177,22866651
1,1,4240,1,25,185,6962
0,0,22418891,0,38,174,22420594
0,0,6621288,0,19,89,6622485
0,0,516034,0,23,186,517377
0,0,739147,1,38,58,740910
0,0,4476602,1,43,21,4478317
0,0,6622859,0,20,90,6623857
0,0,8302604,1,26,99,8304208
0,0,1162260,1,20,62,1163943
1,1,159343,0,34,3,166610
0,0,12043926,0,44,45,12044915
0,0,7084628,1,19,95,7085743
1,1,11812601,0,21,113,11814846
0,0,14244689,0,38,121,14246569
0,0,15523344,0,0,53,15525233
0,0,10366297,1,38,108,10367781
0,0,19353143,1,19,157,19353997
0,0,11227465,1,20,111,11228364
0,0,4818629,0,3,22,4821949
0,0,797690,1,19,11,802447
0,0,6402818,0,2,26,6404545
0,0,3888761,1,5,20,3890743
0,0,7534078,1,44,33,7536063
0,0,4109244,0,36,74,4110404
0,0,6916226,1,20,94,6917763
0,0,14416290,0,19,125,14417657
0,0,10470053,1,6,41,10471813
0,0,17167599,1,38,145,17169188
0,0,17202847,1,38,146,17204565
0,0,900303,0,23,59,901193
0,0,7483058,0,11,32,7485958
0,0,4984864,1,20,79,4986283
0,0,11928846,1,38,114,11930294
0,0,1136944,0,20,61,1138017
0,0,11139777,0,20,110,11141122
0,0,3549812,0,12,18,3552202
0,0,14294152,1,38,122,14297622
0,0,16270171,1,35,138,16271105
0,0,19092804,1,19,155,19098062
0,0,1488146,1,18,8,1488889
0,0,720270,1,18,1,720767
1,1,950709,1,24,60,954065
0,0,8444390,0,10,36,8446783
0,0,4960051,0,20,78,4961093
1,1,6730012,0,25,91,6731177
0,0,11410333,0,20,112,11411332
0,0,15698438,1,19,132,15699505
1,1,2393881,0,41,70,2395872
0,0,1945502,1,31,66,1946524
0,0,15366826,0,19,129,15368259
0,0,14308893,0,37,123,14309948
1,1,4684330,0,22,76,4686426
0,0,7222040,1,1,27,7223642
0,0,10862464,0,38,109,10863636
0,0,13108690,0,2,49,13110183
0,0,1535937,0,6,16,1537359
0,0,6870258,1,19,93,6873317
0,0,14081394,1,19,120,14082326
0,0,9632528,0,20,104,9633706
0,0,5757861,1,0,24,5758988
0,0,80512,1,18,9,81654
0,0,23852545,1,38,180,23853903
0,0,16961430,1,19,144,16962662
1,1,167799,1,34,4,174089
0,0,3887290,1,43,19,3888303
0,0,12054483,1,20,115,12055523
1,1,91365,1,34,2,99081
1,1,7431780,0,29,97,7436601
0,0,4821965,0,17,23,4822884
0,0,15573908,0,19,131,15575248
0,0,13110727,0,9,50,13113318
0,0,9949362,1,20,107,9950434
0,0,8345610,0,19,100,8346935
0,0,21337707,1,23,167,21338975
1,1,16287284,1,40,139,16290323
0,0,7319,1,23,187,8749
0,0,24324600,1,19,183,24325727
0,0,14736827,1,14,52,14737741
1,1,8119900,0,30,35,8123260
0,0,22033199,0,20,172,22034406
0,0,7468958,0,0,31,7470439
0,0,7437391,1,19,98,7438734
0,0,1553879,1,7,17,1555909
0,0,18803756,0,20,151,18805214
0,0,16042352,0,38,134,16044124
0,0,1376007,1,43,64,1377494
0,0,7408131,1,5,30,7409936
0,0,19091385,1,19,154,19092299
0,0,8475756,0,16,37,8477276
0,0,3747495,1,19,73,3748838
0,0,16305157,1,20,140,16306157
0,0,7725846,1,43,34,7726763
0,0,12243976,0,20,116,12245091
0,0,20536571,0,19,161,20537413
0,0,3988690,0,2,6,3991758
0,0,5563799,0,39,83,5564839
0,0,11525184,1,8,43,11526257
0,0,9711766,1,20,105,9713721
0,0,21492995,0,19,168,21494170
0,0,16914834,0,39,142,16917457
0,0,22368995,0,39,173,22370663
0,0,9817575,1,0,39,9818594
0,0,15204587,1,42,128,15205645
0,0,1189272,0,39,63,1190069
0,0,6205003,1,44,25,6206204
1,1,190759,0,34,5,196430
0,0,6272185,1,20,87,6273200
0,0,3319447,0,23,71,3320883
0,0,1393953,1,20,65,1394797
0,0,20919837,0,39,165,20921047
0,0,23092635,0,20,178,23094018
1,1,2194207,1,32,69,2196289
1,1,5130638,1,34,7,5133342
0,0,1679283,0,20,12,1681418
0,0,13081270,0,13,48,13085487
1,1,19532201,0,21,158,19533804
1,1,9531795,0,27,103,9534947
0,0,1114074,1,20,10,1115867
0,0,15571309,1,20,130,15572469
0,0,156131,1,19,55,157156
0,0,20624929,0,19,162,20629260
