GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,GeneType,OrthologousGene,GenomicStartPosition,StrandOrientation,HostTaxon
0,857092,47,47,1,0,6,856736,1,4
0,952454,48,48,0,0,6,951102,0,4
1,572085,31,31,2,1,8,571735,0,3
0,957295,4,4,0,0,2,956186,0,0
1,436232,26,26,2,1,7,435513,1,3
0,28107,42,42,0,0,12,26566,0,2
0,538404,38,38,0,0,11,537619,1,2
0,698476,13,13,1,0,14,697478,0,1
0,436638,23,23,0,0,0,435553,1,3
0,643992,43,43,0,0,18,642829,0,2
0,448182,28,28,0,0,0,447082,1,3
0,719972,22,22,0,0,14,718869,0,1
0,685398,8,8,0,0,14,684295,0,1
0,11789946,45,45,0,0,11,11789392,0,4
0,3535623,39,39,0,0,11,3534082,1,2
0,949535,2,2,0,0,2,948441,0,0
0,693005,11,11,0,0,14,691932,0,1
0,302248,36,36,0,0,19,300902,0,2
0,578786,5,5,0,0,14,577695,1,1
0,361672,33,33,0,0,1,360605,1,3
0,955355,3,3,0,0,2,954246,0,0
0,953506,49,49,1,0,6,952991,0,4
0,10606,32,32,0,0,17,9500,0,3
0,689114,10,10,1,0,14,688161,0,1
0,714177,20,20,0,0,5,713086,0,1
0,712255,19,19,0,0,5,711152,0,1
0,708398,18,18,0,0,5,707307,0,1
0,1723,27,27,0,0,10,617,1,3
0,681532,7,7,0,0,14,680441,0,1
0,539756,44,44,0,0,12,539199,1,2
0,15794153,46,46,0,0,4,15792798,1,4
0,7280921,40,40,0,0,19,7279380,1,2
0,45918,29,29,0,0,9,44815,1,3
0,718038,21,21,0,0,5,716935,0,1
0,475968,25,25,0,0,4,474868,1,3
0,243994,30,30,0,0,16,242888,1,3
0,869104,0,0,0,0,2,868049,1,0
0,702631,15,15,0,0,14,701528,0,1
0,943763,1,1,0,0,2,942660,0,0
0,5456,53,53,1,0,13,4803,1,4
0,261982,34,34,0,0,15,260876,1,3
0,535555,37,37,0,0,11,534350,1,2
0,174545,24,24,0,0,16,173439,1,3
0,706475,17,17,0,0,14,705384,0,1
0,1902,51,51,1,0,13,1258,1,4
0,677664,6,6,0,0,5,676555,0,1
0,704553,16,16,0,0,5,703462,0,1
0,696647,12,12,0,0,14,695556,0,1
0,972285,50,50,1,0,3,971263,0,4
0,44760,35,35,0,0,15,43651,1,3
0,699992,14,14,0,0,14,698889,0,1
0,3120,52,52,1,0,13,2473,1,4
0,687330,9,9,0,0,14,686227,0,1
0,8765378,41,41,0,0,11,8763816,0,2
