Entity_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,419867,29,29,0,34,419010,1
0,1404526,44,44,0,54,1403861,1
0,25097,62,62,0,26,24648,0
0,1771495,45,45,0,13,1771046,0
0,334491,38,38,0,51,333733,1
0,2108845,49,49,0,7,2108303,1
0,106626,2,2,0,50,106183,0
0,1500372,21,21,0,7,1500022,0
0,1589372,24,24,0,35,1589025,1
0,187539,4,4,0,17,186739,0
0,249755,32,32,0,2,248955,0
0,18478,14,14,0,26,17702,0
0,455384,89,89,0,49,454782,0
0,582312,0,0,0,5,581629,1
0,2189977,81,81,0,21,2189303,1
0,249191,31,31,0,28,247920,0
0,192020,69,69,0,29,191304,0
0,360949,37,37,0,31,360191,1
0,5270,61,61,0,26,4815,1
0,1188592,75,75,0,7,1187834,1
0,541726,16,16,0,26,540743,1
0,260224,52,52,0,53,259535,1
0,1795788,48,48,0,10,1795339,1
0,1266329,79,79,0,39,1265664,0
0,229245,104,104,0,37,228751,0
0,439937,92,92,0,3,439305,0
0,47774,64,64,0,26,46746,0
0,215252,107,107,0,8,214692,0
0,2006097,83,83,0,9,2005645,0
0,241884,26,26,0,36,241294,0
1,374729,77,77,1,11,373830,1
1,187858,12,12,1,40,187097,0
0,1335494,34,34,0,33,1334871,1
0,407069,58,58,0,37,406629,0
0,190450,99,99,0,45,190100,0
0,1379076,73,73,0,6,1378327,1
0,19040,55,55,0,26,18594,0
0,1249825,36,36,0,35,1249373,1
0,873951,10,10,0,12,873346,0
0,491545,94,94,0,3,490745,1
0,447197,93,93,0,17,446745,1
0,1327169,35,35,0,7,1326369,0
1,311877,51,51,1,30,310678,0
0,508560,17,17,2,31,507559,1
0,1480543,80,80,0,1,1479323,1
0,1915099,47,47,0,10,1914353,1
0,2054734,8,8,0,33,2054069,1
0,24241,28,28,0,26,23690,0
0,369901,13,13,0,44,369557,1
0,533902,105,105,0,0,533237,1
0,1292754,33,33,0,7,1292116,0
0,17745,71,71,0,12,16912,1
1,509814,68,68,3,18,509014,0
0,58473,1,1,0,19,57784,0
0,1027295,100,100,0,32,1026840,0
1,2144974,23,23,1,24,2144312,1
0,258510,78,78,0,45,258202,0
0,976756,41,41,0,47,976091,1
0,3241,97,97,0,20,2789,0
0,2046738,9,9,0,7,2046013,1
0,469905,60,60,0,16,469240,0
0,293595,57,57,0,43,292942,0
0,21345,88,88,0,28,20596,0
0,533360,15,15,0,15,532377,1
0,1125325,76,76,0,6,1124525,1
0,1146722,87,87,0,15,1145835,1
0,30522,86,86,0,42,29761,1
0,1962152,46,46,0,21,1961658,1
0,2014286,50,50,0,42,2013333,1
0,985522,39,39,0,6,984710,1
0,535778,102,102,2,54,534804,1
0,574747,30,30,0,15,573722,0
0,981065,40,40,0,23,980400,1
0,548988,18,18,0,54,548008,1
0,972438,42,42,0,7,971773,1
0,1474,7,7,0,38,1025,1
0,522763,56,56,0,29,521789,1
1,1694721,6,6,1,14,1693825,1
0,434224,91,91,0,17,433772,0
0,25672,63,63,0,26,25139,0
0,835812,96,96,4,26,835600,0
0,1117094,98,98,0,41,1116687,0
0,404244,66,66,0,52,403621,1
0,614408,95,95,0,22,613791,1
0,213832,25,25,0,17,212933,1
0,1966887,84,84,0,31,1966264,0
0,3147,53,53,0,26,2389,1
0,121362,106,106,0,27,120919,0
0,386361,59,59,0,16,385708,0
0,166893,3,3,0,48,166510,1
0,16682,72,72,0,4,16377,1
0,203789,70,70,0,29,203085,0
0,1533448,19,19,0,7,1532690,0
0,1351182,74,74,0,51,1350433,1
0,6198,5,5,0,46,5503,1
0,430215,103,103,0,31,429457,1
0,26420,54,54,0,26,25257,1
0,1129040,101,101,0,10,1128585,1
0,390327,11,11,0,31,389875,1
0,2167272,82,82,0,9,2166841,1
0,4118,27,27,0,26,3549,0
0,45033,90,90,0,25,44497,0
0,576203,43,43,0,5,575301,1
0,930230,65,65,0,10,929781,1
0,1962116,85,85,0,33,1960989,0
0,561672,67,67,0,0,560914,1
0,989439,22,22,0,7,989029,1
0,1512529,20,20,0,31,1511897,1
