Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Instagram_Username,Commons_Category,Pro_Cycling_Stats_Cyclist_Id,Twitter_Username,Birthplace,Uci_Rider_Id,Weight_Kg,Sports_Team,Olympedia_People_Id,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Height_Cm,Sport_Country
0,10,69190.0,25740,7,7,196424,11,5,112082.0,,13,8,15,7,115868,38195,175.0,2
0,2,,32225,9,9,216940,5,13,,,10,8,14,9,158475,94804,,0
0,18,11585.0,1994,15,18,140778,13,7,28378.0,65.0,0,1,7,18,13069,133,181.0,4
0,7,62255.0,24189,4,4,187231,2,4,79522.0,64.0,4,4,0,4,82930,34011,176.0,5
0,14,61866.0,23334,11,13,185156,9,11,97634.0,65.0,0,2,5,13,100717,35077,170.0,1
0,9,43387.0,14321,6,6,140505,5,10,422366.0,60.0,11,3,3,6,24864,2977,173.0,8
0,13,,28057,10,12,204401,4,18,159567.0,67.0,16,8,4,12,123074,68206,190.0,5
0,17,4863.0,446,0,15,140571,7,17,15732.0,57.0,15,8,1,15,8397,65,159.0,3
0,11,7418.0,3335,0,8,140090,5,3,30946.0,,2,8,8,8,13892,169,170.0,5
1,0,49682.0,17893,0,16,134456,8,2,553301.0,58.0,14,5,16,16,65130,6242,172.0,9
0,5,62259.0,24110,3,2,181212,1,0,250807.0,,3,8,9,2,94988,27301,184.0,5
0,4,41075.0,10536,2,1,140489,0,12,60455.0,68.0,5,8,8,1,46549,948,183.0,5
0,16,56386.0,21267,0,11,160236,5,16,72160.0,76.0,5,8,12,11,73209,17210,182.0,5
0,6,,31621,8,3,216955,5,1,680835.0,,1,8,8,3,147278,95714,179.0,5
0,15,61648.0,22683,13,14,168787,6,8,86746.0,64.0,6,8,2,14,80030,16992,178.0,6
0,3,69634.0,26526,14,17,194619,10,6,149727.0,66.0,9,7,11,17,115790,45992,176.0,7
0,1,16289.0,5,1,0,140924,12,9,14575.0,61.0,8,0,13,0,7005,38,177.0,8
0,12,58428.0,21992,12,10,168776,3,15,86895.0,,12,8,10,10,77835,16793,179.0,2
0,8,59981.0,22676,5,5,170164,5,14,95753.0,69.0,7,6,6,5,81741,28781,182.0,4
