National_Library_Of_Israel_J9u_Id,Nl_Cr_Aut_Id,Commons_Category,K_Bpedia_Id,Quora_Topic_Id,Encyclopdia_Britannica_Online_Id,Bncf_Thesaurus_Id,Main_Category,Freebase_Id,Gnd_Id,Library_Of_Congress_Authority_Id,Yso_Id
9.870075657378052e+17,16,19,19,16,19,151.0,19,16,3,19,12398.0
9.870075581678052e+17,20,13,13,11,13,7101.0,13,18,9,13,6282.0
9.870075315616051e+17,11,14,14,12,14,93.0,14,20,19,14,20569.0
9.870075580799052e+17,6,8,8,7,8,6898.0,8,3,7,8,19824.0
9.870075535515052e+17,17,20,20,17,20,42.0,20,15,10,20,12469.0
9.870075485322052e+17,14,17,17,15,17,167.0,17,14,2,17,7643.0
9.870075458792051e+17,0,4,4,4,4,6546.0,4,6,0,4,2573.0
9.870075385429052e+17,8,11,10,12,11,44.0,11,0,12,11,3813.0
9.870075333939052e+17,5,6,6,12,6,356.0,6,1,18,6,8856.0
9.870075654497052e+17,2,9,9,8,9,186.0,9,9,5,9,12148.0
9.870075506418052e+17,19,7,7,6,7,6544.0,7,13,6,7,10325.0
9.870075535515052e+17,17,20,20,17,20,42.0,20,15,10,20,12469.0
9.870075295163052e+17,13,16,16,14,16,152.0,16,12,15,16,19823.0
9.870075506418052e+17,19,7,7,6,7,6544.0,7,13,6,7,10325.0
9.870075654779052e+17,1,3,3,3,3,107.0,3,5,17,3,15311.0
9.870075654497052e+17,2,9,9,8,9,186.0,9,9,5,9,12148.0
9.870072847156051e+17,9,1,0,1,1,11374.0,1,2,13,1,2887.0
9.870075606232051e+17,12,15,15,13,15,658.0,15,11,14,15,17430.0
9.870075385429052e+17,8,11,10,12,11,44.0,11,0,12,11,3813.0
9.870075385429052e+17,8,11,10,12,11,44.0,11,0,12,11,3813.0
9.870075506418052e+17,19,7,7,6,7,6544.0,7,13,6,7,10325.0
9.870075657378052e+17,16,19,19,16,19,151.0,19,16,3,19,12398.0
9.870075654497052e+17,2,9,9,8,9,186.0,9,9,5,9,12148.0
9.870075295163052e+17,13,16,16,14,16,152.0,16,12,15,16,19823.0
9.870075654779052e+17,1,3,3,3,3,107.0,3,5,17,3,15311.0
9.870075654497052e+17,2,9,9,8,9,186.0,9,9,5,9,12148.0
9.870075581678052e+17,20,13,13,11,13,7101.0,13,18,9,13,6282.0
9.870075557775052e+17,10,12,12,10,12,4115.0,12,10,8,12,14780.0
9.870075458792051e+17,0,4,4,4,4,6546.0,4,6,0,4,2573.0
9.870075458792051e+17,0,4,4,4,4,6546.0,4,6,0,4,2573.0
9.870075506418052e+17,19,7,7,6,7,6544.0,7,13,6,7,10325.0
9.870072947096051e+17,3,0,1,0,0,6095.0,0,19,20,0,14417.0
9.870072947096051e+17,3,0,1,0,0,6095.0,0,19,20,0,14417.0
9.870075654497052e+17,2,9,9,8,9,186.0,9,9,5,9,12148.0
9.870075315616051e+17,11,14,14,12,14,93.0,14,20,19,14,20569.0
9.870075432463052e+17,4,2,2,2,2,31.0,2,4,4,2,18391.0
9.870075432463052e+17,4,2,2,2,2,31.0,2,4,4,2,18391.0
9.870075556866052e+17,18,5,5,5,5,67105.0,5,7,11,5,15445.0
9.870075556544051e+17,7,10,11,9,10,7045.0,10,8,1,10,10450.0
9.870075485156051e+17,15,18,18,12,18,163.0,18,17,16,18,1395.0
9.870075458792051e+17,0,4,4,4,4,6546.0,4,6,0,4,2573.0
9.870075458792051e+17,0,4,4,4,4,6546.0,4,6,0,4,2573.0
9.870075295163052e+17,13,16,16,14,16,152.0,16,12,15,16,19823.0
9.870075657378052e+17,16,19,19,16,19,151.0,19,16,3,19,12398.0
