Gene_Subclass,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation,Gene_Db_Id,Genomic_End_Position
1,1,6745,5,1,43,7608
1,1,391090,5,1,126,391707
1,1,476025,5,0,38,476915
0,0,346178,4,1,207,346408
1,1,214952,5,0,127,216862
1,1,78453,5,1,231,80177
1,1,5234,5,1,87,8014
1,1,3,5,1,94,557
0,0,11931,1,1,71,12665
0,0,346512,2,1,206,346850
1,1,889150,5,0,192,890682
0,0,1130442,1,0,148,1130987
1,1,1884,5,0,42,2216
1,1,55507,5,1,224,56787
0,0,45670,2,1,21,45867
1,1,3,5,0,176,929
1,1,23602,5,1,153,25397
1,1,35931,5,1,151,36817
1,1,577500,5,0,188,578507
1,1,27628,5,1,198,30441
1,1,1836461,5,0,133,1839347
0,0,71398,0,1,34,71748
1,1,121053,5,0,35,122795
1,1,1121249,5,0,146,1122061
1,1,750136,5,0,48,752571
1,1,32212,5,1,82,33312
1,1,16818,5,1,29,17807
1,1,14611,5,1,191,17424
1,1,542011,5,0,138,543960
1,1,21764,5,1,235,23503
1,1,56893,5,1,225,57738
0,0,869711,2,0,54,870832
1,1,10753,5,1,129,12423
1,1,564,5,0,177,3521
1,1,44298,5,1,95,46358
1,1,118959,5,1,183,119855
1,1,348930,5,0,66,351059
1,1,1115,5,1,72,4441
0,0,3,1,0,156,218
1,1,612868,5,0,187,615828
1,1,1,5,0,4,835
1,1,69540,5,1,130,71222
1,1,98553,5,1,26,100170
1,1,74227,5,1,27,76293
1,1,15111,5,1,125,17384
1,1,3,5,1,203,395
1,1,1442287,5,0,22,1444050
1,1,227562,5,0,239,229154
1,1,64071,5,1,123,64517
0,0,746714,0,0,169,747484
1,1,55821,5,1,116,58454
1,1,10074,5,0,109,10805
1,1,802591,5,0,144,805101
0,0,3411,2,0,68,4265
1,1,5802,5,1,61,8105
1,1,42014,5,1,229,42976
0,0,157230,2,0,186,157631
1,1,7741,5,1,217,7838
1,1,3,5,0,8,794
0,0,899,1,1,13,1231
1,1,73355,5,1,14,74182
1,1,2330257,5,0,201,2332647
1,1,112584,5,1,65,114401
1,1,39177,5,1,158,41471
0,0,1415230,1,0,19,1415811
1,1,4031,5,1,85,6985
1,1,72187,5,1,230,74451
1,1,1128836,5,0,147,1129891
1,1,1,5,0,6,535
1,1,11061,5,0,178,11717
1,1,1337487,5,0,195,1338938
0,0,35452,1,1,30,36096
1,1,55923,5,1,159,56420
1,1,20007,5,1,121,20561
1,1,211,5,0,168,2400
1,1,647,5,0,140,3058
1,1,31590,5,1,166,33980
1,1,355485,5,0,174,358301
0,0,201683,2,0,79,202126
1,1,83233,5,1,199,83691
1,1,1031220,5,0,76,1034156
1,1,390821,5,1,84,393196
1,1,367493,5,0,51,368350
1,1,63011,5,1,97,66037
1,1,2,5,0,16,877
1,1,2,5,0,106,1381
1,1,1152030,5,0,149,1153652
1,1,45168,5,1,31,45746
1,1,46339,5,1,232,47107
1,1,33647,5,1,152,35665
1,1,1445,5,0,131,2035
1,1,919047,5,0,67,921959
0,0,1,2,1,119,282
1,1,902475,5,0,162,903359
1,1,1112,5,0,172,3364
1,1,6310,5,0,62,8634
1,1,3256,5,0,113,6051
1,1,221369,5,0,157,223303
1,1,1,5,0,10,147
1,1,704473,5,0,36,706956
1,1,14362,5,1,24,15156
1,1,941918,5,1,163,944659
1,1,513297,5,0,237,513917
1,1,45609,5,1,185,46181
1,1,44094,5,1,233,46075
1,1,1049748,5,0,160,1050263
1,1,321,5,1,180,1991
1,1,6150,5,1,90,7580
1,1,315381,5,0,194,317768
0,0,586959,2,0,70,587282
1,1,10619,5,1,202,10942
1,1,492,5,0,17,929
1,1,3546,5,0,63,6341
1,1,48096,5,1,212,50252
1,1,748829,5,0,190,751195
0,0,1968,0,1,60,2270
1,1,627348,5,0,210,629366
1,1,606950,5,0,209,609376
1,1,1362,5,1,218,2735
1,1,1346,5,1,226,4117
1,1,4295,5,0,11,6226
1,1,478592,5,0,111,481120
1,1,3,5,0,5,215
1,1,1,5,1,145,2208
1,1,854629,5,0,112,857583
1,1,2632,5,0,103,4959
1,1,38134,5,1,93,38673
1,1,2181870,5,1,89,2184398
1,1,818471,5,0,102,821170
1,1,638082,5,0,124,640889
1,1,696140,5,0,74,699100
0,0,2028950,3,0,141,2029693
1,1,2810,5,1,46,4564
1,1,692,5,1,12,1582
1,1,605,5,0,58,3052
1,1,497942,5,0,236,498493
1,1,3066,5,0,222,6017
1,1,2173,5,1,128,4965
1,1,583600,5,0,189,585603
1,1,1,5,1,91,2706
1,1,86623,5,1,184,89160
1,1,473026,5,0,99,475584
1,1,100433,5,1,25,101201
1,1,4936,5,1,15,6087
1,1,1637255,5,0,200,1639600
1,1,1,5,1,2,1686
1,1,7736,5,1,179,10351
1,1,1397420,5,0,23,1399795
1,1,650348,5,0,196,651190
0,0,17345,1,1,32,17833
1,1,103,5,1,73,612
