Gene_Subclass,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation,Gene_Label,Gene_Db_Id,Genomic_End_Position
1,1,6745,5,1,43,43,7608
1,1,391090,5,1,126,126,391707
1,1,476025,5,0,38,38,476915
0,0,346178,4,1,208,208,346408
1,1,214952,5,0,127,127,216862
1,1,98553,5,1,26,26,100170
1,1,5234,5,1,87,87,8014
1,1,3,5,1,94,94,557
0,0,11931,1,1,71,71,12665
0,0,346512,2,1,207,207,346850
1,1,889150,5,0,193,193,890682
0,0,1130442,1,0,148,148,1130987
1,1,1884,5,0,42,42,2216
1,1,55507,5,1,225,225,56787
0,0,45670,2,1,21,21,45867
1,1,3,5,0,176,176,929
1,1,23602,5,1,153,153,25397
1,1,35931,5,1,151,151,36817
1,1,577500,5,0,188,188,578507
1,1,27628,5,1,199,199,30441
1,1,1836461,5,0,133,133,1839347
0,0,71398,0,1,34,34,71748
1,1,121053,5,0,35,35,122795
1,1,1121249,5,0,146,146,1122061
1,1,750136,5,0,48,48,752571
1,1,32212,5,1,82,82,33312
1,1,16818,5,1,29,29,17807
1,1,14611,5,1,192,192,17424
1,1,542011,5,0,138,138,543960
1,1,21764,5,1,235,235,23503
1,1,56893,5,1,226,226,57738
0,0,869711,2,0,54,54,870832
1,1,10753,5,1,129,129,12423
1,1,564,5,0,177,177,3521
1,1,44298,5,1,95,95,46358
1,1,118959,5,1,183,183,119855
1,1,348930,5,0,66,66,351059
1,1,1115,5,1,72,72,4441
0,0,3,1,0,156,156,218
1,1,612868,5,0,187,187,615828
1,1,1,5,0,4,4,835
1,1,69540,5,1,130,130,71222
1,1,100433,5,1,25,25,101201
1,1,74227,5,1,27,27,76293
1,1,15111,5,1,125,125,17384
1,1,3,5,1,204,204,395
1,1,1442287,5,0,22,22,1444050
1,1,227562,5,0,239,239,229154
1,1,64071,5,1,123,123,64517
0,0,746714,0,0,170,170,747484
1,1,55821,5,1,116,116,58454
1,1,10074,5,0,109,109,10805
1,1,802591,5,0,144,144,805101
0,0,3411,2,0,68,68,4265
1,1,5802,5,1,61,61,8105
1,1,42014,5,1,230,230,42976
0,0,157230,2,0,186,186,157631
1,1,7741,5,1,218,218,7838
1,1,3,5,0,8,8,794
0,0,899,1,1,13,13,1231
1,1,73355,5,1,14,14,74182
1,1,2330257,5,0,202,202,2332647
1,1,112584,5,1,65,65,114401
1,1,39177,5,1,158,158,41471
0,0,1415230,1,0,19,19,1415811
1,1,4031,5,1,85,85,6985
1,1,72187,5,1,231,231,74451
1,1,1128836,5,0,147,147,1129891
1,1,1,5,0,6,6,535
1,1,11061,5,0,178,178,11717
1,1,1337487,5,0,196,196,1338938
0,0,35452,1,1,30,30,36096
1,1,55923,5,1,159,159,56420
1,1,20007,5,1,121,121,20561
1,1,211,5,0,169,169,2400
1,1,647,5,0,140,140,3058
1,1,31590,5,1,167,167,33980
