StrandOrientation,OrthologId,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,EncodedProteinDescription
0,1,674303,18,18,1,14,673725,3
0,8,905931,43,43,1,8,905182,3
0,21,570089,28,28,1,8,569511,3
1,0,478865,39,39,1,9,478194,3
1,29,1661430,20,20,1,12,1660327,1
0,25,9043,56,56,1,18,8369,3
1,5,605502,68,68,1,5,604933,3
1,29,1573901,40,40,1,12,1573260,1
0,33,37689,23,23,1,24,37021,3
1,7,4852,25,25,1,25,4175,3
0,29,509037,87,87,1,2,508240,3
0,0,1104782,83,83,1,9,1104102,3
1,20,670988,35,35,1,13,670362,3
1,3,1346554,53,53,0,14,1345826,4
0,21,1064488,67,67,1,8,1063814,3
1,39,1507852,61,61,1,12,1507205,1
0,24,226568,60,60,0,1,225903,4
0,39,1732531,57,57,1,12,1731896,3
0,33,2154696,63,63,1,13,2154196,3
0,26,1153891,12,12,1,11,1153361,3
0,0,1164151,80,80,1,9,1163459,3
0,15,430900,27,27,1,6,430274,3
1,0,23414,75,75,1,36,22770,3
0,0,1142124,79,79,1,9,1141357,3
0,1,1170502,54,54,1,14,1169873,3
0,31,487905,32,32,0,1,487330,4
1,29,1565614,1,1,1,12,1565111,3
1,38,743660,17,17,1,14,742947,3
0,13,40393,26,26,1,16,39713,3
1,34,947466,44,44,1,8,947014,6
1,8,458055,69,69,1,8,457426,1
0,8,17347,21,21,1,23,16595,3
0,18,16318,36,36,1,28,15653,3
0,21,829209,73,73,1,8,828511,1
1,12,388745,86,86,0,2,388080,4
0,23,28212,65,65,1,34,27637,3
1,39,1702393,5,5,1,12,1701380,3
1,28,547641,34,34,1,3,547144,3
0,37,10697,77,77,1,19,10023,3
0,34,738855,29,29,1,8,738181,3
1,0,590414,58,58,1,0,589821,3
0,4,136301,84,84,1,7,135930,3
1,0,179239,38,38,1,10,178622,3
1,11,17274,14,14,1,21,16765,1
1,24,430064,9,9,0,1,429414,4
1,27,18257,76,76,1,37,17595,1
0,9,7133,46,46,1,30,6462,1
0,17,17466,31,31,1,26,16792,3
0,12,624606,16,16,1,13,623983,3
0,17,1721960,42,42,0,12,1721430,4
0,36,7796,51,51,1,32,7137,3
1,39,1654501,41,41,1,12,1653854,1
1,14,1832,13,13,1,21,1149,1
1,12,2105453,24,24,1,13,2104848,3
0,2,11162,78,78,1,38,10509,3
1,23,20358,64,64,1,34,19783,3
1,39,1548861,62,62,1,12,1548016,3
0,12,974933,47,47,1,13,974307,3
1,39,1690792,4,4,1,12,1690151,3
0,22,9429,45,45,1,29,8836,3
1,12,840636,6,6,1,13,840031,3
0,35,755,55,55,1,18,93,3
0,0,1091842,81,81,1,9,1091081,3
1,19,4297,74,74,1,35,3704,3
0,12,989314,48,48,1,13,988862,1
0,38,381646,10,10,1,14,381053,3
1,24,5579,85,85,1,39,4953,3
0,0,1192387,82,82,1,9,1191707,3
0,0,405260,3,3,1,9,404595,3
0,16,25270,49,49,1,31,24593,3
0,11,468982,19,19,1,0,468374,3
0,40,1728460,2,2,0,12,1728161,2
0,21,490761,71,71,1,8,490084,3
1,0,524975,59,59,1,0,524382,3
0,34,587573,72,72,1,8,586902,3
0,16,4340,22,22,1,23,3579,3
1,6,5600,52,52,1,33,4947,0
1,12,2529,30,30,1,17,1873,5
0,10,3403,15,15,1,22,2810,1
0,4,71817,11,11,1,20,71311,1
0,30,1266,0,0,1,40,595,3
0,34,475933,70,70,1,8,475256,1
0,33,1682099,8,8,1,13,1681482,3
1,32,7594,7,7,1,15,6935,3
1,23,472195,50,50,1,4,471323,3
0,6,4574,33,33,1,27,3870,1
0,39,1728056,37,37,1,12,1727928,1
1,23,68829,66,66,1,34,68515,3
