Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,ProCyclingStatsCyclistId,CyclistName,Nationality,TwitterHandle,TeamAffiliation,BirthPlace,UciRiderId,WeightKg,BirthDate,OlympediaPeopleId,FirstName,GoogleKnowledgeGraphId,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,CyclingDiscipline
0,10,63563.0,28569,3,2,135571,3,2,2,2,1,119427,64.0,6,,3,3,80663,17215,177.0,6,1
1,2,49095.0,18487,2,0,137599,2,0,1,0,8,65648,58.0,3,132351.0,2,5,45553,9451,173.0,0,0
0,8,57111.0,21013,10,0,163724,10,5,1,9,9,199200,58.0,7,,10,1,78180,11539,,6,0
0,5,43329.0,17902,5,4,131925,5,4,1,7,3,68833,,5,124648.0,4,5,39987,6100,180.0,4,2
0,9,41886.0,13566,9,7,140495,9,2,5,2,0,64917,65.0,2,133840.0,9,5,53957,2275,184.0,2,1
0,0,87842.0,30666,8,8,216727,8,7,1,5,2,765724,72.0,10,,8,4,150321,95151,182.0,6,1
0,1,47686.0,17534,4,3,140333,4,6,3,6,4,59773,72.0,1,142502.0,7,5,37589,2325,183.0,5,1
0,7,,25335,7,6,184242,7,1,4,3,6,102035,,9,,6,0,93791,37447,177.0,6,1
0,6,,23436,0,0,179795,0,5,1,8,5,885025,,4,,0,2,95660,23206,180.0,6,1
0,3,22917.0,6177,1,1,140232,1,3,0,1,7,45643,65.0,0,134607.0,1,5,20659,1006,179.0,3,0
0,4,56210.0,20760,6,5,132426,6,5,1,4,10,86759,,8,145691.0,5,5,65954,16807,187.0,1,0
