ViafId,EntityType,LibraryOfCongressAuthorityId
118529766.0,1,2419
77234252.0,1,2218
18412706.0,1,1796
32052607.0,1,1066
6.451543810500303e+20,1,2201
209237510.0,1,844
64512861.0,1,523
5205757.0,1,2465
78620935.0,1,2544
8790941.0,1,1053
7013639.0,1,2412
163577212.0,1,2073
165718810.0,1,1989
4.411446477020495e+20,1,1720
26023663.0,1,1127
41789564.0,1,2508
306419623.0,1,1297
25602382.0,1,1331
40765404.0,1,903
9.420154260718624e+21,1,0
162509844.0,1,1057
205587624.0,1,1449
1.6391542604648245e+21,1,0
52012895.0,1,1838
308781257.0,1,673
1.3147965883284083e+19,1,2456
75921971.0,1,2386
7.614464849357988e+19,1,0
97105180.0,1,593
34869569.0,1,2282
1.0214464841501657e+20,1,608
7.151776826718012e+18,1,137
4.506149544594701e+21,1,0
9.114464837929715e+19,1,0
7944773.0,1,1486
53990535.0,1,2533
163061497.0,1,2562
30346698.0,1,1239
6.020154260396325e+21,1,0
27030590.0,1,2530
305081176.0,1,0
32600109.0,1,920
116936895.0,1,249
85552023.0,1,845
18105062.0,1,2620
249545401.0,1,1850
66024595.0,1,2203
24714654.0,1,1134
113821744.0,1,1613
27389221.0,1,46
51475722.0,1,1987
61664318.0,1,0
35927628.0,1,1365
1.6061578280051545e+21,1,0
1.111446484985746e+20,1,225
32115272.0,1,1290
118199910.0,1,989
29596677.0,1,2724
255333695.0,1,2330
85157288.0,1,0
29649406.0,1,348
5.801446477088167e+20,1,2193
34866556.0,1,1480
29535989.0,1,423
8823646.0,1,1235
3583348.0,1,226
97137272.0,1,1190
162827234.0,1,1490
9.533148947790755e+21,1,0
2.5221542607322245e+21,1,0
111641727.0,1,1051
32790793.0,1,1437
25399023.0,1,1305
9444521.0,1,2372
295712110.0,1,2119
49189666.0,1,0
301602088.0,1,1638
42034622.0,1,280
35617633.0,1,2411
22417211.0,1,847
24154714.0,1,0
162469274.0,1,1785
47910800.0,1,0
122004051.0,1,690
268786992.0,1,1529
5.607154260394624e+21,1,0
3370400.0,1,1722
301887080.0,1,0
8.27144647704463e+20,1,0
113938184.0,1,2323
61642911.0,1,853
57757200.0,1,1347
311320357.0,1,0
91990492.0,1,956
270593973.0,1,1116
67259478.0,1,1264
110689177.0,1,817
1.001446484985746e+20,1,0
47899683.0,1,1868
51594725.0,1,2795
268821340.0,1,2395
313416563.0,1,0
112098279.0,1,1177
84187569.0,1,2780
62965609.0,1,1131
83637623.0,1,2031
91167816.0,1,2036
1.1514464851658133e+20,1,0
297049928.0,1,0
63631616.0,1,0
264083379.0,1,58
77792589.0,1,1392
3.2514478271630744e+20,1,784
5.4149415180689555e+19,1,0
4.2441505676164066e+21,1,1976
36479799.0,1,2253
30338451.0,1,470
1.8146332832818729e+19,1,0
77127012.0,1,2766
66387804.0,1,2839
251028024.0,1,2788
77432655.0,1,1618
44314173.0,1,429
164525540.0,1,2670
251069.0,1,1750
161763566.0,1,1844
66382091.0,1,2822
165839252.0,1,2836
26179376.0,1,1619
308301212.0,1,1714
196287277.0,1,0
54261631.0,1,1511
48803797.0,1,2299
21499920.0,1,24
208732391.0,1,2094
7802662.0,1,2711
45575137.0,1,258
84323383.0,1,688
300213091.0,1,1030
64416857.0,1,879
49603371.0,1,2741
208310618.0,1,2793
76463760.0,1,1445
305089247.0,1,0
51078393.0,1,45
1.7914984199570283e+20,1,757
44721377.0,1,2298
44147617.0,1,2635
9.714464848600108e+19,1,1542
91756332.0,1,767
249037091.0,1,943
7.814464838641895e+19,1,0
44810378.0,1,2589
8.221446477087661e+20,1,0
54149729.0,1,589
237703433.0,1,2740
2.616151219557056e+19,1,0
56829491.0,1,1482
15069408.0,1,946
180320264.0,1,441
6.869154260575325e+21,1,0
266429226.0,1,2584
70033015.0,1,2609
79261609.0,1,1095
6.048154260484125e+21,1,0
272145220.0,1,0
64417156.0,1,2545
69847512.0,1,2166
107542095.0,1,1616
114389285.0,1,1409
212237538.0,1,0
17543928.0,1,2454
27232639.0,1,706
35986479.0,1,1503
1.6551615756319048e+21,1,2195
53274817.0,1,1632
22948821.0,1,1770
17634859.0,1,559
39325475.0,1,2509
38259602.0,1,635
2471084.0,1,457
5081862.0,1,487
28613570.0,1,1531
19797276.0,1,618
13887131.0,1,1622
67599169.0,1,1509
84947487.0,1,692
21164337.0,1,1410
1.4514464855167564e+20,1,1927
49031016.0,1,1997
305063114.0,1,0
325511.0,1,420
164830870.0,1,2147
8471563.0,1,0
3.229152502885011e+21,1,0
297456624.0,1,1771
163739370.0,1,0
25017542.0,1,2207
5103133.0,1,327
163452.0,1,681
35937301.0,1,2337
78974911.0,1,2027
167103772.0,1,1663
228391941.0,1,1354
2094191.0,1,0
78765789.0,1,2348
8.914464847315347e+19,1,0
59884621.0,1,1176
12170118.0,1,2677
95215697.0,1,246
62430269.0,1,1497
8.714464838651894e+19,1,0
5.9144648365883965e+19,1,0
8379377.0,1,606
12318728.0,1,1288
117247235.0,1,0
4.6714464769777566e+20,1,0
13029838.0,1,801
10642423.0,1,987
