ViafId,GeoNamesId,CommonsCategory,OpenStreetMapRelationId,ArchInformLocationId,WhosOnFirstId,AssociatedPeopleCategory,MusicBrainzAreaId,NationalLibraryOfIsraelJ9uId,OfficialWebsite,CountryName,StoreNorskeLeksikonId,BirthsCategory,MainCategory,FreebaseId,LibraryOfCongressAuthorityId,CoatOfArmsImage,INaturalistPlaceId
159439594.0,830685.0,68,1701740.0,2959.0,85683117.0,67,237,9.870075572502052e+17,97,17,159,37,64,185,160,200,30122.0
138220682.0,1835848.0,372,2297418.0,3175.0,85673185.0,290,255,9.870075642311052e+17,157,50,241,211,363,376,109,218,11005.0
259327743.0,2676174.0,404,398919.0,,,315,348,9.870075310693052e+17,161,54,268,314,398,450,367,311,44982.0
247369290.0,831040.0,319,1703362.0,16160.0,85683091.0,253,350,,127,17,209,180,319,187,0,269,
148338130.0,2658182.0,64,1702421.0,2942.0,85682325.0,388,75,9.870075526095052e+17,424,55,300,286,59,104,146,353,12676.0
130778640.0,4180439.0,14,119557.0,1812.0,85936429.0,31,58,9.870075549515052e+17,265,61,10,6,15,15,53,236,6990.0
235897079.0,2755250.0,139,409862.0,45198.0,,414,242,,8,33,174,314,141,472,0,169,17171.0
150068172.0,3220990.0,460,62496.0,325.0,101748579.0,364,1,9.870075573736051e+17,434,19,316,268,457,313,16,144,98494.0
147713487.0,2651712.0,88,88065.0,6585.0,85683641.0,78,207,9.870075549651052e+17,294,60,51,51,86,384,10,236,30332.0
156148995.0,830704.0,298,1701741.0,16159.0,85683099.0,243,25,9.870074966132051e+17,130,17,19,172,298,152,5,255,30125.0
155926635.0,7290581.0,76,148606.0,49352.0,,414,12,,133,60,174,314,73,326,392,236,
123162663.0,2847618.0,345,62341.0,2897.0,85682491.0,268,256,9.870075550350052e+17,393,19,223,191,336,258,253,103,12877.0
135467069.0,4331987.0,231,224922.0,2834.0,85688735.0,186,402,9.870075550833052e+17,230,61,151,129,227,226,155,236,27.0
152424766.0,647572.0,232,,,907198469.0,187,204,9.870075478454052e+17,110,17,152,314,228,100,0,222,
143085917.0,6558814.0,131,939334.0,11219.0,101788871.0,109,19,9.870075597388051e+17,311,19,83,310,132,137,295,342,
145266205.0,2925177.0,124,62768.0,141.0,101748475.0,103,65,9.870075551692051e+17,308,19,79,69,125,429,280,134,98327.0
237828069.0,6453341.0,470,406858.0,,1159297219.0,392,331,9.870075549461052e+17,202,36,326,291,467,453,152,360,40161.0
