BoigSardanistaSardanaId,ComposerName,EditionCount,MusicsperlacoblaSardanaId
11265.0,393,37.0,830
20494.0,141,,713
31107.0,146,29.0,736
21775.0,95,39.0,830
22574.0,393,33.0,305
24149.0,393,39.0,298
11245.0,393,27.0,830
11550.0,100,,830
28004.0,393,29.0,830
32501.0,54,,162
34303.0,52,25.0,664
11453.0,393,35.0,280
17490.0,395,33.0,637
30049.0,164,31.0,268
30686.0,34,,545
11390.0,393,39.0,830
4634.0,222,41.0,574
2754.0,68,24.0,718
21318.0,43,,667
12734.0,345,33.0,445
4389.0,281,,129
15003.0,395,35.0,830
2481.0,415,33.0,557
22365.0,70,19.0,644
1564.0,58,33.0,830
5811.0,191,41.0,146
23753.0,83,29.0,830
6323.0,236,,820
32563.0,3,,830
26883.0,268,,703
17828.0,411,33.0,368
29723.0,299,30.0,801
9479.0,398,35.0,830
23302.0,225,35.0,830
10622.0,387,,830
27917.0,393,37.0,830
1766.0,362,27.0,810
6262.0,393,27.0,308
28282.0,52,23.0,660
6063.0,168,33.0,380
17481.0,85,37.0,830
28005.0,393,29.0,830
11141.0,393,37.0,270
1998.0,407,33.0,830
5977.0,100,31.0,246
4261.0,263,27.0,619
29640.0,279,33.0,18
6108.0,345,37.0,447
11401.0,393,31.0,830
11232.0,393,37.0,830
4173.0,246,39.0,777
6740.0,393,29.0,830
18103.0,260,42.0,548
17299.0,298,,830
27971.0,393,33.0,830
31400.0,354,25.0,822
5260.0,365,41.0,371
13970.0,121,23.0,159
18220.0,273,,830
14154.0,163,,253
20454.0,276,34.0,830
17461.0,123,20.0,830
32384.0,94,46.0,830
1675.0,344,33.0,434
18258.0,131,29.0,472
4637.0,222,33.0,573
4432.0,286,35.0,375
1297.0,362,29.0,684
766.0,335,33.0,830
11732.0,91,59.0,830
28946.0,387,,830
27941.0,393,29.0,830
5974.0,100,33.0,244
29481.0,272,41.0,829
7844.0,65,39.0,466
31350.0,187,,830
11296.0,393,35.0,315
5133.0,399,31.0,249
14158.0,163,23.0,255
19786.0,350,25.0,735
20907.0,353,,258
20414.0,53,31.0,673
30920.0,304,33.0,830
1629.0,393,37.0,275
1258.0,393,37.0,293
10037.0,3,37.0,830
1777.0,242,33.0,711
6733.0,393,33.0,830
4339.0,270,28.0,745
36739.0,146,29.0,830
6711.0,393,33.0,301
5981.0,100,,830
18030.0,257,25.0,497
3120.0,106,37.0,797
18198.0,117,36.0,534
31674.0,188,31.0,830
11140.0,393,31.0,285
27500.0,393,33.0,830
18001.0,257,,830
7018.0,323,39.0,830
28012.0,393,35.0,830
19845.0,90,,830
22610.0,393,25.0,830
19392.0,383,33.0,830
22251.0,237,,830
10129.0,4,25.0,830
27233.0,351,34.0,830
22537.0,393,33.0,830
35435.0,52,25.0,830
11221.0,393,31.0,273
11283.0,393,37.0,830
5835.0,54,31.0,830
22061.0,195,29.0,438
34356.0,291,35.0,830
11337.0,393,30.0,299
2486.0,21,33.0,33
28021.0,393,37.0,830
3913.0,214,39.0,178
5507.0,406,29.0,75
27899.0,393,35.0,830
11999.0,103,25.0,830
7534.0,20,28.0,243
25714.0,393,31.0,830
14418.0,290,37.0,476
11384.0,393,30.0,830
4062.0,239,45.0,601
11367.0,393,33.0,830
7473.0,387,29.0,830
20376.0,174,,830
28410.0,216,33.0,830
5299.0,359,43.0,606
25023.0,74,39.0,830
15636.0,144,23.0,741
15375.0,363,31.0,763
15709.0,175,27.0,599
24003.0,393,33.0,830
29742.0,279,27.0,19
212.0,166,23.0,52
19385.0,383,,830
5813.0,155,29.0,830
20941.0,394,35.0,331
20171.0,252,33.0,457
9860.0,208,29.0,139
12935.0,413,35.0,486
11284.0,393,31.0,830
12548.0,250,35.0,437
4099.0,241,22.0,678
7561.0,232,30.0,264
1149.0,407,35.0,241
6696.0,166,33.0,53
11264.0,393,43.0,289
10529.0,352,35.0,230
10142.0,217,25.0,187
5025.0,346,31.0,453
20943.0,394,24.0,330
8122.0,395,31.0,830
1557.0,105,,830
939.0,66,36.0,411
17954.0,211,32.0,830
20539.0,303,25.0,2
1135.0,261,33.0,566
994.0,97,33.0,830
8011.0,363,19.0,765
4952.0,335,37.0,830
6660.0,369,37.0,707
22326.0,140,,830
18629.0,295,35.0,136
8191.0,271,43.0,830
36622.0,16,,830
18280.0,88,,117
33031.0,197,27.0,830
16016.0,269,33.0,712
2554.0,29,25.0,362
27399.0,393,31.0,830
29482.0,335,23.0,389
30256.0,393,27.0,830
18365.0,292,35.0,701
10028.0,3,35.0,168
33586.0,351,30.0,67
30380.0,56,45.0,578
8302.0,14,25.0,781
11249.0,393,33.0,830
18403.0,412,31.0,58
14854.0,263,33.0,617
34931.0,19,30.0,830
13456.0,186,29.0,830
1284.0,393,30.0,287
9268.0,2,28.0,106
33399.0,109,,627
5009.0,344,33.0,430
15524.0,84,33.0,665
6729.0,393,31.0,830
21640.0,118,33.0,160
7404.0,385,26.0,217
20933.0,332,25.0,328
9315.0,2,29.0,110
11426.0,393,37.0,830
23763.0,333,23.0,694
24618.0,52,32.0,830
18184.0,301,39.0,229
1430.0,116,31.0,393
29956.0,248,33.0,830
7467.0,387,25.0,232
5399.0,380,31.0,184
2975.0,116,33.0,399
20818.0,25,43.0,216
5976.0,100,39.0,247
2535.0,27,39.0,830
18127.0,1,23.0,778
1026.0,241,40.0,677
22598.0,34,,828
4447.0,317,25.0,153
4847.0,393,35.0,830
4540.0,298,35.0,830
11218.0,393,35.0,279
3369.0,173,35.0,503
6442.0,46,39.0,729
18645.0,134,35.0,211
36619.0,193,25.0,830
27901.0,393,27.0,830
3868.0,208,27.0,144
3033.0,96,35.0,41
11420.0,393,31.0,830
29730.0,404,,830
2154.0,397,,830
19782.0,350,24.0,733
20122.0,165,,830
32593.0,147,41.0,819
29755.0,61,27.0,265
19117.0,374,25.0,830
28943.0,67,,830
3185.0,126,35.0,465
30189.0,393,33.0,830
10182.0,217,25.0,193
23435.0,86,31.0,749
36740.0,119,23.0,830
8204.0,111,35.0,746
4217.0,261,31.0,830
34514.0,197,17.0,830
14020.0,46,33.0,731
11133.0,393,34.0,830
9183.0,132,27.0,78
17300.0,298,,830
27926.0,393,31.0,830
20631.0,79,25.0,43
9108.0,231,35.0,830
722.0,187,37.0,681
12340.0,328,,830
12314.0,286,27.0,376
11900.0,103,27.0,830
25636.0,384,26.0,696
14432.0,42,35.0,581
32739.0,220,30.0,830
11644.0,225,43.0,337
3128.0,107,43.0,591
11187.0,393,29.0,830
20416.0,53,,830
18437.0,8,22.0,608
15242.0,367,33.0,830
5003.0,344,25.0,429
14995.0,395,33.0,830
6594.0,396,33.0,659
27012.0,278,25.0,15
8951.0,205,28.0,63
26057.0,296,30.0,493
7048.0,188,27.0,830
6561.0,264,,642
