Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,691121,77,1,0,690219,0
0,13686177,101,1,0,13681198,0
1,243279,50,3,1,239581,1
0,68272,3,1,0,58754,0
1,429433,59,3,1,427442,0
1,350186,25,3,1,346785,1
0,66842,1,1,0,57327,0
1,335949,41,3,1,332707,0
0,691157,94,1,0,690288,0
1,12430,55,3,1,10808,0
1,66045,92,3,1,62704,1
1,515535,64,3,1,511714,0
1,1065895,85,3,1,1062773,0
1,213136,65,3,1,209912,0
1,523896,83,3,1,520486,1
0,682558,13,1,0,680154,0
1,9411,30,3,1,5572,0
0,13341943,99,2,0,13338355,0
1,75404,52,3,1,71586,1
1,142018,88,3,1,138758,0
0,5300473,98,1,0,5299394,0
0,15212101,100,2,0,15211018,0
0,683957,10,2,0,682659,0
1,259348,93,3,1,255518,0
1,49886,73,3,1,46212,1
1,605221,45,3,1,603080,0
1,2082,74,3,1,1,0
0,66669,0,1,0,58960,0
1,608315,32,3,1,604602,1
0,1167562,7,1,0,1158722,0
0,681513,78,2,0,680680,0
1,1109524,76,3,1,1105571,1
1,300213,43,3,1,298375,0
1,337613,96,3,1,336009,1
1,45188,12,3,1,41949,1
1,581064,63,3,1,577246,0
1,44223,89,3,1,37483,0
1,602157,20,3,1,598276,0
1,1379419,38,3,1,1376159,1
1,469174,16,3,1,465341,0
1,458499,82,3,1,454699,1
1,506172,34,3,1,503089,1
1,7274,21,3,1,4287,1
1,11129,47,3,1,7485,1
1,469188,90,3,1,465982,0
1,430849,58,3,1,429539,0
1,53929,26,3,1,50219,0
0,3249490,5,1,0,3247895,1
1,605437,62,3,1,602729,1
1,250445,44,3,1,248646,0
1,956510,84,3,1,952710,1
1,5940,17,3,1,2836,1
1,89728,24,3,1,86798,1
1,1287934,37,3,1,1284098,1
1,2438,53,3,1,6,1
1,1560,56,3,1,1,0
1,1219117,102,3,1,1216267,0
1,377243,97,3,1,373542,1
1,8619,79,3,1,6454,1
1,24589,81,3,1,20873,1
1,7843,42,3,1,4586,1
1,1054897,57,3,1,1051832,0
0,8248,8,1,0,38,1
1,1056376,80,3,1,1052489,0
1,26933,86,3,1,23172,1
1,65270,54,3,1,61929,1
1,337509,69,3,1,335044,0
1,233680,60,3,1,230456,1
1,788786,11,3,1,784983,1
1,296568,95,3,1,292768,1
1,1671383,23,3,1,1667499,1
1,37473,48,3,1,33883,1
1,80768,61,3,1,77490,1
1,31420,91,3,1,29030,1
1,507690,36,3,1,504439,0
1,74860,87,3,1,71606,1
1,280505,28,3,1,278556,1
1,81642,29,3,1,72760,1
1,22348,46,3,1,18539,1
1,248545,70,3,1,245762,0
1,643039,71,3,1,641519,0
1,2692,72,3,1,2,0
0,1413533,6,1,0,1404693,0
1,587652,31,3,1,583996,1
1,43248,35,3,1,39526,1
0,3247776,4,1,0,3246661,1
1,247107,66,3,1,243913,0
1,8539,19,3,1,4712,0
1,4154,15,3,1,495,1
1,1529406,68,3,1,1525576,1
1,10865,75,3,1,9594,1
1,1372594,33,3,1,1368890,0
1,1448442,39,3,1,1444648,0
1,1217402,67,3,1,1214406,0
0,68055,2,1,0,58540,0
0,6687,14,0,0,6370,1
1,250771,49,3,1,246869,1
1,654188,51,3,1,650496,0
1,19296,40,3,1,16819,0
1,444498,22,3,1,440737,1
1,3051,9,3,1,1,0
1,446032,27,3,1,442286,1
1,22025,18,3,1,18780,1
