SportType,StageLabel,StageDistanceKm,ProCyclingStatsRaceId,StartLocation,StageType,StageWinner,RaceEvent,NextStage,PreviousStage,StageNumber,StageClassificationLeader,GeneralClassificationLeader,StageDescription
1,0,,,3,0,7,0,0,0,5,4,5,0
1,6,220.0,,1,7,5,2,2,5,1,1,2,0
1,9,25.0,,2,6,6,2,10,8,4,2,1,0
1,1,,,3,3,4,1,5,1,5,4,5,0
0,2,,,3,4,1,1,6,2,5,4,5,0
1,10,,275972.0,3,1,5,4,9,9,5,4,3,0
1,5,146.0,,0,9,8,2,1,4,0,3,4,0
1,8,174.0,,5,8,9,2,4,7,3,5,6,0
1,3,,,3,5,3,5,7,9,5,4,5,0
1,4,1076.0,162766.0,6,2,2,3,8,3,5,4,1,1
1,7,223.0,,4,8,0,2,3,6,2,0,0,0
