SportType,ProCyclingStatsRaceId,EditionNumber,StartLocation,StageWinner,GoogleKnowledgeGraphId,EndLocation
0,,11.0,19,23,27,15
0,247548.0,67.0,16,16,26,12
0,247151.0,55.0,11,29,24,21
0,,47.0,17,20,38,20
0,,12.0,19,19,2,15
0,279094.0,58.0,11,26,38,21
0,255991.0,104.0,26,8,21,13
0,,,19,23,6,15
0,209948.0,73.0,18,26,20,6
0,,6.0,19,25,0,15
0,279716.0,49.0,22,6,38,10
0,294252.0,50.0,22,27,38,2
0,,9.0,19,23,12,15
0,,8.0,19,29,9,15
0,255766.0,74.0,20,13,29,5
0,,7.0,19,15,4,15
0,290104.0,59.0,11,17,38,21
0,218505.0,4.0,10,14,15,1
0,,14.0,19,11,8,15
0,,18.0,19,23,38,15
0,269592.0,52.0,2,4,38,3
0,,16.0,19,26,16,15
0,270463.0,36.0,27,0,38,24
0,,12.0,19,2,1,15
0,268362.0,109.0,5,17,28,16
0,269820.0,68.0,14,24,38,9
0,181201.0,13.0,12,8,11,19
0,255955.0,10.0,6,9,38,23
0,,11.0,19,34,38,15
0,247231.0,103.0,15,32,19,13
0,218466.0,66.0,21,7,14,12
0,210041.0,15.0,3,18,18,7
0,,2.0,19,23,33,15
0,,,19,23,38,15
0,,18.0,19,23,38,15
0,,5.0,19,23,36,15
0,,1.0,19,23,23,15
0,,22.0,19,23,5,15
0,,8.0,19,29,9,15
0,,10.0,19,23,22,15
0,289984.0,24.0,25,30,38,14
0,255531.0,56.0,11,31,34,21
0,,15.0,19,3,13,15
0,279601.0,39.0,24,21,38,22
0,,,19,23,3,15
0,,4.0,19,23,38,15
0,,12.0,19,23,38,15
0,,7.0,19,15,4,15
0,255367.0,51.0,2,33,30,3
0,,17.0,19,23,35,15
0,282704.0,50.0,7,10,38,4
0,269600.0,73.0,9,1,38,25
0,,13.0,19,23,38,15
0,,19.0,19,23,38,15
0,255453.0,3.0,0,31,31,0
0,,,19,23,37,15
0,279354.0,78.0,1,28,32,11
0,170970.0,12.0,23,12,7,17
0,,15.0,19,3,13,15
0,268290.0,57.0,11,31,38,21
0,190625.0,36.0,24,35,10,22
0,268394.0,74.0,8,26,38,18
0,,,19,23,38,15
0,247576.0,5.0,4,22,25,1
0,268264.0,4.0,13,31,38,8
0,,3.0,19,23,38,15
0,218479.0,49.0,2,5,17,3
0,255453.0,3.0,0,31,31,0
0,,9.0,19,23,12,15
