Gene_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,3114645,5,5,4,2,3113716,1
0,11827525,19,19,3,2,11825876,0
0,2584883,3,3,3,2,2583168,1
0,15222966,26,26,3,0,15221143,1
0,2484598,2,2,4,2,2482946,1
0,16536814,29,29,4,2,16535087,1
0,11110825,17,17,4,2,11109716,0
0,19198058,34,34,4,2,19196265,0
0,15208834,25,25,3,5,15207657,0
0,21652250,38,38,4,2,21651465,1
0,8102835,10,10,4,5,8101324,1
0,3408436,6,6,3,2,3406694,1
0,8714764,11,11,3,5,8714108,0
0,13536464,23,23,3,2,13535010,1
0,16035426,28,28,3,3,16034275,0
0,11338656,18,18,4,3,11337604,0
0,5858117,8,8,4,3,5857149,0
0,109749,41,41,2,2,108094,1
0,19719069,36,36,4,2,19717789,1
0,11903031,20,20,4,3,11901664,0
0,13602436,24,24,3,2,13600727,1
0,16940003,31,31,0,2,16938267,1
0,12475698,22,22,4,2,12473968,0
0,19493479,35,35,4,5,19491830,1
0,729313,0,0,4,2,727583,0
0,10013846,14,14,4,6,10011450,1
0,2078700,1,1,4,1,2077966,1
0,17697736,32,32,0,2,17696702,1
0,15966851,27,27,3,2,15965034,0
0,10739420,16,16,4,3,10738391,1
0,21644712,37,37,0,3,21643691,0
0,4856229,7,7,3,5,4855079,0
0,10151192,15,15,4,2,10149456,0
0,9226812,12,12,4,2,9225424,1
0,24170195,40,40,0,2,24168318,0
0,9500152,13,13,3,2,9498311,1
1,2789368,4,4,1,4,2788047,0
0,18084214,33,33,4,2,18082439,1
0,7182424,9,9,3,5,7181951,0
0,12085133,21,21,3,3,12083649,0
0,23930113,39,39,4,3,23929616,1
0,16543225,30,30,0,2,16541663,1
