PROFESSION,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,SOCIAL_MEDIA_FOLLOWERS,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_NAME,NATIONALITY,BIRTH_PLACE,UCI_RIDER_ID,LANGUAGES,WEIGHT_KG,BIRTH_DATE,SPORTS_TEAM,LAST_NAME,FIRST_NAME,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,HEIGHT_CM
0,4,41075.0,10536.0,1,8232.0,140489,1,2,9,60455,2,68.0,3,5,8,1,46549,948,183.0
0,11,48798.0,17908.0,7,12892.0,135468,7,1,4,75247,4,64.0,8,2,11,6,61314,8068,181.0
0,10,3827.0,4557.0,12,120363.0,140194,12,1,12,48167,4,69.0,2,7,2,11,25237,1783,179.0
1,2,49682.0,17893.0,11,39580.0,134456,11,9,3,553301,1,58.0,10,11,13,10,65130,6242,172.0
0,13,54395.0,20730.0,13,252749.0,168961,13,1,5,75859,0,70.0,12,0,14,12,74709,18258,187.0
0,7,63024.0,23763.0,4,2760.0,193292,3,0,13,97805,4,66.0,14,9,9,3,108136,42186,188.0
0,1,7764.0,1237.0,5,41367.0,140800,5,7,7,29164,1,70.0,0,11,5,5,10911,706,183.0
0,14,,17088.0,2,,141172,2,5,1,86769,4,,7,10,6,2,78354,11191,
0,12,69327.0,,14,,205901,14,8,2,112276,5,,13,4,10,13,96911,46625,179.0
1,5,28995.0,7268.0,0,14079.0,140230,0,3,11,30942,3,67.0,1,2,3,0,36522,3103,181.0
0,3,46381.0,18610.0,9,77168.0,137427,9,2,10,71557,2,62.0,9,8,0,8,63999,12474,173.0
1,6,39287.0,13240.0,8,66281.0,140835,8,3,6,55029,3,67.0,4,6,12,7,21075,1310,178.0
0,8,41076.0,13362.0,10,56034.0,139405,10,6,14,65995,4,70.0,6,1,1,9,51551,3277,177.0
0,9,51744.0,19238.0,6,38200.0,138396,6,4,0,72932,4,70.0,11,12,4,6,66031,7720,177.0
0,0,30118.0,9773.0,3,36240.0,140157,4,10,8,54875,4,68.0,5,3,7,4,43137,2336,182.0
