PROFESSION,NATIONALITY,PROFILE_IMAGE,BIRTH_DATE,SPORTS_TEAM,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,LAST_NAME,FIRST_NAME,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,COMMONS_CATEGORY,PRO_CYCLING_STATS_CYCLIST_ID,BIRTH_PLACE,UCI_RIDER_ID,CYCLING_DISCIPLINE,CYCLIST_DESCRIPTION,CYCLING_ARCHIVES_CYCLIST_ID
0,2,4,3,5,41075.0,10536.0,8,1,948,183.0,1,140489,9,60455,2,7,46549
0,1,11,8,2,48798.0,17908.0,11,6,8068,181.0,7,135468,4,75247,2,2,61314
0,1,10,2,7,3827.0,4557.0,2,11,1783,179.0,12,140194,12,48167,2,3,25237
1,9,2,10,11,49682.0,17893.0,13,10,6242,172.0,11,134456,3,553301,3,4,65130
0,1,13,12,0,54395.0,20730.0,14,12,18258,187.0,13,168961,5,75859,1,2,74709
0,0,7,14,9,63024.0,23763.0,9,3,42186,188.0,4,193292,13,97805,2,1,108136
0,7,1,0,11,7764.0,1237.0,5,5,706,183.0,5,140800,7,29164,2,12,10911
0,5,14,7,10,,17088.0,6,2,11191,,2,141172,1,86769,2,11,78354
0,8,12,13,4,69327.0,,10,13,46625,179.0,14,205901,2,112276,2,13,96911
1,3,5,1,2,28995.0,7268.0,3,0,3103,181.0,0,140230,11,30942,3,9,36522
0,2,3,9,8,46381.0,18610.0,0,8,12474,173.0,9,137427,10,71557,1,6,63999
1,3,6,4,6,39287.0,13240.0,12,7,1310,178.0,8,140835,6,55029,3,10,21075
0,6,8,6,1,41076.0,13362.0,1,9,3277,177.0,10,139405,14,65995,3,8,51551
0,4,9,11,12,51744.0,19238.0,4,6,7720,177.0,6,138396,0,72932,0,5,66031
0,10,0,5,3,30118.0,9773.0,7,4,2336,182.0,3,140157,8,54875,2,0,43137
