GeneClassification,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,GeneType,OrthologousGene,GenomicStartPosition,StrandOrientation
1,8079661,106,106,4,1,8,8078567,0
1,11072966,143,143,4,1,8,11071767,0
1,399424,2,2,4,1,8,398357,1
1,7317315,95,95,4,1,8,7316389,0
0,13676580,185,185,4,0,3,13675672,0
0,12922778,167,167,4,0,1,12921741,1
1,10043962,124,124,4,1,8,10042970,1
0,1070261,10,10,4,0,7,1069203,1
0,650633,5,5,4,0,1,649602,1
1,15869900,219,219,4,1,8,15868737,0
0,2618113,26,26,4,0,1,2617085,0
0,1075153,11,11,4,0,3,1074146,1
0,10690268,135,135,4,0,1,10689213,0
1,14736174,194,194,4,1,2,14735137,1
1,3870901,50,50,4,1,8,3869591,1
1,12752736,164,164,4,1,8,12751600,1
0,6024898,81,81,4,0,3,6023867,0
1,6052501,82,82,4,1,8,6051458,1
0,11908845,156,156,4,0,3,11907763,0
1,11636458,151,151,4,1,2,11635427,1
1,11821242,153,153,4,1,8,11820139,1
0,1091068,13,13,4,0,1,1090040,1
0,6552221,87,87,4,0,1,6551190,1
0,12776244,166,166,4,0,1,12775180,0
0,4661896,60,60,4,0,1,4660850,1
0,12024392,159,159,3,0,1,12023694,0
1,5610557,71,71,4,1,8,5609394,1
0,10697961,136,136,4,0,3,10696900,0
0,3201152,41,41,4,0,1,3200130,0
0,11795184,152,152,4,0,3,11794162,1
1,12975701,169,169,4,1,2,12974564,0
1,2623678,27,27,4,1,2,2622551,0
0,14061641,188,188,4,0,3,14060619,0
0,5529268,67,67,4,0,1,5528171,0
0,3396906,42,42,4,0,1,3395821,0
0,6186983,84,84,1,0,1,6186102,1
1,8558806,109,109,4,1,8,8557664,1
0,11027091,139,139,0,0,1,11026060,1
0,9079565,115,115,4,0,1,9078525,1
1,2062955,21,21,4,1,8,2061858,0
0,15249720,203,203,4,0,1,15248707,0
0,4217830,57,57,4,0,3,4216805,0
0,11629802,150,150,4,0,3,11628783,1
1,7318448,96,96,4,1,2,7317402,0
1,14268702,191,191,9,1,2,14267807,1
1,6854082,88,88,4,1,8,6852934,1
1,15293907,206,206,4,1,2,15292789,0
0,6354597,85,85,0,0,1,6354109,1
1,11033475,140,140,4,1,8,11032478,0
0,6544562,86,86,4,0,3,6543552,1
1,10169864,127,127,4,1,2,10168681,1
0,3909879,51,51,4,0,3,3908887,1
0,10611003,131,131,4,0,3,10610206,1
1,7781,223,223,2,1,6,6699,0
0,5873017,77,77,4,0,3,5871956,1
0,4198138,56,56,7,0,3,4197374,0
1,6860436,89,89,9,1,2,6859351,1
0,13238507,175,175,4,0,3,13237458,1
0,9110101,117,117,4,0,1,9109139,1
0,5572292,70,70,7,0,1,5571425,0
0,7187489,94,94,4,0,3,7186437,1
1,15463627,210,210,4,1,8,15462293,1
0,11044403,142,142,0,0,3,11043360,0
0,13471047,179,179,4,0,1,13469977,1
0,6876412,90,90,4,0,3,6875396,0
0,15548039,214,214,4,0,3,15547005,1
0,4189414,55,55,4,0,1,4188470,0
0,8103004,107,107,4,0,3,8101955,0
0,1968691,20,20,4,0,3,1967645,1
0,13487826,180,180,4,0,1,13486831,1
0,12668918,163,163,4,0,1,12667941,0
0,14803568,195,195,4,0,1,14802528,1
0,9111286,118,118,3,0,1,9110645,1
1,10175978,128,128,4,1,2,10174812,1
0,10063828,125,125,4,0,1,10062812,1
1,11415026,149,149,4,1,2,11413865,1
0,3839108,49,49,0,0,3,3838143,1
0,15245981,202,202,4,0,3,15245001,0
0,4794170,62,62,4,0,3,4793112,0
0,11039441,141,141,0,0,1,11038383,0
0,996150,7,7,4,0,1,995096,1
0,2610589,24,24,3,0,1,2610110,1
0,1948983,19,19,4,0,1,1947973,1
1,12986117,170,170,6,1,8,12985017,0
0,8611154,110,110,3,0,1,8610666,1
0,3159817,37,37,3,0,1,3159308,0
0,5566967,69,69,4,0,1,5565966,0
1,10865512,137,137,4,1,2,10864281,0
0,15381893,207,207,4,0,3,15380895,1
0,2675101,30,30,4,0,1,2674088,0
0,13656596,182,182,1,0,1,13655969,1
0,15734997,217,217,4,0,3,15733954,1
0,7990190,104,104,1,0,1,7989512,1
0,1530030,17,17,4,0,1,1528990,0
1,15617770,215,215,9,1,2,15617138,0
0,8548650,108,108,3,0,1,8547976,1
1,13261045,176,176,5,1,2,13259773,0
0,6795,221,221,2,0,0,5740,0
1,14315393,193,193,4,1,8,14314118,0
0,5656284,74,74,4,0,1,5655262,1
0,13209191,174,174,4,0,3,13208058,0
0,13010781,171,171,4,0,3,13009759,1
0,5635227,72,72,4,0,1,5634100,1
0,2612985,25,25,4,0,3,2611942,1
1,3481477,45,45,4,1,2,3480417,1
0,9042467,113,113,4,0,3,9041418,1
1,11931847,158,158,4,1,8,11930744,0
0,10615448,132,132,4,0,1,10614405,1
0,12650587,162,162,0,0,1,12650045,1
0,972563,6,6,4,0,1,971490,1
0,15771876,218,218,4,0,3,15770842,1
1,14074478,190,190,4,1,5,14073441,1
0,1872491,18,18,4,0,1,1871409,1
0,12769646,165,165,4,0,3,12768564,1
0,361146,1,1,4,0,3,360103,0
0,6976684,92,92,3,0,1,6976217,0
0,2221558,22,22,4,0,3,2220551,0
0,10679542,134,134,4,0,1,10678550,0
1,9956399,122,122,4,1,2,9955395,1
1,10868784,138,138,4,1,8,10867744,1
0,13149864,172,172,4,0,3,13148833,0
0,8078463,105,105,4,0,3,8077390,0
0,3487364,46,46,4,0,1,3486321,1
0,7988125,103,103,4,0,1,7987085,0
1,7499541,97,97,4,1,2,7498552,0
0,15486768,212,212,4,0,1,15485722,0
0,15261276,204,204,4,0,3,15260260,1
0,4009957,52,52,4,0,3,4008911,0
0,13934901,186,186,4,0,3,13933864,0
0,3823268,48,48,4,0,3,3822219,0
0,2827664,32,32,4,0,1,2826519,0
0,12497012,161,161,3,0,1,12496449,0
1,9245357,119,119,4,1,8,9244299,1
0,2667781,29,29,4,0,1,2666693,0
0,7128584,93,93,4,0,1,7127547,1
0,14293891,192,192,3,0,1,14293424,0
0,9100845,116,116,4,0,1,9099808,1
0,1324875,16,16,4,0,1,1323609,0
0,13641800,181,181,4,0,1,13640808,1
0,13431354,178,178,4,0,1,13430320,0
0,4520224,59,59,1,0,3,4519742,1
1,2664952,28,28,4,1,2,2663984,1
0,13192541,173,173,7,0,1,13191587,1
0,11897827,155,155,4,0,3,11896778,1
0,1066919,9,9,3,0,1,1066278,0
0,2860949,33,33,4,0,3,2860035,1
0,5560013,68,68,4,0,1,5558991,1
0,13667314,184,184,4,0,1,13666319,0
1,14830154,197,197,4,1,2,14829021,1
1,11923602,157,157,4,1,8,11922572,0
0,9900372,121,121,4,0,3,9899356,1
0,2822219,31,31,4,0,1,2821179,1
