Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,MemoireDuCyclismeCyclistId,Biography,Nationality,TwitterHandle,SportType,SpecialtyPosition,Birthplace,UciRiderId,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId
0,22,47214.0,16722,21,14,34792.0,140674,21,46202.0,18,1,9,0,5,19,64531,71.0,15,132670.0,21,21,52973,6228,16,183.0,19
0,16,43329.0,17902,12,7,,131925,12,32534.0,8,5,7,5,0,8,68833,,19,124648.0,10,12,39987,6100,15,180.0,15
0,6,50824.0,18498,3,0,5628.0,138830,3,,5,12,5,1,0,23,63841,72.0,18,,15,3,58906,16154,6,187.0,8
0,2,47767.0,18714,2,0,33298.0,137724,2,55992.0,11,3,14,5,2,17,68950,58.0,20,125017.0,4,2,38737,16752,13,169.0,16
0,8,,18638,16,0,,132259,16,,17,9,7,0,0,16,70651,63.0,17,,7,16,71526,11010,10,178.0,22
0,3,10227.0,3360,24,16,133768.0,140843,24,15207.0,12,4,22,0,4,5,28586,75.0,3,125462.0,13,24,18086,95,14,185.0,6
0,19,26009.0,12193,17,10,1940308.0,140797,17,9096.0,19,10,18,3,5,24,54603,78.0,10,125137.0,18,17,30229,784,1,184.0,10
0,23,46924.0,16739,23,15,16023.0,139066,23,,15,7,21,2,0,18,68892,70.0,16,135009.0,19,23,60442,3930,7,178.0,2
0,13,,4555,5,3,2192.0,138681,5,,3,1,15,0,0,9,44976,77.0,6,,2,5,17995,2146,6,189.0,22
0,21,8424.0,6784,13,8,226627.0,140342,13,6756.0,13,4,17,0,6,1,45024,82.0,8,,12,13,18093,1007,14,188.0,14
0,10,,19263,7,0,,134362,7,,0,13,7,0,4,7,86338,,9,,11,7,52678,12798,5,,0
1,17,2747.0,3448,14,0,1352523.0,140768,14,2120.0,4,12,4,5,2,6,32923,70.0,4,113223.0,1,14,16824,14,14,175.0,11
0,24,6154.0,267,20,13,110646.0,140757,20,12313.0,22,0,19,4,0,14,25781,64.0,0,111595.0,9,20,3175,339,14,170.0,9
0,25,54395.0,20730,25,17,252749.0,168961,25,,2,1,10,1,3,10,75859,70.0,25,141009.0,22,25,74709,18258,8,187.0,3
1,14,46326.0,13153,0,0,2084.0,137531,0,45454.0,16,8,11,5,0,2,44055,71.0,14,126206.0,8,0,25006,17940,0,181.0,17
0,22,47214.0,16722,21,14,34792.0,140674,21,46202.0,18,1,9,0,5,19,64531,71.0,15,132670.0,21,21,52973,6228,16,183.0,19
1,12,19255.0,3891,10,0,508772.0,140196,10,19127.0,21,12,3,5,1,4,32532,71.0,5,113194.0,20,10,11292,716,12,183.0,5
0,20,19989.0,5714,18,0,,140068,18,2188.0,7,2,7,4,1,11,56349,,2,,17,18,17257,3212,2,,1
0,7,46049.0,19242,4,2,,139823,4,39932.0,9,6,0,1,2,20,69149,80.0,22,,17,4,43239,7730,3,183.0,21
0,19,26009.0,12193,17,10,1940308.0,140797,17,9096.0,19,10,18,3,5,24,54603,78.0,10,125137.0,18,17,30229,784,1,184.0,10
0,4,56070.0,20777,8,5,203494.0,179769,8,,6,2,2,5,0,12,86568,71.0,24,133261.0,17,8,79781,18575,4,180.0,22
0,5,41890.0,17794,6,4,16190.0,139904,6,47192.0,10,6,1,5,0,22,68844,64.0,21,145561.0,23,6,52412,7724,2,187.0,20
1,0,28095.0,12823,19,12,,137337,19,45429.0,1,0,8,5,0,0,58891,71.0,12,123794.0,5,19,34412,2322,14,182.0,7
0,1,3262.0,387,1,1,1397142.0,137456,1,2513.0,20,11,12,4,1,13,518429,62.0,1,111578.0,3,1,1567,3,13,176.0,13
0,15,57074.0,21113,11,9,1182.0,162756,11,,14,7,6,4,0,21,79350,69.0,23,145113.0,16,11,71921,16660,9,189.0,22
0,18,38259.0,13066,15,0,26443.0,140384,15,45665.0,1,0,13,4,2,3,62919,72.0,13,,14,15,39964,2211,11,178.0,12
0,9,43391.0,7948,22,11,2081.0,139845,22,,2,1,20,0,2,9,59022,71.0,7,,6,22,61694,865,7,179.0,4
0,11,40311.0,12254,9,6,22968.0,140150,9,55229.0,16,8,16,4,0,15,64445,58.0,11,135361.0,0,9,53220,3352,6,180.0,18
