Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Current_Team,Memoire_Du_Cyclisme_Cyclist_Id,Nationality,Sport_Type,Birthplace,Uci_Rider_Id,Native_Name,Languages,Weight_Kg,Birth_Date,Olympedia_People_Id,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Events_Participated,Height_Cm,Freebase_Id
1,0,28095.0,12823,16,,137337,2,45429.0,0,3,1,58891,8,2,71.0,11,123794.0,0,15,34412,2322,6,182.0,6
0,8,27794.0,12923,6,156620.0,140821,8,28843.0,6,2,4,58528,3,6,65.0,12,120895.0,7,6,36053,2961,5,176.0,12
0,16,6263.0,45,11,247878.0,140855,2,12393.0,1,2,15,24166,5,5,70.0,3,103635.0,3,10,4177,174,0,179.0,11
0,7,65227.0,26509,5,,194909,1,,11,2,2,111440,2,5,57.0,17,146670.0,4,5,99609,46163,3,173.0,14
0,1,7764.0,1237,2,41367.0,140800,10,6404.0,9,2,7,29164,0,2,70.0,5,120395.0,6,2,10911,706,5,183.0,8
0,2,16289.0,5,0,470645.0,140924,6,19443.0,10,2,11,14575,4,5,61.0,0,103634.0,12,0,7005,38,5,177.0,7
0,9,9669.0,612,7,,133502,13,14763.0,4,2,16,28177,4,4,,1,,9,7,9747,143,6,,3
0,11,19981.0,6905,12,9389.0,140637,7,14630.0,5,3,6,46099,4,5,72.0,9,,9,11,22822,2149,6,181.0,5
0,10,26009.0,12193,10,1940308.0,140797,3,9096.0,8,1,18,54603,4,8,78.0,10,125137.0,11,9,30229,784,1,184.0,9
0,14,6162.0,2364,15,131674.0,140923,11,12324.0,5,2,14,484564,4,5,,8,111601.0,2,14,15061,41,2,189.0,2
0,3,,24316,1,,181239,5,,7,0,17,97280,10,7,67.0,14,146238.0,15,1,104872,37281,4,186.0,14
0,15,47214.0,16722,17,34792.0,140674,7,46202.0,1,0,12,64531,4,5,71.0,13,132670.0,16,16,52973,6228,7,183.0,13
0,6,69190.0,25740,4,,196424,9,,2,2,5,112082,4,0,,16,,14,4,115868,38195,4,175.0,14
0,12,83295.0,28377,13,84000.0,212377,8,,1,2,0,587366,6,5,62.0,18,141007.0,1,12,141854,84019,4,171.0,14
0,5,16313.0,3333,3,134950.0,140752,2,19461.0,1,2,10,44513,1,1,74.0,7,126409.0,13,3,18746,150,6,181.0,0
0,13,30026.0,7147,14,140921.0,140611,2,42655.0,0,2,8,57601,7,2,62.0,6,132499.0,10,13,32008,563,6,172.0,10
0,18,7625.0,3939,8,,140595,4,6352.0,3,2,9,46933,9,3,,4,,5,18,19736,949,5,,4
0,17,62708.0,24758,18,9311.0,176726,0,,3,2,3,91637,4,3,,15,,8,17,89011,37379,3,178.0,14
0,4,2132.0,606,9,,140197,12,4242.0,7,0,13,23149,4,7,68.0,2,,9,8,2768,557,6,178.0,1
