StrandOrientation,OrthologId,GenomicEndPosition,GeneDbId,ChromosomeId,GenomicStartPosition,EncodedProteinDescription
1,99,7608,40,88,6745,5
0,115,326018,97,22,323649,5
0,16,476915,36,3,476025,5
1,72,114401,60,59,112584,5
0,92,2332647,195,54,2330257,5
1,140,80177,230,13,78453,5
1,93,8014,79,10,5234,5
1,62,557,86,104,3,5
1,73,74182,14,21,73355,5
1,51,346408,201,60,346178,4
0,79,921959,61,35,919047,5
0,9,1129891,141,42,1128836,5
0,12,2216,39,87,1884,5
1,77,40192,221,63,38090,5
1,123,612,67,43,103,5
0,136,929,170,127,3,5
1,121,9109,148,27,6119,5
1,121,35665,146,27,33647,5
0,35,223303,151,24,221369,5
1,88,30441,191,130,27628,5
0,76,1639600,194,53,1637255,5
1,7,67398,219,52,66466,5
0,65,122795,34,8,121053,5
0,9,1121147,211,42,1120731,5
1,132,216652,229,26,216302,5
1,72,53404,239,37,53066,5
1,16,20561,115,40,20007,5
1,8,215357,59,25,214062,5
0,105,543960,132,6,542011,5
1,89,23503,234,5,21764,5
1,77,56787,222,63,55507,5
0,87,857583,104,32,854629,5
0,35,615828,182,24,612868,5
0,24,3521,171,83,564,5
0,114,640889,119,14,638082,5
1,13,119855,177,7,118959,5
0,110,202126,72,57,201683,2
0,37,157631,180,50,157230,2
0,46,218,150,121,3,1
0,63,578507,183,24,577500,5
0,103,835,4,86,1,5
1,60,12423,123,25,10753,5
1,140,100170,25,13,98553,5
1,21,74123,118,58,73479,5
1,61,17384,120,113,15111,5
1,16,395,197,84,3,5
0,96,1415811,19,46,1415230,1
0,133,229154,238,7,227562,5
1,25,47729,117,58,46503,5
1,10,10942,196,30,10619,5
1,71,45868,107,45,44981,5
0,137,10805,101,110,10074,5
0,121,706956,35,27,704473,5
0,129,4265,62,98,3411,2
1,99,8105,56,95,5802,5
0,19,1034156,70,38,1031220,5
0,69,1842055,205,49,1840004,5
1,22,7838,212,133,7741,5
1,17,4117,6,64,2168,5
0,117,1411,1,71,1097,2
0,73,51751,102,21,49106,5
1,1,2184398,81,54,2181870,5
1,21,76293,26,58,74227,5
1,113,28437,215,54,25624,5
0,22,1399795,22,46,1397420,5
1,60,6985,77,101,4031,5
1,31,46358,87,15,44298,5
0,109,1122061,140,42,1121249,5
1,58,57738,223,63,56893,5
0,123,11717,172,128,11061,5
0,108,629366,204,46,627348,5
1,130,34648,28,37,31775,5
1,92,41471,152,54,39177,5
1,134,42976,227,39,42014,5
0,34,2400,162,124,211,5
0,42,3058,134,118,647,5
1,27,71748,31,52,71398,0
0,120,202086,210,56,201577,2
0,85,368350,48,56,367493,5
1,58,83691,192,2,83233,5
1,128,33312,75,38,32212,5
0,90,1050263,154,47,1049748,5
0,55,358301,168,56,355485,5
1,8,23148,135,41,20869,5
1,130,1686,2,74,1,5
0,40,1381,98,108,2,5
0,94,1130987,142,42,1130442,1
1,132,33975,33,26,32362,5
1,84,47107,231,13,46339,5
1,119,25397,147,27,23602,5
0,7,2035,125,116,1445,5
1,79,254233,176,35,251879,5
1,49,282,113,82,1,2
0,4,270124,225,53,267929,5
0,45,3364,166,126,1112,5
0,3,8634,57,96,6310,5
0,44,6051,105,81,3256,5
0,63,88109,216,24,87465,5
0,45,794,8,65,3,5
1,119,36817,145,27,35931,5
1,28,15156,23,76,14362,5
0,76,903359,156,53,902475,5
0,3,513917,236,5,513297,5
1,52,24472,184,14,23342,5
1,140,46075,232,13,44094,5
1,33,4117,224,47,1346,5
1,116,1991,174,129,321,5
1,27,7580,82,102,6150,5
0,1,281858,149,54,279111,5
0,54,581031,237,19,580762,2
0,57,783875,65,29,783721,5
0,48,228,17,73,1,5
0,139,6341,58,97,3546,5
1,135,28634,137,17,28311,5
0,124,392192,100,28,389835,5
1,59,2270,55,94,1968,0
1,23,17833,29,46,17345,1
0,72,609376,203,11,606950,5
1,15,2735,213,134,1362,5
0,108,1444050,21,46,1442287,5
0,20,922,9,66,412,5
0,81,481120,103,0,478592,5
0,39,215,5,115,3,5
1,67,2208,139,119,1,5
1,93,15743,202,31,15195,5
0,2,4959,95,107,2632,5
1,38,38673,85,103,38134,5
0,1,317768,188,54,315381,5
0,7,781276,163,30,779186,5
1,52,46181,179,14,45609,5
0,19,703894,109,22,701207,5
0,94,2011553,3,51,2010699,3
1,0,4564,43,90,2810,5
1,102,1066,0,68,947,1
0,64,3052,53,93,605,5
0,3,498493,235,5,497942,5
0,75,6017,218,136,3066,5
1,131,4965,122,114,2173,5
0,91,585603,185,12,583600,5
1,83,2706,83,80,1,5
1,16,89160,178,3,86623,5
1,9,88412,90,42,86619,5
1,84,101201,24,13,100433,5
0,16,5632,13,69,4214,5
0,76,1161359,88,53,1159086,5
0,41,929,16,73,492,5
1,23,10351,173,129,7736,5
0,108,1338938,189,46,1337487,5
0,138,699100,68,23,696140,5
1,22,16367,30,46,13620,5
0,122,1153652,143,42,1152030,5
0,43,32383,198,131,29822,5
1,85,69602,78,4,68706,5
1,8,71222,124,25,69540,5
0,13,18217,114,112,15659,5
0,63,57820,32,24,56951,5
1,77,73875,207,17,71692,5
0,127,5666,165,125,3972,5
1,76,33980,160,53,31590,5
0,30,578251,159,16,576644,5
0,122,475584,91,42,473026,5
0,106,583,155,122,2,5
1,98,2783,37,78,909,5
1,74,56560,220,52,55610,5
0,17,453362,127,11,452610,5
0,29,11981,99,109,9216,5
0,100,915785,187,36,913926,5
0,132,772241,46,26,769332,5
1,101,1231,12,72,899,1
1,6,1575,18,75,712,5
1,31,74451,228,15,72187,5
1,128,3080,51,91,735,5
0,97,45115,199,132,42281,5
1,56,2190,93,106,1,5
0,11,147,10,66,1,5
0,127,521339,130,6,518895,5
0,135,612431,128,17,611934,5
0,1,750468,63,29,747616,5
0,80,24991,110,111,22313,5
1,75,1238,209,85,288,1
1,14,4197,144,120,3526,5
0,36,6226,11,67,4295,5
0,4,1020701,158,53,1018377,5
1,135,63967,206,17,63425,5
0,16,8168,47,79,5343,5
0,126,1852084,64,48,1850486,5
0,50,382722,96,61,380155,5
1,26,9729,84,80,7402,5
0,2,17064,73,99,15238,5
0,58,521580,38,2,519241,5
0,104,814312,217,34,811961,5
1,66,34273,7,20,33176,5
1,106,58454,108,45,55821,5
0,30,504842,69,1,502038,5
1,106,26773,106,45,26201,5
0,18,856711,126,33,855554,5
0,142,112160,80,18,109194,5
0,132,752571,45,26,750136,5
1,118,6087,15,70,4936,5
0,84,630925,167,13,630173,5
0,121,795045,186,28,794215,1
0,71,587282,66,19,586959,2
0,5,617,52,92,1,5
0,127,478396,131,6,477242,5
0,121,822273,208,27,821002,5
0,76,2334536,193,53,2334039,5
0,123,4194,214,135,3232,5
1,22,957,164,46,103,5
1,88,13228,190,130,10472,5
1,47,1874,54,94,3,5
0,95,640440,111,20,637990,5
1,112,963,71,19,103,5
0,140,216862,121,55,214952,5
1,50,360854,44,61,358083,5
0,32,9773,226,137,7086,5
1,86,346850,200,60,346512,2
1,1,56420,153,54,55923,5
1,19,23155,181,22,22973,5
0,135,663276,129,17,662509,5
1,141,563,42,89,3,5
0,135,8610,74,100,7165,5
0,78,250640,169,9,247890,5
1,76,944659,157,53,941918,5
0,111,23344,161,123,21104,5
1,107,40883,49,62,38052,5
1,125,7904,92,105,5580,5
0,53,1132750,112,51,1130948,5
1,56,45867,20,44,45670,2
0,82,2029693,136,51,2028950,3
0,7,821170,94,30,818471,5
0,119,805101,138,27,802591,5
0,70,16756,27,77,15296,5
1,122,66037,89,42,63011,5
0,75,7310,233,138,4494,5
0,68,586872,175,8,586129,2
1,50,10829,76,61,8487,5
1,8,182518,41,25,180932,5
1,79,207218,116,35,204852,5
0,76,26957,133,117,26184,5
0,31,870832,50,32,869711,2
