WikimediaFocusList,EncyclopdiaBritannicaOnlineId,YsoId,OnlinePwnEncyclopediaId,YsaId,CommonsCategory,UnescoThesaurusId,YleTopicId,WikiKidsId,NamuwikiId,QuoraTopicId,GreatRussianEncyclopediaOnlineIdOldVersion,FrenchVikidiaId,MainTemplate,EuKnowledgeGraphItemId,BibliothequeNationaleDeFranceId,ZhihuTopicId,MainCategory,BabelNetId,KBpediaId,NationalLibraryOfIsraelJ9uId,KlexikonArticleId,KrugosvetArticle,LibraryOfCongressAuthorityId,WordNet31SynsetId,UkParliamentThesaurusId,NicoNicoPediaId,NlCrAutId,NdlAuthorityId,GndId,IabCode,GitHubTopic,DeweyDecimalClassification,LoCAndMarcVocabulariesId,FactGridItemId,DenStoreDanskeId,BbcThingsId,FreebaseId,StoreNorskeLeksikonId,OmegaWikiDefinedMeaning
2,8,106673.0,4169016.0,18,8,21,8,7,11,8,4145782.0,7,14,12,118661130.0,20007294.0,8,8,8,9.870075550520051e+17,6,15,22,1,8879.0,20,8,561080.0,4,1263.0,7,17,7,11,6,26,1,6,160307.0
2,15,105037.0,4169041.0,5,16,25,3,14,1,16,2378081.0,17,2,6,118727476.0,19628131.0,15,13,16,9.870075643244051e+17,13,20,18,8,10535.0,11,26,562473.0,10,1303.0,15,13,13,19,13,18,9,11,7958.0
1,34,104984.0,4169020.0,2,9,0,1,32,25,9,2068564.0,8,0,21,,19586942.0,23,9,9,9.870075503485052e+17,7,7,15,2,9141.0,25,24,573772.0,5,1272.0,8,18,8,0,18,13,24,15,155279.0
1,3,105116.0,4168998.0,8,3,8,24,3,33,3,3247421.0,3,4,25,,19727716.0,3,3,3,9.870075548096051e+17,3,11,7,11,8474.0,8,6,871911.0,2,1242.0,3,28,4,10,4,11,23,4,5776.0
2,8,106673.0,4169016.0,18,8,21,8,7,11,8,4145782.0,7,14,12,118661130.0,20007294.0,8,8,8,9.870075550520051e+17,6,15,22,1,8879.0,20,8,561080.0,4,1263.0,7,17,7,11,6,26,1,6,160307.0
1,12,104968.0,4169037.0,1,13,23,21,12,31,13,4721849.0,16,17,8,152383070.0,19552320.0,12,16,13,9.870075525332051e+17,11,18,4,19,10352.0,19,11,563689.0,9,1295.0,13,2,12,20,11,12,27,9,7955.0
2,8,106673.0,4169016.0,18,8,21,8,7,11,8,4145782.0,7,14,12,118661130.0,20007294.0,8,8,8,9.870075550520051e+17,6,15,22,1,8879.0,20,8,561080.0,4,1263.0,7,17,7,11,6,26,1,6,160307.0
1,32,105078.0,4169149.0,6,33,6,19,31,9,30,3590227.0,34,23,23,118636082.0,19551627.0,33,1,33,9.870072691397052e+17,30,28,3,33,13557.0,2,3,871907.0,29,1455.0,0,27,31,6,32,16,21,30,6578.0
1,32,105078.0,4169149.0,6,33,6,19,31,9,30,3590227.0,34,23,23,118636082.0,19551627.0,33,1,33,9.870072691397052e+17,30,28,3,33,13557.0,2,3,871907.0,29,1455.0,0,27,31,6,32,16,21,30,6578.0
2,9,106039.0,4169022.0,15,10,22,12,8,28,10,2065357.0,9,9,14,,,9,10,10,9.870075618024051e+17,22,5,12,3,9539.0,10,16,565932.0,30,1280.0,9,22,9,0,7,14,5,20,1460441.0
2,9,106039.0,4169022.0,15,10,22,12,8,28,10,2065357.0,9,9,14,,,9,10,10,9.870075618024051e+17,22,5,12,3,9539.0,10,16,565932.0,30,1280.0,9,22,9,0,7,14,5,20,1460441.0
1,16,105280.0,4169056.0,12,17,9,22,22,22,17,2019712.0,19,15,22,153420449.0,19566856.0,16,20,17,9.870075596548051e+17,15,23,10,16,11042.0,5,25,564213.0,13,1323.0,16,20,16,12,15,10,12,12,5740.0
1,31,104990.0,4169177.0,3,32,30,26,30,18,29,4351848.0,27,7,9,,19552360.0,32,7,32,9.870075549520051e+17,14,1,9,15,13526.0,4,28,871900.0,11,1453.0,29,0,30,7,27,5,19,25,8302.0
2,20,107666.0,4169070.0,23,21,12,6,18,27,21,2065934.0,22,0,28,,,19,23,20,9.870075676195052e+17,18,6,28,28,11225.0,0,27,577512.0,16,1335.0,20,24,19,0,19,3,33,16,154268.0
1,23,94479.0,4169129.0,30,25,28,9,25,6,23,3515565.0,28,18,13,122728378.0,19566816.0,25,28,24,9.870075309815052e+17,23,0,32,23,12598.0,23,17,569699.0,27,1449.0,23,29,24,9,24,7,16,22,8444.0
2,10,94439.0,4169025.0,29,11,5,4,9,4,11,1940197.0,11,8,3,,,10,11,11,9.870075548070052e+17,9,16,8,4,9609.0,16,9,561386.0,6,1282.0,10,9,10,8,8,1,34,7,7997.0
2,2,107662.0,4168997.0,21,2,17,16,2,15,2,4135547.0,2,0,20,123844340.0,,2,2,2,9.870075309789052e+17,1,10,33,25,8411.0,0,5,560353.0,32,1240.0,2,5,1,13,2,6,31,2,5742.0
2,15,105037.0,4169041.0,5,16,25,3,14,1,16,2378081.0,17,2,6,118727476.0,19628131.0,15,13,16,9.870075643244051e+17,13,20,18,8,10535.0,11,26,562473.0,10,1303.0,15,13,13,19,13,18,9,11,7958.0
1,32,105078.0,4169149.0,6,33,6,19,31,9,30,3590227.0,34,23,23,118636082.0,19551627.0,33,1,33,9.870072691397052e+17,30,28,3,33,13557.0,2,3,871907.0,29,1455.0,0,27,31,6,32,16,21,30,6578.0
2,9,106039.0,4169022.0,15,10,22,12,8,28,10,2065357.0,9,9,14,,,9,10,10,9.870075618024051e+17,22,5,12,3,9539.0,10,16,565932.0,30,1280.0,9,22,9,0,7,14,5,20,1460441.0
1,3,105116.0,4168998.0,8,3,8,24,3,33,3,3247421.0,3,4,25,,19727716.0,3,3,3,9.870075548096051e+17,3,11,7,11,8474.0,8,6,871911.0,2,1242.0,3,28,4,10,4,11,23,4,5776.0
