GeneSubclass,GeneType,GenomicStartPosition,OrthologId,ChromosomeId,StrandOrientation,EncodedProtein,GeneDbId,GenomicEndPosition
0,0,4427278,8,0,0,1,158,4428060
0,0,53050,11,3,1,1,184,54050
0,0,3990489,8,0,0,1,146,3991057
0,0,808668,8,0,1,1,6,809644
1,0,1539719,2,5,1,2,198,1540684
0,0,3921204,8,0,1,1,133,3922084
1,1,3478912,3,0,0,2,115,3479864
0,0,2348378,8,0,1,1,59,2348993
0,0,2794433,8,0,1,1,80,2795416
0,0,3874863,8,0,0,1,130,3875858
0,0,2374390,8,0,1,1,66,2375390
0,0,1051429,8,0,0,1,20,1052365
0,0,1538500,13,8,0,1,220,1539502
0,0,2475134,8,0,0,1,68,2476103
1,1,3941590,3,0,0,2,137,3942505
0,0,2371039,8,0,1,1,65,2371632
0,0,1002743,8,0,0,1,16,1003686
0,0,825257,8,0,1,1,9,826044
0,0,2979374,8,0,0,1,97,2980375
0,0,2354884,8,0,1,1,61,2355855
0,0,3083844,8,0,0,1,100,3085309
0,0,1330142,8,0,0,1,36,1330950
0,0,1006603,8,0,0,1,17,1007599
0,0,2839937,8,0,1,1,88,2840902
0,0,3510660,8,0,1,1,118,3511547
1,1,701800,3,0,0,2,0,702779
0,0,2351473,8,0,1,1,60,2352377
0,0,837978,1,2,0,1,178,838943
0,0,3978714,8,0,0,1,143,3979724
0,0,3012883,8,0,0,1,98,3013872
0,0,3133584,8,0,1,1,101,3134531
0,0,32835,10,4,1,1,191,33815
0,0,2826149,8,0,1,1,84,2827124
0,0,1047554,8,0,0,1,19,1048548
0,0,4048793,8,0,1,1,148,4049767
0,0,2567453,8,0,0,1,75,2568455
0,0,1638522,2,5,1,1,207,1639490
0,0,40400,5,1,1,1,169,41331
0,0,4269712,8,0,1,1,153,4270736
0,0,2975048,8,0,0,1,96,2975921
0,0,4265571,8,0,1,1,152,4266476
0,0,948584,5,1,0,1,170,949235
0,0,2123632,8,0,0,1,51,2124567
0,0,4058242,8,0,1,1,150,4058883
0,0,3110193,0,10,0,1,227,3111097
0,0,1725811,3,6,0,1,212,1726768
0,0,1368947,8,0,0,1,37,1369830
0,0,4561270,8,0,0,1,160,4562145
0,0,124273,11,3,1,1,187,125238
0,0,2236253,8,0,1,1,53,2237284
0,0,4506258,8,0,0,1,159,4507129
0,0,3937813,8,0,0,1,136,3938451
0,0,2878703,8,0,1,1,91,2879567
0,0,1519281,10,4,0,1,195,1520249
0,0,3927312,8,0,1,1,135,3928035
0,0,1233356,8,0,1,1,31,1234293
1,1,1204738,3,0,1,2,27,1205691
0,0,2479394,7,0,0,1,69,2480301
0,0,60328,11,3,1,1,185,61219
0,0,3604001,8,0,0,1,120,3604682
0,0,1712806,3,6,0,1,209,1713820
1,1,958735,3,0,0,2,13,959824
0,0,2822807,8,0,1,1,83,2823781
0,0,4280290,8,0,1,1,154,4281472
0,0,1617789,2,5,1,1,204,1618754
0,0,825971,1,2,0,1,176,826843
0,0,3391673,8,0,0,1,112,3392268
0,0,4573255,8,0,1,1,161,4574073
0,0,2359047,8,0,1,1,62,2360029
0,0,3986148,8,0,0,1,145,3986597
0,0,712959,8,0,0,1,3,713930
0,0,3075227,8,0,0,1,99,3076129
0,0,3653626,8,0,0,1,124,3654541
0,0,3129888,0,10,0,1,232,3130797
0,0,3177557,8,0,1,1,102,3178574
0,0,34091,0,10,1,1,222,35088
0,0,3095699,0,10,0,1,225,3096667
0,0,3292469,8,0,1,1,107,3293385
0,0,2378994,8,0,1,1,67,2379851
0,0,1217713,8,0,1,1,30,1218576
0,0,3099590,0,10,0,1,226,3100508
0,0,1605587,2,5,1,1,202,1606577
0,0,2948707,8,0,1,0,94,2949277
0,0,3634361,8,0,1,1,123,3635309
0,0,3791328,8,0,0,1,126,3791837
0,0,1721734,3,6,0,1,211,1722743
0,0,4356532,8,0,1,1,155,4357200
0,0,888848,1,2,0,1,180,889564
0,0,2320393,8,0,1,1,58,2321136
0,0,4671570,8,0,1,1,162,4672465
0,0,2563960,8,0,0,1,74,2564895
0,0,1568882,2,5,1,1,200,1569787
0,0,869853,8,0,1,1,11,870727
0,0,1250937,8,0,1,1,34,1251779
0,0,1213213,8,0,1,1,29,1214186
0,0,3629473,8,0,1,1,122,3630502
0,0,4395898,8,0,1,1,157,4396545
0,0,1729945,3,6,0,1,213,1730683
0,0,3946348,8,0,0,1,138,3946818
0,0,1798627,8,0,1,1,47,1799441
0,0,2818421,8,0,1,1,82,2819209
0,0,809406,1,2,0,1,172,810302
0,0,49319,11,3,1,1,183,50281
0,0,1474233,8,0,0,1,40,1474816
0,0,2723008,8,0,0,1,78,2723923
0,0,1629542,2,5,1,1,206,1630504
0,0,3486897,8,0,1,1,117,3487893
0,0,1197318,8,0,1,1,26,1198292
1,1,885423,14,2,0,2,179,886301
0,0,3604775,8,0,0,1,121,3605579
1,1,36216,6,4,1,2,192,37246
0,0,705402,8,0,0,1,1,706356
0,0,3165117,0,10,0,1,234,3166097
0,0,2836889,8,0,1,1,87,2837856
0,0,1526144,13,8,0,1,218,1527077
1,1,3288906,3,0,1,2,106,3289870
0,0,2476,9,9,1,1,221,3289
0,0,2830191,8,0,1,1,85,2831118
0,0,1288988,8,0,0,1,35,1289899
0,0,2276564,8,0,1,1,55,2277459
0,0,3855436,8,0,1,1,128,3856099
0,0,1534863,2,5,1,1,197,1535834
0,0,1622000,2,5,1,1,205,1623017
0,0,1598787,2,5,1,1,201,1599674
0,0,866391,8,0,1,1,10,867371
1,1,1609781,12,5,1,2,203,1610485
0,0,3161514,0,10,0,1,233,3162441
0,0,1208980,8,0,1,1,28,1209985
0,0,97,10,4,1,1,189,1066
0,0,749314,8,0,1,1,5,750322
