StrandOrientation,GenomicEndPosition,GeneDbId,GeneType,GenomicStartPosition
0,1097,11,0,1
1,30308,50,0,27168
1,56857,120,1,54575
0,763,8,0,5
1,5564,38,1,2433
1,5286,78,1,4336
0,929052,122,1,925927
1,52289,82,0,48939
0,581462,110,0,578019
0,212280,147,0,211864
0,38881,131,1,36347
0,297517,77,0,294389
1,81368,19,1,80808
1,720,140,0,1
0,742903,100,1,741965
1,28960,1,1,27503
0,429068,81,0,425925
1,118859,95,1,115842
0,9728,39,0,6585
0,12029,44,0,11478
0,315827,124,0,312663
1,4234,74,1,3116
0,99546,108,1,97369
1,32123,56,1,29739
1,48514,137,0,47612
1,4123,87,0,1628
0,116617,53,0,113450
0,8113,62,1,5945
1,4229,136,0,1371
1,33235,6,0,30782
0,1206,14,0,1
0,767496,93,1,766105
0,567659,24,0,567123
1,99066,111,1,97825
0,318588,152,0,315535
0,1289,9,0,3
1,546,142,0,1
1,383983,4,1,383429
0,213521,148,1,212382
1,57661,41,1,55166
1,74545,150,1,72053
0,8781,25,1,5653
0,599,0,0,3
1,81855,145,0,78709
1,341238,26,1,338959
0,227216,75,0,225387
0,5181,103,1,4192
1,99079,51,1,97820
1,35758,5,0,35156
1,33620,83,0,30504
0,521345,22,0,518232
1,54155,55,0,50976
1,48145,2,0,47690
0,1771,18,0,5
0,9252,126,0,7177
1,1005,16,0,1
0,573456,45,1,572590
0,632799,48,0,629461
1,53098,125,1,49949
1,1291,12,0,11
1,55385,128,0,52233
0,6751,104,1,5450
1,3425,117,1,855
0,765509,35,0,762384
0,716461,46,0,713525
1,153763,101,0,151067
0,307836,151,0,304756
1,13944,60,0,11467
1,43791,68,0,40663
0,100486,52,1,98009
1,1126783,130,0,1124243
1,4790,123,0,1644
0,304,127,0,2
1,30678,113,0,29548
0,642289,106,0,639173
1,40231,109,0,38468
1,704,13,0,18
0,694715,133,1,691713
1,5115,54,0,2545
1,5807,129,1,3882
0,762911,102,1,760413
0,100844,31,0,99663
1,506465,69,1,504186
0,559272,79,0,556483
1,4270,34,0,1799
0,824374,61,1,822413
0,672501,85,1,670264
1,484,139,0,2
1,7065,66,1,6076
0,506906,98,0,503742
1,96937,119,1,96035
1,1651,92,1,830
0,302755,58,0,301802
0,1330,10,0,2
0,492209,21,1,489726
0,703218,17,0,701626
1,7840,65,1,6842
1,24175,36,0,21059
0,1482,105,1,1
0,3560,29,1,861
1,40333,118,0,37199
1,6322,43,0,3197
0,673825,80,1,670661
0,201983,146,1,197949
0,232598,154,1,230508
1,46653,84,1,44743
0,789292,94,1,788021
0,714709,99,1,711560
0,1815,91,1,1
1,11460,143,0,9091
0,772874,149,0,769737
1,341160,155,1,338881
0,135805,156,0,132644
0,326955,30,0,323962
1,2735,76,1,246
1,4884,49,1,1753
0,562767,57,0,559651
0,676357,27,1,675068
1,11360,89,0,8184
0,1011,7,0,1
0,7732,63,0,4595
0,696,114,0,1
1,552643,116,1,550361
0,225838,90,0,222980
1,46094,73,0,43491
0,296392,23,0,293633
1,36371,141,1,34218
0,220362,115,0,217744
0,532553,153,1,531252
1,34862,86,0,34431
0,638513,70,1,636579
0,685611,67,1,683131
1,40751,40,1,38379
1,5438,138,0,3198
1,8449,121,0,5315
1,37772,134,0,34755
0,11809,37,1,9641
0,8362,132,1,5834
1,96112,112,0,92984
1,6579,64,1,5257
1,16287,33,1,13156
1,371763,3,1,371065
1,3141,88,0,982
0,1015710,32,0,1014604
1,93861,97,1,92599
0,634208,28,0,633441
0,673601,72,1,670680
0,741862,157,1,740972
1,11203,42,1,8075
0,12199,144,1,10430
0,631461,71,1,630235
1,2165,135,0,1
1,68231,96,0,65097
0,704396,15,0,703461
1,301337,20,1,298548
0,796646,59,1,794730
1,11508,107,0,8902
0,1017672,47,1,1015075
