sport_type,official_website,commons_category
1,38,39
1,8,25
1,0,39
1,31,39
1,60,5
1,0,40
1,31,39
1,50,55
1,10,13
1,12,12
1,0,35
1,20,32
1,34,47
1,0,39
1,56,6
1,0,7
1,34,47
1,57,14
1,61,53
1,55,63
1,68,27
1,58,10
1,65,54
1,6,39
1,5,17
1,54,50
1,12,12
1,54,50
1,67,66
1,19,26
1,65,54
1,62,64
1,7,23
1,64,52
1,45,42
1,0,39
1,19,26
1,16,36
1,0,39
1,25,38
1,26,39
1,0,35
1,0,28
1,34,47
1,51,37
1,37,62
1,23,57
1,33,59
1,40,19
1,61,53
1,40,19
1,27,46
1,20,32
1,56,6
1,35,65
1,51,37
1,17,39
1,0,39
1,14,22
1,44,30
1,42,43
1,32,44
1,8,25
1,40,19
1,3,45
1,46,49
1,35,65
1,68,27
1,22,39
1,0,28
1,33,59
1,0,7
1,10,13
1,24,21
1,11,15
1,43,67
1,4,31
1,36,39
1,16,36
1,0,28
1,14,22
1,27,46
1,48,60
1,56,6
1,66,39
1,53,0
1,35,65
1,21,33
1,23,57
1,33,59
1,33,59
1,13,29
1,0,39
1,21,33
1,20,32
1,56,6
1,63,39
1,0,39
1,41,11
1,54,50
1,15,24
1,44,30
1,49,1
1,0,7
1,16,36
1,42,43
1,48,60
1,65,54
1,59,51
1,31,39
1,50,55
1,34,47
1,15,24
1,55,63
1,9,3
1,61,53
1,5,17
1,39,8
1,11,15
1,24,21
1,0,39
1,14,22
1,64,52
1,55,63
1,62,64
1,0,39
1,30,9
1,58,10
1,39,8
1,61,53
1,47,41
1,51,37
1,29,48
1,0,34
1,27,46
1,18,16
1,46,49
1,0,28
1,0,28
1,0,4
1,15,24
1,4,31
1,20,32
1,58,10
1,53,0
1,55,63
1,62,64
1,0,20
1,2,56
1,9,3
1,58,10
1,57,14
1,63,39
1,0,58
1,65,54
1,38,39
1,1,39
1,20,32
1,0,18
1,22,39
1,0,28
1,47,41
1,28,2
1,0,39
1,64,52
1,59,51
1,66,39
0,0,39
1,39,8
1,6,39
1,52,61
1,29,48
1,63,39
1,53,0
1,22,39
1,0,35
