Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Genomic_Start_Position
0,11996370,52,52,1,4,11994619
0,2176074,8,8,1,3,2173822
1,3263510,18,18,1,3,3262518
1,8175499,33,33,1,3,8174561
0,22028199,86,86,3,4,22026512
1,17714007,71,71,3,3,17711731
0,13837817,58,58,2,3,13836696
0,11464520,49,49,1,4,11462589
1,2409527,11,11,2,3,2408865
0,22756821,90,90,3,3,22754536
1,2956426,16,16,2,6,2955563
1,6650810,30,30,2,6,6649504
0,15552221,63,63,1,3,15549750
1,16554165,67,67,3,3,16551901
1,4287060,22,22,2,3,4285357
0,19956532,74,74,3,3,19954790
0,9613514,41,41,2,3,9612390
0,1047729,7,7,1,6,1047100
1,4795291,24,24,1,6,4794295
1,11372104,47,47,1,4,11370677
1,3332030,19,19,2,3,3330351
0,23802012,95,95,0,7,23801011
0,4118166,20,20,4,7,4116199
0,11898553,51,51,1,3,11896367
1,23973217,98,98,3,3,23972078
0,505867,3,3,0,1,504683
1,11725924,50,50,2,4,11723685
1,12836026,55,55,1,3,12834782
0,6392825,29,29,2,3,6390597
1,8798973,36,36,2,8,8796721
0,5271180,26,26,1,3,5270266
0,2564774,12,12,4,5,2562631
0,12688657,53,53,2,4,12687579
0,4868024,25,25,1,3,4867473
1,23305556,92,92,3,8,23304531
1,1016782,5,5,2,3,1014533
1,23794678,94,94,3,4,23793193
1,7967108,32,32,1,3,7965165
1,20342521,75,75,3,3,20341259
1,12831055,54,54,2,3,12829310
1,21130236,79,79,2,3,21127996
0,21705992,83,83,2,4,21705274
0,1021038,6,6,1,3,1018726
0,2207377,9,9,1,3,2205470
1,22366722,87,87,3,3,22365805
0,459187,2,2,1,4,458294
0,2569869,13,13,0,0,2567808
0,6168822,28,28,2,4,6167727
0,13567233,57,57,1,4,13566216
1,20495008,76,76,3,3,20492726
0,625564,4,4,0,5,623563
0,15485527,62,62,2,3,15483887
0,21997160,85,85,2,8,21996177
1,22435858,88,88,5,3,22433813
1,9268739,40,40,1,3,9267837
1,8804662,37,37,1,8,8802437
1,16505641,65,65,2,3,16503965
1,8184305,34,34,1,3,8183049
1,16508468,66,66,2,3,16506867
0,11181620,46,46,4,7,11179739
1,23838762,97,97,3,3,23836501
1,14857487,61,61,2,3,14855931
1,20509228,77,77,3,8,20508290
1,6934931,31,31,2,4,6934113
0,10143236,43,43,2,3,10141842
0,18034173,72,72,3,8,18033193
1,8793365,35,35,2,8,8792052
0,17420742,70,70,3,3,17418463
0,23802860,96,96,2,4,23802345
0,10089839,42,42,2,3,10088451
0,14023398,60,60,2,4,14022418
0,4681588,23,23,1,3,4679333
0,23589693,93,93,2,3,23588338
0,10376605,44,44,0,5,10374419
1,11448216,48,48,1,3,11446408
0,21479783,82,82,3,3,21478365
0,5580562,27,27,2,3,5579401
0,4172542,21,21,1,3,4171208
1,22708989,89,89,2,3,22707574
0,49903,0,0,2,3,48200
0,9015817,39,39,2,6,9013593
1,2921001,15,15,2,3,2918737
0,239835,1,1,1,4,239235
0,2995357,17,17,2,3,2993120
0,21301605,81,81,3,8,21300769
0,20802281,78,78,3,4,20801291
0,17296111,69,69,4,5,17294360
0,22780026,91,91,3,8,22779001
0,14022240,59,59,1,4,14021446
1,16563937,68,68,2,3,16562831
1,16426637,64,64,2,3,16424412
0,24595701,99,99,2,2,24593912
0,2719577,14,14,1,3,2718561
1,10637386,45,45,1,3,10636079
1,13398519,56,56,1,3,13396177
0,21783921,84,84,4,7,21781632
1,2408736,10,10,1,4,2407756
1,18548482,73,73,2,3,18546251
0,9006166,38,38,2,6,9005404
1,21274166,80,80,3,3,21272700
