GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,ChromosomeLocation,EncodedProtein,OrthologousGene,GenomicStartPosition,StrandOrientation
0,12460992,117,117,13,39,8,12457699,0
0,21664027,170,170,13,38,12,21662360,1
1,14716347,126,126,13,41,13,14714348,1
1,24261916,182,182,13,22,18,24259394,0
0,16959828,143,143,13,38,5,16958119,1
0,22507853,175,175,13,23,5,22506750,0
0,5808507,86,86,13,20,11,5806811,1
1,4347332,75,75,13,32,18,4345470,0
0,19111241,156,156,13,38,12,19109871,1
0,189059,56,56,13,38,8,186996,1
0,7321944,29,29,1,43,7,7320766,1
0,5564839,82,82,13,39,11,5563799,0
0,16126477,136,136,13,20,11,16125630,0
0,16125431,135,135,13,19,8,16124496,0
0,6496823,88,88,13,24,11,6495699,1
0,22866651,177,177,13,39,5,22865183,1
1,6962,185,185,10,26,14,4240,1
0,22420594,174,174,13,38,5,22418891,0
0,6623857,89,89,13,20,8,6622859,0
0,517377,186,186,11,23,24,516034,0
0,740910,58,58,13,38,11,739147,1
0,4478317,21,21,1,43,7,4476602,1
1,6731177,90,90,13,26,13,6730012,0
0,8345450,99,99,13,19,11,8343849,0
0,1163943,62,62,13,20,11,1162260,1
1,166610,3,3,2,34,10,159343,0
0,12044915,45,45,1,44,25,12043926,0
0,7308392,95,95,13,23,8,7307190,1
1,11814846,113,113,13,21,13,11812601,0
0,14246569,121,121,13,38,11,14244689,0
0,15525233,53,53,1,0,25,15523344,0
0,10367781,108,108,13,38,8,10366297,1
0,19353997,157,157,13,19,12,19353143,1
0,11228364,111,111,13,20,8,11227465,1
0,4821949,22,22,1,3,25,4818629,0
0,802447,11,11,7,19,19,797690,1
0,6404545,26,26,1,2,25,6402818,0
0,3890743,20,20,1,5,25,3888761,1
0,7536063,33,33,1,44,25,7534078,1
0,4110404,74,74,13,36,8,4109244,0
0,7085743,94,94,13,19,11,7084628,1
0,14417657,125,125,13,19,11,14416290,0
0,10471813,41,41,1,6,7,10470053,1
0,17169188,145,145,13,38,5,17167599,1
0,17204565,146,146,13,38,5,17202847,1
0,901193,59,59,13,23,11,900303,0
0,7485958,32,32,1,11,25,7483058,0
0,5310760,79,79,13,19,8,5309435,1
0,11930294,114,114,13,38,8,11928846,1
0,1138017,61,61,13,20,8,1136944,0
0,11141122,110,110,13,20,8,11139777,0
0,3552202,18,18,1,12,7,3549812,0
0,14297622,122,122,13,38,8,14294152,1
0,16271105,138,138,13,35,8,16270171,1
0,19098062,155,155,13,19,12,19092804,1
0,1488889,8,8,3,18,2,1488146,1
0,720767,1,1,0,18,4,720270,1
1,954065,60,60,13,25,18,950709,1
0,8446783,36,36,1,10,7,8444390,0
0,4986283,78,78,13,20,11,4984864,1
0,6830368,91,91,13,19,11,6828929,0
0,11411332,112,112,13,20,11,11410333,0
0,15699505,132,132,13,19,8,15698438,1
1,2395872,70,70,13,41,18,2393881,0
0,1946524,66,66,13,31,8,1945502,1
0,15368259,129,129,13,19,11,15366826,0
0,14309948,123,123,13,37,8,14308893,0
1,4686426,76,76,13,22,13,4684330,0
0,7223642,27,27,1,1,25,7222040,1
0,10863636,109,109,13,38,8,10862464,0
0,13110183,49,49,1,2,7,13108690,0
0,1537359,16,16,1,6,7,1535937,0
0,6917763,93,93,13,20,11,6916226,1
0,14082326,120,120,13,19,11,14081394,1
0,9633706,104,104,13,20,11,9632528,0
0,5758988,24,24,1,0,25,5757861,1
0,81654,9,9,6,18,21,80512,1
0,23853903,180,180,13,38,12,23852545,1
0,16962662,144,144,13,19,12,16961430,1
1,174089,4,4,2,34,22,167799,1
0,3888303,19,19,1,43,25,3887290,1
0,12055523,115,115,13,20,8,12054483,1
1,99081,2,2,2,34,0,91365,1
0,7438734,97,97,13,19,8,7437391,1
0,4822884,23,23,1,17,25,4821965,0
0,15575248,131,131,13,19,11,15573908,0
0,13113318,50,50,1,9,25,13110727,0
0,9950434,107,107,13,20,8,9949362,1
0,8353309,100,100,13,23,11,8351207,1
0,21338975,167,167,13,23,12,21337707,1
1,16290323,139,139,13,40,26,16287284,1
0,8749,187,187,12,23,23,7319,1
0,24325727,183,183,13,19,5,24324600,1
0,14737741,52,52,1,14,7,14736827,1
1,8123260,35,35,1,30,20,8119900,0
0,22034406,172,172,13,20,5,22033199,0
0,7470439,31,31,1,0,7,7468958,0
1,8082833,98,98,13,25,18,8078484,1
0,1555909,17,17,1,7,7,1553879,1
0,18805214,151,151,13,20,12,18803756,0
0,16044124,134,134,13,38,11,16042352,0
0,1377494,64,64,13,43,8,1376007,1
0,7409936,30,30,1,5,17,7408131,1
0,19092299,154,154,13,19,12,19091385,1
0,8477276,37,37,1,16,25,8475756,0
0,3748838,73,73,13,19,8,3747495,1
0,16306157,140,140,13,20,8,16305157,1
0,7726763,34,34,1,43,7,7725846,1
0,12245091,116,116,13,20,11,12243976,0
0,20537413,161,161,13,19,12,20536571,0
0,3991758,6,6,4,2,1,3988690,0
0,5631591,83,83,13,23,8,5630353,0
0,11526257,43,43,1,8,7,11525184,1
0,9713721,105,105,13,20,8,9711766,1
0,21494170,168,168,13,19,12,21492995,0
0,16917457,142,142,13,39,12,16914834,0
0,22370663,173,173,13,39,5,22368995,0
0,9818594,39,39,1,0,25,9817575,1
0,15205645,128,128,13,42,11,15204587,1
0,1190069,63,63,13,39,11,1189272,0
0,6206204,25,25,1,44,7,6205003,1
1,196430,5,5,2,34,10,190759,0
0,6407978,87,87,13,19,11,6406782,1
0,3320883,71,71,13,23,6,3319447,0
0,1394797,65,65,13,20,8,1393953,1
0,20921047,165,165,13,39,12,20919837,0
0,23094018,178,178,13,20,12,23092635,0
1,2196289,69,69,13,32,13,2194207,1
1,5133342,7,7,5,34,16,5130638,1
0,1681418,12,12,8,20,15,1679283,0
0,13085487,48,48,1,13,7,13081270,0
1,19533804,158,158,13,21,18,19532201,0
1,9534947,103,103,13,27,13,9531795,0
0,1115867,10,10,9,20,9,1114074,1
0,15572469,130,130,13,20,8,15571309,1
0,157156,55,55,13,19,11,156131,1
0,20629260,162,162,13,19,12,20624929,0
1,9897110,106,106,13,21,13,9895189,0
0,20644984,164,164,13,20,12,20643740,0
0,21910490,171,171,13,39,12,21909174,0
1,13184258,51,51,1,30,20,13181388,1
0,11528056,44,44,1,0,7,11526539,1
0,5694837,85,85,13,38,8,5693386,0
0,10166666,40,40,1,3,25,10162488,1
0,18902845,152,152,13,20,5,18901746,1
0,16194865,137,137,13,38,11,16193285,1
0,19068634,153,153,13,19,5,19067516,1
0,17510816,149,149,13,19,5,17509830,1
0,24166126,181,181,13,19,5,24164795,1
1,20643501,163,163,13,25,13,20641411,1
0,15718387,133,133,13,38,8,15717122,1
1,12991286,47,47,1,30,20,12990102,0
1,9281160,38,38,1,30,20,9279771,1
0,2148612,68,68,13,19,11,2147431,0
0,1535813,15,15,1,43,7,1533903,0
0,12080076,46,46,1,4,25,12076498,1
0,20186152,160,160,13,19,12,20185019,0
0,14784791,127,127,13,38,11,14783577,1
0,23555821,179,179,13,19,5,23554982,1
0,17302256,147,147,13,31,12,17300595,0
0,17931183,150,150,13,20,5,17930112,0
0,8501731,101,101,13,20,11,8500823,1
1,7252507,28,28,1,15,20,7251456,0
0,14313028,124,124,13,37,8,14311819,0
1,22703905,176,176,13,21,13,22702368,1
0,690524,0,0,0,18,3,690027,1
0,10473550,42,42,1,2,25,10471814,1
0,13564907,118,118,13,20,11,13563621,0
0,9395484,102,102,13,19,11,9394522,1
1,13800591,119,119,13,28,18,13799374,1
0,5535594,81,81,13,38,8,5533789,1
0,4961093,77,77,13,20,11,4960051,0
0,6835055,92,92,13,20,8,6834118,1
0,1983400,67,67,13,31,8,1981871,1
0,19933346,159,159,13,39,12,19929547,0
0,578294,57,57,13,38,8,576495,0
0,21500635,169,169,13,38,12,21499448,1
0,21207146,166,166,13,19,5,21206232,0
1,7436601,96,96,13,29,13,7431780,0
0,24417944,184,184,13,38,5,24416316,1
0,990467,14,14,1,13,25,986793,1
0,17430624,148,148,13,36,12,17429500,1
0,39504,54,54,13,20,11,38457,0
1,5654798,84,84,13,21,18,5652840,1
0,1988897,13,13,8,20,15,1987326,0
1,3668916,72,72,13,45,18,3665455,0
0,16629275,141,141,13,19,12,16628019,1
0,5418484,80,80,13,33,11,5417666,1
