Maintaining_Authority,Administrative_Area,Google_Knowledge_Graph_Id
0,12,20
0,1,53
0,3,156
0,4,169
0,17,18
0,2,7
0,3,126
0,9,81
0,15,146
0,21,56
0,18,122
0,3,25
0,3,88
0,15,95
0,3,158
0,14,77
0,13,149
0,14,164
0,17,147
0,13,44
0,0,86
0,17,110
0,17,166
0,1,155
0,18,140
0,3,169
0,3,100
0,17,83
0,1,103
0,15,114
0,9,39
0,13,65
0,14,168
0,20,3
0,18,71
2,8,169
0,14,124
0,14,98
0,9,85
0,19,121
0,1,61
0,3,82
0,0,137
0,2,76
0,2,37
0,14,138
0,0,136
0,16,13
0,20,84
0,19,30
0,3,167
0,20,134
0,20,112
0,1,109
0,3,43
3,10,169
0,14,60
0,14,62
0,1,92
0,16,113
0,17,67
0,18,89
0,19,16
0,2,26
0,3,19
0,12,161
0,15,132
0,16,4
0,18,59
0,13,58
0,21,159
0,4,169
0,17,75
0,14,105
0,13,128
0,17,38
4,5,169
0,3,0
0,3,23
0,3,169
0,1,11
0,12,160
0,3,169
0,1,102
0,3,135
0,19,91
0,9,72
0,1,154
0,1,40
0,18,78
0,2,151
0,20,87
0,1,169
0,17,45
0,3,5
0,3,133
0,3,21
0,1,145
0,6,169
0,9,96
0,16,51
0,0,165
0,3,111
0,1,141
0,3,125
0,2,35
0,13,130
0,3,12
0,12,52
0,3,162
2,4,169
0,3,131
0,0,34
0,13,57
0,17,42
0,14,63
0,18,101
0,12,142
0,18,127
0,19,163
0,17,46
0,3,169
0,3,120
0,3,47
0,0,49
0,7,9
0,19,54
0,18,157
4,8,169
4,8,169
0,1,48
0,3,74
0,1,17
0,16,169
0,18,8
0,20,118
0,12,6
0,7,90
0,15,31
0,1,15
0,9,28
0,0,106
0,9,32
0,3,70
0,1,116
0,21,115
0,1,94
0,0,80
0,1,169
0,3,73
0,3,50
0,3,99
0,18,143
0,14,79
3,11,55
0,3,27
0,1,14
0,21,152
0,3,10
0,18,123
0,9,153
0,1,2
0,18,104
0,3,1
0,0,29
1,5,169
0,0,68
0,21,41
0,7,148
0,9,66
0,3,97
0,3,64
0,1,36
0,18,129
0,3,150
0,21,22
0,3,107
0,0,108
0,17,69
0,20,169
0,12,119
0,18,33
0,20,139
0,3,24
0,4,169
0,0,144
0,1,93
0,16,117
