RACE_DESCRIPTION,GENERAL_CLASSIFICATION_WINNER,PRO_CYCLING_STATS_RACE_ID,EDITION_NUMBER,START_LOCATION,RACE_NAME,RACE_WINNER,NEXT_RACE,PREVIOUS_RACE
12,25,,8.0,21,51,9,52,46
6,13,180739.0,43.0,27,9,15,9,10
6,10,,1.0,9,50,11,51,60
6,16,279095.0,16.0,10,45,17,46,67
7,12,247165.0,9.0,34,17,14,18,15
6,15,247269.0,7.0,20,15,16,15,17
17,25,,24.0,21,6,3,6,7
6,17,279068.0,18.0,12,65,18,44,61
6,8,279069.0,9.0,26,46,6,47,42
6,6,247168.0,17.0,22,16,7,17,20
6,8,279129.0,7.0,1,43,9,43,47
6,7,172906.0,14.0,22,5,8,5,6
6,27,,47.0,18,49,28,50,45
4,25,,,21,72,26,60,3
6,10,255557.0,45.0,6,28,11,28,21
6,19,255721.0,7.0,31,21,20,21,14
6,12,180780.0,1.0,3,10,14,10,60
6,3,255627.0,18.0,22,27,3,27,27
8,14,247356.0,6.0,29,61,16,13,19
16,25,,23.0,21,4,24,4,5
6,24,,25.0,24,41,25,41,40
10,25,,27.0,21,20,2,20,23
4,25,,,21,70,26,54,68
3,8,,26.0,14,42,9,42,59
6,3,264743.0,2.0,25,62,3,25,24
12,25,,7.0,21,37,3,38,36
6,2,180670.0,4.0,26,8,2,8,9
6,21,,14.0,33,66,22,55,63
15,25,,21.0,21,2,20,2,2
6,21,180803.0,7.0,34,7,22,7,8
12,25,,6.0,21,29,3,29,28
6,23,,27.0,11,3,24,3,4
6,17,279113.0,20.0,22,48,17,49,44
4,25,,,21,71,26,59,69
6,19,290147.0,10.0,17,52,20,54,48
7,15,247182.0,4.0,1,18,16,19,18
6,16,290119.0,13.0,34,60,17,54,55
6,10,268718.0,2.0,8,33,11,35,34
6,8,290168.0,10.0,30,54,9,54,50
13,3,268781.0,1.0,23,35,3,36,60
5,11,255559.0,4.0,3,25,13,22,31
6,2,255938.0,6.0,32,30,2,30,29
11,8,,9.0,17,39,9,39,38
6,15,255696.0,1.0,8,26,16,26,30
6,10,,8.0,7,34,11,58,35
6,18,268792.0,24.0,24,31,19,31,32
6,11,290152.0,8.0,1,55,13,54,51
6,9,290107.0,48.0,18,59,10,54,54
6,16,255523.0,14.0,0,69,17,57,66
6,3,268721.0,6.0,1,38,18,34,37
6,2,255725.0,24.0,14,63,2,53,57
6,19,290078.0,19.0,12,56,20,54,62
6,22,268720.0,25.0,14,64,23,33,58
0,2,247268.0,31.0,13,14,2,14,16
6,17,290145.0,4.0,8,57,18,54,52
1,3,268765.0,33.0,4,32,3,32,33
6,4,,1.0,16,36,4,37,60
6,20,,3.0,21,47,21,48,43
8,3,256656.0,7.0,19,22,3,23,56
6,16,247155.0,3.0,3,19,17,16,22
14,25,,20.0,21,0,12,0,0
6,10,256595.0,23.0,24,23,11,24,25
6,3,219749.0,30.0,5,12,3,11,12
9,25,,17.0,21,1,16,1,1
6,16,221060.0,7.0,28,13,17,12,13
6,9,290117.0,7.0,3,53,10,54,49
6,0,279122.0,3.0,8,44,0,45,41
6,17,290080.0,10.0,26,58,18,54,53
6,10,,32.0,15,11,11,54,11
6,5,,15.0,33,67,5,54,64
6,26,,6.0,3,40,27,40,39
6,1,180723.0,12.0,10,68,1,56,65
2,8,256370.0,8.0,2,24,9,54,26
