GeneClassification,GenomicEndPosition,GeneDbId,GeneLabel,ChromosomeLocation,EncodedProtein,GeneType,OrthologousGene,GenomicStartPosition,StrandOrientation
1,13781508,89,89,2,5,1,1,13780400,0
0,1062543,11,11,2,5,0,4,1061380,0
0,1378603,13,13,2,5,0,0,1377758,1
1,647958,7,7,2,5,1,1,646994,1
0,5408975,27,27,2,5,0,0,5407872,0
0,7488770,43,43,2,0,0,4,7487772,0
0,8281636,51,51,2,0,0,4,8280473,1
0,13778229,88,88,2,5,0,4,13777168,0
0,10919574,66,66,2,5,0,0,10918495,0
1,12749940,84,84,2,5,1,1,12748906,1
1,9785709,57,57,2,7,1,1,9784512,1
0,17019,111,111,0,2,0,2,15961,0
1,7491697,44,44,2,5,1,1,7490675,0
0,3418842,20,20,2,0,0,0,3418354,1
1,6301614,31,31,2,5,1,1,6300547,0
0,2772424,18,18,2,5,0,4,2771399,1
0,2926783,19,19,2,5,0,0,2925683,1
0,14650551,100,100,2,0,0,0,14649949,0
0,10128451,60,60,2,5,0,0,10127360,0
0,8363744,52,52,2,5,0,0,8362638,0
0,6875162,34,34,2,0,0,0,6874248,0
0,1061185,10,10,2,5,0,0,1060259,0
0,13363445,87,87,2,6,0,4,13362485,1
0,5943411,30,30,2,4,0,0,5942976,0
0,2579988,16,16,2,6,0,0,2578978,1
1,10803665,64,64,2,5,1,1,10802541,0
0,10136590,61,61,2,5,0,0,10135451,0
0,12357332,81,81,2,5,0,0,12356265,0
0,6902422,36,36,2,5,0,0,6901388,0
0,3929959,22,22,2,5,0,0,3928967,0
0,10982625,67,67,2,5,0,4,10981573,0
0,14834084,105,105,2,5,0,0,14832906,1
1,11934914,77,77,2,5,1,1,11933838,0
0,645172,6,6,2,5,0,0,644114,1
0,4991040,24,24,2,0,0,4,4990519,1
0,10596764,62,62,2,5,0,0,10595673,1
0,14300981,95,95,2,5,0,0,14299716,0
0,7822071,49,49,2,0,0,4,7821382,0
1,8895113,53,53,2,5,1,5,8894166,1
0,11077700,72,72,2,5,0,0,11076582,0
1,7344961,41,41,2,5,1,5,7343936,1
1,489573,2,2,2,5,1,5,488497,0
0,10813792,65,65,2,5,0,0,10812707,0
0,11020307,69,69,2,3,0,0,11019585,1
1,7022901,38,38,2,5,1,5,7021669,0
1,5138603,26,26,2,5,1,5,5137686,0
0,5093041,25,25,2,5,0,0,5091830,0
0,12084294,78,78,2,5,0,4,12083578,0
0,503198,4,4,2,5,0,4,502080,0
0,6761840,33,33,2,5,0,0,6760755,0
0,9322125,54,54,2,5,0,0,9321052,0
1,10985595,68,68,2,5,1,5,10984454,0
0,14082174,93,93,2,5,0,4,14081146,1
0,14408981,97,97,2,5,0,0,14407787,0
0,506280,5,5,2,0,0,4,505225,0
0,969285,8,8,2,5,0,4,968212,0
1,14653387,101,101,2,5,1,1,14652208,0
0,367095,1,1,2,5,0,4,366061,0
1,1326208,12,12,2,5,1,5,1325000,0
0,5888183,29,29,2,5,0,4,5887353,0
0,9712285,56,56,2,5,0,4,9711197,0
0,14069484,90,90,2,5,0,0,14068327,1
0,497169,3,3,2,5,0,0,496051,0
0,11919983,76,76,2,5,0,0,11918910,0
0,14649846,99,99,2,3,0,0,14649328,0
0,14078016,92,92,2,5,0,4,14076940,0
0,7455271,42,42,2,3,0,4,7454630,1
0,7239207,39,39,2,3,0,4,7238734,0
0,14794181,102,102,2,1,0,0,14793624,1
0,6897869,35,35,2,5,0,4,6896835,0
1,12280552,80,80,2,7,1,1,12279830,0
1,7718427,48,48,2,5,1,5,7717413,0
1,15894258,108,108,2,5,1,1,15893028,1
0,10647632,63,63,2,0,0,0,10646946,1
0,14819882,103,103,2,5,0,4,14818773,1
0,11304553,74,74,2,5,0,0,11303492,0
0,6335213,32,32,2,5,0,4,6334188,0
1,7631605,46,46,2,5,1,5,7630547,0
0,11080473,73,73,2,5,0,4,11079370,0
1,7021545,37,37,2,5,1,5,7020505,0
0,11034709,71,71,2,5,0,4,11033591,0
0,14836202,106,106,2,5,0,0,14835021,1
1,14413552,98,98,2,5,1,5,14412677,0
0,7627111,45,45,2,5,0,0,7625912,0
0,10036993,59,59,2,5,0,0,10035965,1
0,4165460,23,23,2,5,0,0,4164288,1
0,15518461,107,107,2,5,0,4,15517346,0
1,7655211,47,47,2,5,1,5,7654214,0
0,8262117,50,50,2,5,0,0,8261095,0
0,14386825,96,96,2,3,0,0,14386370,0
0,5428520,28,28,2,5,0,0,5427432,1
0,3881246,21,21,2,5,0,0,3880098,1
1,13218818,86,86,2,5,1,1,13217698,1
0,14823039,104,104,2,3,0,0,14822254,1
0,1252532,110,110,1,0,0,3,1251366,1
1,7310277,40,40,2,5,1,5,7309219,0
1,2026224,15,15,2,5,1,5,2025250,1
1,58194,0,0,2,7,1,5,57183,1
0,2683349,17,17,2,4,0,4,2682890,1
0,12747234,83,83,2,5,0,4,12746164,1
0,12229397,79,79,2,5,0,0,12228273,0
0,14075724,91,91,2,5,0,0,14074699,1
1,11024203,70,70,2,5,1,5,11023130,1
0,9824168,58,58,2,5,0,0,9823074,1
1,14298478,94,94,2,5,1,5,14297318,0
1,16050866,109,109,2,5,1,1,16049805,0
0,1552731,14,14,2,5,0,4,1551625,1
1,9597154,55,55,2,7,1,1,9596789,0
1,12925681,85,85,2,5,1,1,12924616,1
0,1003209,9,9,2,5,0,4,1002175,0
1,11389915,75,75,2,5,1,1,11388752,1
1,12516768,82,82,2,5,1,1,12515701,1
