PROFESSION,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_DESCRIPTION,BIRTH_PLACE,UCI_RIDER_ID,WEIGHT_KG,BIRTH_DATE,LAST_NAME,FIRST_NAME,GOOGLE_KNOWLEDGE_GRAPH_ID,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,FREEBASE_ID,SPORT_COUNTRY
1,3,62259.0,24110.0,4,181212.0,7,0,250807.0,,7,10,4,3,94988.0,27301.0,184.0,6,4
1,4,,29474.0,5,215760.0,5,1,638202.0,,11,6,5,6,149604.0,92666.0,184.0,6,4
1,2,52038.0,20697.0,1,156131.0,10,10,86630.0,68.0,4,1,1,7,68186.0,20584.0,180.0,0,2
1,10,71935.0,28298.0,2,192457.0,9,3,98774.0,66.0,10,4,2,5,114071.0,45987.0,176.0,6,2
1,5,43344.0,16653.0,3,140818.0,6,2,64670.0,78.0,2,5,3,7,52068.0,2337.0,181.0,3,1
1,6,51602.0,20770.0,7,138672.0,3,11,86539.0,60.0,5,2,7,0,81864.0,18564.0,178.0,6,3
1,0,82827.0,30643.0,9,217465.0,3,9,227110.0,,12,9,9,4,151350.0,97547.0,184.0,6,4
1,8,41076.0,13362.0,10,139405.0,8,12,65995.0,70.0,1,0,10,7,51551.0,3277.0,177.0,1,5
1,9,56666.0,18975.0,0,133024.0,1,4,70590.0,58.0,3,11,0,7,65132.0,20147.0,172.0,4,6
1,12,49495.0,23426.0,6,177246.0,3,5,87061.0,,8,8,6,1,88470.0,37748.0,181.0,6,3
1,1,,25026.0,11,198985.0,2,7,109855.0,54.0,9,7,11,2,109700.0,58639.0,163.0,6,0
1,11,3083.0,3366.0,12,140270.0,0,8,30329.0,63.0,0,3,12,7,15181.0,568.0,175.0,2,4
0,7,48143.0,21971.0,8,168754.0,4,6,79462.0,,6,12,8,7,64280.0,16672.0,184.0,5,3
