ENTITY_TYPE,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,SOCIAL_MEDIA_FOLLOWERS,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_NAME,MEMOIRE_DU_CYCLISME_CYCLIST_ID,BIRTH_PLACE,UCI_RIDER_ID,PROFESSION,WEIGHT_KG,BIRTH_DATE,OLYMPEDIA_PEOPLE_ID,LAST_NAME,FIRST_NAME,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,EVENTS_PARTICIPATED,GENDER,HEIGHT_CM,FREEBASE_ID,SPORT_COUNTRY
0,25,,,14,142330.0,,4,30,20,,0,,35,15,22,24,,,18,0,,40,8
1,12,,2481.0,16,,140073.0,22,30,7,30009.0,2,,10,15,22,6,10591.0,1842.0,6,1,,39,8
0,25,,,2,,,9,30,20,,0,,35,15,22,24,,,2,0,,19,8
1,6,14464.0,2022.0,12,,140242.0,19,6,14,28862.0,2,68.0,14,3,25,3,9556.0,7.0,22,1,186.0,18,7
1,27,56345.0,20861.0,37,2247.0,155558.0,43,26,2,86624.0,2,71.0,33,15,2,27,80972.0,16816.0,19,1,184.0,7,4
1,30,4616.0,1668.0,40,,139290.0,45,15,10,22103.0,2,65.0,2,15,8,29,10105.0,591.0,22,1,178.0,10,8
0,25,,,34,,,31,30,20,,0,,35,15,22,24,,,20,0,,40,8
1,17,43387.0,14321.0,23,,140505.0,27,19,21,422366.0,2,60.0,21,13,16,13,24864.0,2977.0,10,1,173.0,35,10
1,10,59981.0,22676.0,18,,170164.0,24,27,27,95753.0,2,69.0,32,14,20,8,81741.0,28781.0,16,1,182.0,40,5
1,26,54668.0,21392.0,35,18425.0,135315.0,41,30,22,93654.0,2,71.0,25,15,21,25,77634.0,22682.0,13,1,184.0,8,1
1,24,27794.0,12923.0,31,156620.0,140821.0,38,10,6,58528.0,2,65.0,23,6,18,21,36053.0,2961.0,21,1,176.0,29,8
0,25,,,0,,,15,30,20,,0,,35,15,22,24,,,20,0,,40,8
1,5,785.0,989.0,10,,140417.0,17,24,5,26797.0,2,73.0,5,15,1,1,9898.0,45.0,21,1,190.0,25,5
0,25,,,47,,,0,30,20,,0,,35,15,22,24,,,20,0,,40,8
1,19,20120.0,2627.0,22,4177.0,140675.0,29,16,23,29860.0,1,75.0,16,15,9,12,12968.0,1982.0,22,1,182.0,1,7
1,15,16313.0,3333.0,19,134950.0,140752.0,25,8,13,44513.0,2,74.0,12,10,32,9,18746.0,150.0,22,1,181.0,11,1
1,1,47885.0,18123.0,30,21399.0,139801.0,37,21,32,68832.0,2,71.0,28,12,31,20,58401.0,6309.0,22,1,179.0,0,2
1,38,6263.0,45.0,38,247878.0,140855.0,44,2,28,24166.0,2,70.0,7,1,13,28,4177.0,174.0,0,1,179.0,23,8
