Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position
1,1662950,13,2,1,1661937
0,384182,75,4,0,382887
0,1957918,56,8,0,1956215
0,740372,22,9,0,739299
1,1356346,47,8,0,1354634
0,401051,44,0,0,400292
0,545819,21,24,1,544815
0,807440,72,17,0,806025
0,120630,14,24,1,119065
0,2350,5,13,0,965
1,183296,63,19,0,181743
1,96204,71,5,0,95182
1,2122182,2,2,1,2120788
0,434782,74,10,0,433358
1,373406,50,2,1,371496
1,276965,33,14,0,276033
1,2133734,54,1,0,2133172
0,1720929,29,24,1,1719919
0,802557,79,16,0,801154
0,432759,19,22,0,431323
0,428550,43,2,1,427162
0,406809,78,11,0,405529
0,423414,18,1,0,422794
0,488962,25,1,0,488378
1,603942,60,2,1,602953
1,649350,3,10,0,647746
1,1053526,26,18,0,1052240
0,428424,39,21,0,427006
0,532018,81,10,0,530630
0,6897,4,24,1,5479
0,413826,40,2,1,412408
1,1480218,11,2,1,1478512
0,1111176,69,24,1,1109698
0,168069,0,12,0,166519
0,406516,38,10,0,405110
1,5338,42,24,1,4406
0,461547,45,2,1,460189
0,190053,62,2,1,189334
0,489416,6,0,0,489063
0,3277,17,21,0,1805
1,375903,7,6,0,374896
0,445437,41,11,0,444157
1,464293,20,2,1,462872
1,5790,23,17,0,4375
1,17774,66,2,1,16488
0,1623870,28,10,0,1622425
0,1178108,70,18,0,1176633
0,1206373,49,0,0,1204937
0,915863,34,1,0,915636
1,10843,64,0,0,9875
0,2077637,30,10,0,2076276
1,161,65,1,0,3
0,4346,58,20,0,2898
0,411951,35,2,1,410611
0,1613551,55,2,1,1612028
1,486119,27,24,1,484647
1,21672,12,0,0,20227
1,848504,1,10,0,847224
1,1885991,15,12,0,1884423
0,229325,57,21,0,227910
0,42175,59,20,0,40730
0,1861827,32,13,0,1860490
1,2138530,53,2,1,2137184
1,6645,68,2,1,5179
1,21584,9,2,1,19890
0,440871,73,2,1,439477
0,129767,80,15,0,128835
1,1181813,52,0,0,1181490
0,377047,76,2,1,375671
1,407538,24,0,0,407386
0,395492,77,2,1,394080
0,19699,10,2,1,17999
0,1461,37,2,1,1
0,1673448,16,6,0,1672462
1,56906,8,19,0,55425
0,5370,61,2,1,3925
0,587224,82,2,1,585836
0,1876953,31,21,0,1875676
1,1345315,48,3,0,1343381
0,385849,46,2,1,384458
0,18574,36,1,0,17966
0,1142020,51,23,0,1140743
1,39044,67,7,0,37485
