StrandOrientation,GeneDescription,GeneType,GenomicStartPosition,ChromosomeId,GeneLabel,GeneDbId,GenomicEndPosition
0,0,0,1711409,28,11,11,1713823
1,0,1,29866,4,101,101,32772
1,0,0,371611,5,33,33,373899
1,0,0,719244,23,79,79,721934
0,0,0,425755,20,92,92,428427
0,0,0,1322082,30,93,93,1324430
0,0,0,462814,15,162,162,465591
1,0,0,9554,56,36,36,11536
1,0,1,949273,23,118,118,952113
0,0,0,1022305,29,233,233,1024944
1,0,1,197364,19,39,39,199898
0,0,0,402206,21,120,120,404584
0,0,0,470631,23,202,202,473501
0,0,0,243767,19,91,91,246580
1,0,0,3451,41,20,20,6135
0,0,0,353552,6,244,244,355891
0,0,0,600009,30,48,48,602339
1,0,1,1098211,23,194,194,1100880
0,0,1,1120611,24,221,221,1123469
1,0,0,1144757,30,168,168,1147282
1,0,1,30248,83,216,216,32977
0,0,0,62846,52,29,29,65602
0,0,0,182293,12,8,8,184674
1,0,0,1514173,30,47,47,1516533
0,0,0,550610,1,173,173,553480
1,0,0,30843,53,30,30,33431
1,0,0,290183,6,245,245,292921
0,0,0,253732,5,178,178,256062
0,0,0,22811,59,54,54,25495
1,0,0,6085,76,195,195,8691
1,0,0,177890,11,213,213,180436
1,0,0,12538,80,212,212,15222
0,0,0,847319,23,205,205,849988
1,0,0,1916677,29,107,107,1919214
0,0,0,544250,15,143,143,546874
0,0,1,1011738,29,136,136,1014233
0,0,0,516413,7,251,251,519004
0,0,0,1158613,30,167,167,1161129
1,0,0,79808,19,139,139,82609
0,0,1,314314,24,121,121,316755
0,0,0,620053,29,45,45,622377
1,0,0,480707,24,100,100,483376
0,0,0,1173581,30,166,166,1176004
1,0,0,1013150,23,209,209,1015945
1,0,0,201761,14,67,67,204433
0,0,0,1743231,29,15,15,1745786
1,0,0,122370,4,85,85,125132
0,0,0,4884,51,27,27,7271
0,0,0,1423,67,123,123,4209
0,0,0,185287,5,232,232,187941
0,0,0,1032837,25,62,62,1035713
0,0,0,422410,16,137,137,425184
0,0,0,510834,15,257,257,513629
1,0,0,563163,30,87,87,565358
0,0,0,1112378,24,220,220,1115182
0,0,1,429818,15,159,159,432436
1,0,0,215884,17,59,59,218715
1,0,1,84020,3,153,153,86749
0,0,1,393418,19,74,74,396102
0,0,1,104540,2,254,254,107074
0,0,0,600077,29,46,46,602587
0,0,1,387120,15,164,164,389747
0,0,0,419294,17,200,200,422008
0,0,0,1063010,25,198,198,1065877
0,0,0,375975,15,163,163,378614
0,0,0,306937,5,112,112,309384
1,0,0,583331,6,86,86,585607
1,0,0,20606,48,218,218,23290
1,0,0,647633,14,43,43,650434
1,0,0,5269,47,172,172,8115
0,0,0,7462,61,65,65,9867
1,0,1,439932,23,201,201,442799
1,0,0,1692543,28,10,10,1695278
0,0,0,697620,15,17,17,700388
0,0,0,11996,58,51,51,14845
0,0,0,5759,81,214,214,8092
1,0,1,11352,78,197,197,13979
0,0,0,1042786,23,208,208,1045611
0,0,0,12438,64,90,90,15062
0,0,0,1059124,23,114,114,1061168
1,0,0,4482,46,96,96,7331
1,0,0,8359,31,95,95,10893
1,0,0,1963551,29,106,106,1966199
0,0,0,582301,23,204,204,585177
0,0,0,472298,7,142,142,475012
0,0,0,1311887,30,94,94,1314205
1,0,0,1093946,29,235,235,1096585
1,0,1,6749,77,196,196,9580
1,0,0,48174,20,152,152,50888
1,0,0,1060310,29,234,234,1062895
0,0,0,756089,21,49,49,758419
0,0,0,9967,74,151,151,12594
1,0,0,6579,83,217,217,9089
0,0,1,42286,70,126,126,45075
1,0,1,1575672,28,103,103,1578209
0,0,0,1815771,29,111,111,1818146
0,0,0,463714,24,176,176,466038
0,0,0,1848668,29,109,109,1851640
0,0,0,138117,1,253,253,139709
0,0,1,288478,21,119,119,290907
1,0,0,1169280,27,42,42,1171520
1,0,0,2044399,29,184,184,2047179
0,0,0,798375,22,165,165,800723
1,0,0,5274,40,13,13,7898
0,0,0,19363,62,88,88,21771
0,0,0,485541,23,203,203,488327
0,0,0,451748,15,158,158,454333
0,0,0,259847,6,243,243,262330
0,0,0,566233,15,259,259,568854
1,0,0,13513,72,145,145,16377
1,0,0,177754,19,38,38,180486
0,0,0,1594209,29,185,185,1596686
0,0,0,299487,29,242,242,301826
0,0,0,733583,23,83,83,736453
0,0,0,1005142,30,2,2,1006971
1,0,1,31349,43,41,41,34183
0,0,0,2932,73,150,150,5331
1,0,0,627020,13,115,115,629809
0,0,0,1814429,30,189,189,1816759
0,0,1,588504,15,258,258,590672
1,0,0,4166,66,122,122,6553
0,0,0,1149583,24,222,222,1152306
