GeneInstanceType,OrthologId,GenomicEndPosition,GeneLabel,GeneDbId,EncodedProtein,ChromosomeId,GenomicStartPosition,StrandOrientation,GeneSubclassType
0,9,4428060,158,158,1,0,4427278,0,0
0,12,54050,183,183,1,3,53050,1,0
0,9,3991057,146,146,1,0,3990489,0,0
0,9,809644,6,6,1,0,808668,1,0
0,3,1535834,197,197,1,5,1534863,1,0
0,9,3922084,133,133,1,0,3921204,1,0
1,4,3289870,106,106,2,0,3288906,1,1
0,9,2348993,58,58,1,0,2348378,1,0
0,9,2795416,79,79,1,0,2794433,1,0
0,9,3875858,130,130,1,0,3874863,0,0
0,9,2375390,65,65,1,0,2374390,1,0
0,9,1052365,20,20,1,0,1051429,0,0
0,14,1527077,218,218,1,8,1526144,0,0
0,9,2476103,68,68,1,0,2475134,0,0
1,4,3910144,132,132,2,0,3908683,1,1
0,9,2371632,64,64,1,0,2371039,1,0
0,9,1003686,16,16,1,0,1002743,0,0
0,9,826044,9,9,1,0,825257,1,0
0,9,2980375,96,96,1,0,2979374,0,0
0,9,2355855,60,60,1,0,2354884,1,0
0,9,3085309,99,99,1,0,3083844,0,0
0,9,1330950,35,35,1,0,1330142,0,0
0,9,1007599,17,17,1,0,1006603,0,0
0,9,2840902,87,87,1,0,2839937,1,0
0,9,3511547,118,118,1,0,3510660,1,0
0,1,3128876,234,234,1,11,3127879,0,0
0,9,2352377,59,59,1,0,2351473,1,0
0,2,838943,177,177,1,2,837978,0,0
0,9,3979724,143,143,1,0,3978714,0,0
0,9,3013872,97,97,1,0,3012883,0,0
0,9,3134531,100,100,1,0,3133584,1,0
0,11,33815,190,190,1,4,32835,1,0
0,9,2827124,83,83,1,0,2826149,1,0
0,9,1048548,19,19,1,0,1047554,0,0
0,9,4049767,148,148,1,0,4048793,1,0
0,9,2568455,74,74,1,0,2567453,0,0
0,3,1630504,206,206,1,5,1629542,1,0
0,6,41331,169,169,1,1,40400,1,0
0,9,4270736,153,153,1,0,4269712,1,0
0,9,2975921,95,95,1,0,2975048,0,0
0,9,4266476,152,152,1,0,4265571,1,0
0,6,949235,170,170,1,1,948584,0,0
0,9,2124567,51,51,1,0,2123632,0,0
0,9,4058883,150,150,1,0,4058242,1,0
0,0,3100508,226,226,1,10,3099590,0,0
0,4,1722743,211,211,1,6,1721734,0,0
