Profession,Nationality,ProfileImage,Birthdate,CycleBaseCyclistId,CqRankingMaleCyclistId,FirstName,FirstCyclingRiderId,CommonsCategory,GoogleKnowledgeGraphId,InstagramHandle,ProCyclingStatsCyclistId,Birthplace,UciRiderId,CyclistDescription,CyclingArchivesCyclistId
1,4,13,21,69190.0,25740.0,12,38195.0,12,5,11,196424.0,8,112082.0,10,115868.0
1,5,19,15,58116.0,22910.0,27,27111.0,27,14,22,170625.0,6,99713.0,14,81488.0
1,10,0,10,43410.0,17901.0,4,6413.0,4,15,6,139783.0,18,66795.0,19,42590.0
1,6,7,12,56436.0,20917.0,21,9746.0,21,0,1,156570.0,9,77380.0,17,71706.0
1,5,1,8,46381.0,18610.0,13,12474.0,13,15,3,137427.0,20,71557.0,15,63999.0
1,1,21,27,83295.0,28377.0,25,84019.0,25,11,21,212377.0,0,587366.0,3,141854.0
1,14,17,6,43388.0,14319.0,18,2278.0,17,15,12,140293.0,13,68367.0,23,58588.0
1,0,18,13,53778.0,21261.0,19,21855.0,18,15,16,174179.0,3,78098.0,1,70986.0
1,1,26,0,6263.0,45.0,22,174.0,22,15,19,140855.0,26,24166.0,3,4177.0
1,11,2,24,,26409.0,26,44537.0,26,6,23,193912.0,23,148777.0,0,96575.0
1,3,22,7,39842.0,12843.0,20,2276.0,19,15,17,140292.0,25,67388.0,9,57418.0
0,9,15,14,48143.0,21971.0,16,16672.0,16,15,14,168754.0,10,79462.0,12,64280.0
2,15,10,1,19255.0,3891.0,8,716.0,8,15,0,140196.0,4,32532.0,24,11292.0
1,5,9,20,69332.0,25704.0,7,37717.0,7,4,8,181190.0,27,112353.0,16,105160.0
1,15,4,16,,23403.0,11,27295.0,11,7,0,182517.0,11,99665.0,4,95077.0
1,9,5,3,11009.0,5139.0,3,581.0,3,15,5,140904.0,7,55131.0,13,27924.0
1,2,16,28,104375.0,,17,181011.0,20,13,15,273882.0,15,,6,185469.0
1,1,27,25,,27715.0,14,5515.0,14,10,0,194388.0,14,149501.0,3,88265.0
1,7,8,4,19630.0,10023.0,6,794.0,6,15,0,140233.0,5,54679.0,20,22431.0
1,7,24,26,71935.0,28298.0,2,45987.0,2,12,4,192457.0,1,98774.0,18,114071.0
1,0,12,19,66232.0,23948.0,10,37446.0,10,2,10,176305.0,17,109829.0,0,81941.0
1,12,3,17,,24316.0,1,37281.0,1,8,0,181239.0,28,97280.0,21,104872.0
1,13,20,5,56041.0,20719.0,24,18655.0,24,15,20,174582.0,24,88889.0,22,72449.0
1,8,14,22,65469.0,24924.0,15,38481.0,15,9,13,186507.0,21,109737.0,11,120486.0
1,5,28,11,54848.0,20156.0,23,15752.0,23,15,18,132359.0,19,86812.0,16,67163.0
1,3,6,18,62573.0,23503.0,5,27124.0,5,1,7,181270.0,22,92264.0,7,91205.0
1,0,25,2,3083.0,3366.0,28,568.0,28,15,0,140270.0,12,30329.0,2,15181.0
1,15,23,9,56666.0,18975.0,0,20147.0,0,15,2,133024.0,2,70590.0,5,65132.0
1,3,11,23,69878.0,26378.0,9,61639.0,9,3,9,206876.0,16,162777.0,8,118440.0
