profession,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,cyclist_name,birthplace,uci_rider_id,native_name,weight_kg,birth_date,olympedia_people_id,munzinger_id,first_name,cycling_archives_cyclist_id,first_cycling_rider_id,events_participated,height_cm,freebase_id,sport_country
0,12,39842.0,12843,9,1311517.0,140292,9,14,67388.0,6,58.0,9,141955.0,1,9,57418,2276.0,1,166,11,0
1,6,30216.0,7905,5,169941.0,139803,5,2,,7,60.0,6,133262.0,7,5,22282,1294.0,2,173,0,0
0,9,43388.0,14319,8,67673.0,140293,8,7,68367.0,7,63.0,8,,4,8,58588,2278.0,12,173,10,4
1,5,19255.0,3891,4,508772.0,140196,4,3,32532.0,3,71.0,2,113194.0,5,4,11292,716.0,10,183,2,7
0,8,65227.0,26509,7,,194909,7,0,111440.0,5,57.0,15,146670.0,6,7,99609,46163.0,7,173,13,6
0,4,62573.0,23503,3,54522.0,181270,3,12,92264.0,7,63.0,13,141954.0,7,3,91205,27124.0,4,174,13,0
0,7,27757.0,8555,6,,140279,6,5,40322.0,4,69.0,3,,7,6,37083,783.0,12,187,9,5
0,3,22663.0,5789,2,1529344.0,140869,2,8,43936.0,2,69.0,1,126950.0,0,2,22017,713.0,3,186,5,2
0,13,41886.0,13566,12,128269.0,140495,12,1,64917.0,7,65.0,12,133840.0,2,12,53957,2275.0,5,184,12,4
0,1,,28375,15,,198909,15,15,154663.0,7,,14,,7,15,125856,51269.0,8,174,13,4
0,14,19242.0,3461,11,36814.0,140601,11,4,32238.0,9,71.0,4,111594.0,7,11,18019,165.0,0,184,4,4
0,2,41075.0,10536,0,8232.0,140489,0,10,60455.0,0,68.0,5,,7,0,46549,948.0,11,183,8,4
0,15,41885.0,13080,14,142323.0,140628,14,6,64737.0,10,65.0,10,,3,14,58535,860.0,9,180,6,1
0,0,30118.0,9773,1,36240.0,140157,1,9,54875.0,1,68.0,7,,7,1,43137,2336.0,11,182,7,8
0,10,52670.0,19335,10,16028.0,137764,10,11,79919.0,8,69.0,11,142504.0,7,10,61303,7640.0,6,184,1,4
0,11,3104.0,2357,13,,140190,13,13,25085.0,7,65.0,0,111600.0,7,13,1447,81.0,12,181,3,3
