Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,155219,154,0,154221,0
1,434666,127,1,433053,0
0,1494962,36,0,1493559,1
0,831522,13,0,830434,1
0,586,0,0,2,0
0,1086604,111,0,1085297,1
1,852,48,1,1,0
0,340376,74,0,339975,0
0,566165,34,0,564966,0
1,43838,28,1,42453,1
1,496522,95,1,495068,1
0,447552,2,0,446896,0
1,1459767,37,1,1458433,0
0,405983,8,0,405798,0
0,423600,145,0,422017,0
0,1108489,110,0,1107152,1
0,617159,57,0,615924,0
0,1398991,107,0,1398122,0
0,25566,132,0,24556,1
1,553803,93,1,552229,0
0,33930,49,0,32737,0
1,492874,56,1,492284,0
0,512575,152,0,511070,0
0,1689293,41,0,1687962,1
0,485,4,0,3,1
1,452810,96,1,452175,0
1,52782,136,1,51379,1
0,1002291,88,0,1001194,0
0,526360,149,0,525035,1
0,1880588,43,0,1879185,1
0,1933792,5,0,1933010,0
0,6378,59,0,4900,1
0,437973,97,0,437293,1
0,209311,50,0,208193,1
1,1071422,143,1,1070148,1
1,1778404,123,1,1777100,1
0,7259,7,0,6249,0
0,580857,35,0,579490,0
0,13382,91,0,12657,0
0,367224,148,0,366097,0
0,1248251,62,0,1246854,1
0,1499180,116,0,1497708,0
0,626028,39,0,624868,1
0,290343,73,0,289018,0
0,1117420,109,0,1116176,1
0,395265,90,0,393862,0
0,42426,101,0,41221,0
0,532332,150,0,531106,1
0,1741983,16,0,1740772,0
0,523945,114,0,522770,1
0,601068,113,0,599905,1
1,114367,138,1,112967,0
0,1651899,45,0,1651012,1
0,919364,85,0,918156,0
0,1605950,46,0,1604628,0
0,228042,115,0,226948,0
0,432268,6,0,431189,0
0,987463,87,0,986558,0
0,1733432,125,0,1732098,0
0,211061,153,0,209817,0
1,23787,24,1,22417,0
0,12244,29,0,11150,0
0,754771,53,0,753767,1
1,1804221,71,1,1803316,1
0,207419,58,0,207000,0
0,598434,75,0,597786,1
0,1172370,108,0,1171051,0
0,559992,92,0,558766,1
0,231983,84,0,230514,1
0,383794,23,0,382214,0
0,6048,42,0,4708,0
1,2074708,18,1,2073437,1
0,472615,52,0,471425,0
0,412929,51,0,411703,0
0,1898756,44,0,1897875,1
0,1751668,124,0,1750310,0
0,1093548,135,0,1092211,0
0,1683736,14,0,1682645,0
0,437003,65,0,436320,0
0,155993,112,0,154689,1
0,146779,94,0,145715,1
1,379854,79,1,379126,0
0,742418,38,0,741516,1
0,1277102,66,0,1275858,0
0,308539,82,0,307640,0
0,37052,129,0,35940,0
0,7956,33,0,6742,1
0,233697,3,0,233434,1
0,1572694,70,0,1571525,1
0,1951553,122,0,1950669,0
1,597683,128,1,596868,1
0,13695,25,0,12373,0
0,494627,40,0,493452,0
0,1587887,119,0,1586445,1
1,169772,32,1,168840,1
0,1404649,106,0,1403372,0
1,18783,26,1,17596,0
0,2090497,20,0,2089121,1
1,9275,47,1,7716,1
0,439354,102,0,437786,0
1,1072628,133,1,1071504,0
0,211328,151,0,209856,1
0,59441,100,0,58461,0
1,1789020,72,1,1787623,1
0,1506761,117,0,1505442,1
1,1143832,134,1,1142492,0
0,13267,22,0,11954,0
0,54854,27,0,53844,0
0,1420721,69,0,1419405,0
0,67849,99,0,66767,0
0,340851,9,0,340480,0
0,298468,78,0,296987,0
0,1359,83,0,532,1
1,1386264,104,1,1384861,0
0,458510,17,0,457881,1
0,899374,76,0,898190,0
1,3182,21,1,2247,0
0,1413484,12,0,1412150,0
1,6500,31,1,5433,0
0,151073,139,0,149964,0
0,484137,80,0,482659,0
1,262696,60,1,261617,0
0,1672453,15,0,1671053,0
0,497535,155,0,496600,0
0,68405,137,0,67296,1
0,799780,140,0,799199,0
1,417432,103,1,415855,0
0,1370954,68,0,1369569,1
0,318880,147,0,317777,1
0,799094,55,0,798498,0
0,15753,11,0,14641,0
0,17944,130,0,16457,1
0,1287718,61,0,1286318,1
0,174865,131,0,173582,1
0,6483,1,0,6112,1
1,7961,81,1,7053,1
0,403184,98,0,402012,0
0,85134,89,0,83866,1
0,1944921,121,0,1944244,0
0,1361937,105,0,1361035,1
1,2053277,19,1,2051877,1
0,1065367,142,0,1064159,1
1,924253,86,1,923378,1
0,332931,64,0,332233,1
1,1365596,67,1,1364481,0
0,936561,77,0,935551,0
1,1015761,63,1,1014583,0
0,24760,144,0,23234,1
0,304330,146,0,303281,1
0,10763,126,0,9885,1
1,813285,54,1,812281,0
0,1622991,120,0,1622125,1
0,349644,10,0,348280,0
0,1547471,118,0,1546002,1
1,65502,30,1,63997,0
0,1047742,141,0,1046660,1
