DescribedBySource,EncyclopdiaBritannicaOnlineId,YsoId,OnlinePwnEncyclopediaId,UnescoThesaurusId,CommonsCategory,WikiKidsId,EncyclopediaOfChinaThirdEditionId,Image,QuoraTopicId,GreatRussianEncyclopediaOnlineIdOldVersion,NativeLabel,EuKnowledgeGraphItemId,ShortName,BibliothequeNationaleDeFranceId,ZhihuTopicId,MainCategory,BabelNetId,KBpediaId,NationalLibraryOfIsraelJ9uId,PermanentDuplicatedItem,KrugosvetArticle,LibraryOfCongressAuthorityId,WordNet31SynsetId,NicoNicoPediaId,OpenLibrarySubjectId,NlCrAutId,NdlAuthorityId,GndId,DifferentFrom,IabCode,GitHubTopic,InstanceOf,DeweyDecimalClassification,LoCAndMarcVocabulariesId,PageBanner,DenStoreDanskeId,BbcThingsId,FreebaseId,StoreNorskeLeksikonId,OmegaWikiDefinedMeaning
0,9,105111.0,4169179.0,10,9,8,,3,9,2026445,7,2,11,3,19571981.0,9,9,8,987007554958205171,2,11,5,4,2,7,9,564289,9,7,1326.0,9,1,1,9,3,8,0,2,7,5748.0
7,0,105116.0,4168998.0,4,0,0,668304.0,1,0,3247421,0,10,0,11,19727716.0,0,0,0,987007554809605171,2,5,3,5,6,1,3,871911,1,0,1242.0,1,0,9,1,12,0,6,9,0,5776.0
1,5,105484.0,3912587.0,5,5,4,287141.0,12,5,4177745,13,9,7,7,19550842.0,5,7,4,987007566736505171,1,0,12,0,13,0,6,563400,5,3,1316.0,5,6,10,5,1,4,11,1,3,877508.0
5,8,105162.0,4169059.0,7,8,7,,6,8,2003352,11,8,9,2,19583189.0,8,8,7,987007552535305171,2,2,1,3,1,6,10,564274,8,4,1325.0,8,5,6,8,4,7,8,5,6,5746.0
8,7,105242.0,4169054.0,6,7,6,558647.0,10,7,2010387,5,12,8,12,19663445.0,7,4,6,987007552504805171,2,10,8,7,4,5,8,871922,7,7,1320.0,7,1,7,7,2,6,4,4,5,5739.0
2,1,94439.0,4169025.0,2,1,1,510813.0,4,1,1940197,2,1,6,1,,1,2,1,987007554807005171,2,6,4,1,8,0,4,561386,2,5,1282.0,2,7,3,2,0,1,1,13,1,7997.0
6,4,105087.0,4169110.0,9,4,2,184853.0,0,4,2354371,1,5,1,9,19554996.0,4,3,3,987007559778705171,2,8,9,2,9,3,12,561571,3,1,1300.0,3,1,10,4,13,13,2,0,13,7118.0
1,2,,3914530.0,0,2,11,,8,2,2265763,6,0,3,13,,2,13,11,987007535460005171,2,1,13,13,0,0,13,568912,0,7,,0,4,10,0,6,10,10,11,10,
1,13,105295.0,4169154.0,13,13,13,547307.0,8,12,4692135,9,7,5,4,19574145.0,13,12,13,987007564356905171,2,13,7,12,7,9,11,871917,11,9,1419.0,13,7,5,13,9,11,3,8,11,6791.0
3,12,105098.0,4169126.0,3,12,12,,2,11,4931442,10,13,4,8,19639816.0,12,11,12,987007560981705171,2,4,6,10,12,0,0,567657,13,8,1409.0,12,5,8,12,10,12,13,12,12,7933.0
2,3,104968.0,4169037.0,8,3,3,,9,3,4721849,8,4,2,10,19552320.0,3,5,2,987007552533205171,0,7,2,8,10,2,5,563689,4,2,1295.0,4,1,0,3,8,2,7,10,2,7955.0
4,10,94259.0,4169089.0,11,10,9,,11,10,2937910,4,6,12,6,,10,10,9,987007564312905171,2,3,11,11,11,8,1,569322,12,7,1336.0,10,5,2,10,7,9,9,6,8,8351.0
1,6,105027.0,4169053.0,1,6,5,,5,6,2009216,12,11,10,5,19556339.0,6,1,5,987007559777805171,2,9,10,6,3,4,7,564071,6,10,1319.0,6,3,10,6,11,5,5,3,4,5733.0
2,11,105190.0,,12,11,10,,7,13,2265969,3,3,13,0,19572944.0,11,6,10,987007550359005171,2,12,0,9,5,0,2,568908,10,6,1443.0,11,2,4,11,5,3,12,7,9,5809.0
