Time_Zone,Official_Website,Geo_Lod_Id,Neighboring_Cities,Latitude,Commons_Category,City_Name,Geo_Names_Id,Ci_Nii_Research_Id,Geo_Nlp_Id_Obsolete,Naver_Encyclopedia_Id,Electoral_District,Un_Locode,Population,Open_Corporates_Id,Dantai_Code,Longitude,Whos_On_First_Id,World_Cat_Identities_Id_Superseded,Main_Category,Babel_Net_Id,Gns_Unique_Feature_Id,Native_Name,Name_In_Kana,Locator_Map_Image,City_Image,Open_Street_Map_Relation_Id,Establishment_Date,Japan_Search_Name_Id,Google_News_Topics_Id,City_Type,Area_Sq_Km,Ndl_Authority_Id,Nacsis_Cat_Author_Id,Music_Brainz_Area_Id,Prefecture,I_Naturalist_Place_Id,City_Flag_Image,Previous_Name,Viaf_Id,Google_Maps_Customer_Id,Freebase_Id,Corporate_Number,City_Description,Adjacent_Water_Body
1,17,4,9,31.6019444444,20,20,1855476,1.140282266760589e+18,19,1286801.0,8,10,50518.0,9,452041.0,131.37875,890531773.0,5,20,6,-238671.0,7,17,19,1,3992247.0,19,9,5,0,536.11,392871.0,8,21,7,34319.0,20,15,252350731.0,8.25803251251507e+18,3,6000020452041.0,5,3
1,1,25,11,31.5945,17,17,7384007,,0,1299594.0,0,16,404.0,2,463035.0,130.5607222222,1108743317.0,4,17,13,10692316.0,0,21,17,12,3962377.0,1,0,12,5,31.4,314925.0,18,15,4,34073.0,17,14,252329050.0,1.131406143548958e+19,10,1000020463035.0,14,2
1,4,19,4,31.4166388889,16,16,7383994,,4,,2,16,32503.0,0,462209.0,130.3233888889,890521005.0,0,16,19,10692291.0,2,24,16,14,,14,3,19,0,283.59,,18,3,3,34071.0,16,6,171423888.0,,25,3000020462209.0,2,0
1,5,1,7,31.7195,18,18,1856775,1.1400007917542555e+18,12,1274713.0,8,15,160392.0,8,452025.0,131.0616944444,102031529.0,1,18,18,-236875.0,14,25,18,13,3992201.0,15,16,2,0,653.31,359836.0,10,16,7,100928.0,18,14,125528973.0,1.3255528523864392e+19,27,6000020452025.0,6,2
1,9,21,4,31.7282222222,0,0,1865650,1.1400007918274511e+18,14,,3,1,76610.0,4,462250.0,130.6278055556,,18,0,19,-225051.0,0,0,0,3,3959624.0,20,6,14,0,231.25,1231311.0,16,20,3,34048.0,0,4,3.161464626070277e+20,1.6808250634346613e+19,12,2000020462250.0,2,1
1,25,5,0,32.1992777778,19,19,7384008,1.1400007916277285e+18,5,1299591.0,3,16,9654.0,5,464040.0,130.1769166667,890525063.0,16,19,14,10692317.0,0,16,20,17,3975516.0,16,0,13,4,116.18,369736.0,7,11,1,34074.0,19,0,259916062.0,1.4510021683616831e+19,11,2000020464040.0,10,2
1,16,3,4,31.3782777778,15,15,7383993,,8,,1,16,33115.0,0,462233.0,130.4416666667,890533891.0,20,15,19,10692290.0,3,23,13,11,,17,4,19,0,357.91,,18,19,3,100890.0,15,7,7.807154801962355e+21,,18,3000020462233.0,2,0
1,3,22,14,31.4645,12,12,1895695,1.1408452168141345e+18,23,1286798.0,8,16,16744.0,7,452076.0,131.2283888889,890523083.0,8,12,7,-235240.0,1,10,12,9,3990180.0,8,1,6,0,294.96,392860.0,9,10,7,34312.0,12,14,254135813.0,1.5077765336884308e+19,4,4000020452076.0,5,3
1,13,2,13,31.5968055556,6,6,1860823,1.1408452165084376e+18,15,1054207.0,0,6,593754.0,0,462012.0,130.5571388889,102031675.0,0,6,1,-231558.0,17,6,7,18,3962762.0,0,19,1,1,547050000.0,285571.0,2,7,3,34060.0,7,20,259893432.0,1.1159072897754749e+19,20,1000020462012.0,1,1
1,27,14,2,31.9516666667,27,26,7384013,,17,,3,16,9265.0,3,464520.0,130.7210555556,,17,27,19,10692323.0,0,26,27,17,,11,0,19,4,144.29,1238975.0,18,11,0,100899.0,26,21,260377379.0,,23,1000020464520.0,9,2
