LANGUAGES_SPOKEN,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,INSTAGRAM_HANDLE,SOCIAL_MEDIA_FOLLOWERS,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_NAME,NATIONALITY,TWITTER_HANDLE,BIRTH_PLACE,UCI_RIDER_ID,REPRESENTING_COUNTRY,NATIVE_NAME,WEIGHT_KG,BIRTH_DATE,LAST_NAME,FIRST_NAME,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,HEIGHT_CM
6,8,56041.0,20719.0,9,8,127549.0,174582,8,6,10,12,88889.0,3,3,65.0,1,9,9,72449,18655,177.0
4,13,70304.0,26482.0,7,5,,196333,6,4,4,2,107840.0,4,1,63.0,10,0,7,108403,50303,178.0
7,0,89309.0,29699.0,10,9,,211947,9,0,4,1,353375.0,0,4,,12,2,10,144923,81835,174.0
2,11,63563.0,28569.0,4,4,1008.0,135571,4,2,9,4,119427.0,3,0,64.0,3,1,4,80663,17215,177.0
0,7,69190.0,25740.0,6,6,,196424,5,1,7,6,112082.0,1,2,,8,12,6,115868,38195,175.0
5,9,19620.0,14295.0,5,12,6599.0,138908,13,5,2,9,55014.0,3,2,68.0,0,13,5,36055,9128,187.0
3,6,55639.0,20535.0,3,3,,160352,3,3,1,0,89125.0,2,2,,5,6,3,73388,14791,181.0
2,2,,,0,1,,242423,0,2,0,3,667300.0,3,2,,13,11,0,148733,112241,
1,3,50824.0,18498.0,1,0,5628.0,138830,1,7,3,13,63841.0,7,2,72.0,2,7,1,58906,16154,187.0
6,1,69634.0,26526.0,12,11,5000.0,194619,11,6,6,8,149727.0,6,6,66.0,11,8,12,115790,45992,176.0
1,10,56672.0,22018.0,13,0,52940.0,168758,12,7,12,7,86735.0,7,7,,7,4,13,74063,16639,183.0
2,5,65225.0,24934.0,8,7,13804.0,182731,7,5,5,11,111343.0,5,2,,9,10,8,104017,37280,188.0
1,12,68254.0,25653.0,11,10,22010.0,195439,10,8,11,5,88346.0,8,5,64.0,6,5,11,105482,48008,180.0
3,4,54691.0,18749.0,2,2,5802.0,135008,2,3,8,10,75185.0,3,2,62.0,4,3,2,67268,11011,181.0
