Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
1,0,1160395,347,1159709,0
1,0,18293,404,17649,0
0,0,7200,134,6637,0
0,0,55025,359,54438,0
0,0,1464254,88,1463646,0
0,0,494817,203,494134,1
0,0,2016292,329,2015537,0
0,0,9057,388,8128,0
0,0,4555,132,3962,0
0,0,683253,98,682675,0
1,0,844685,368,844098,0
1,0,112468,401,111971,0
0,0,4870,340,4217,0
0,0,2682,264,1954,0
0,0,163066,8,162521,1
0,0,1955674,332,1955171,0
0,0,756041,99,755460,1
0,0,1368555,309,1367977,1
0,0,1487064,92,1486369,1
1,0,44362,301,43754,1
0,0,265007,258,264339,0
0,0,120884,35,120498,0
0,0,1921473,108,1920904,1
0,0,458814,352,458125,0
0,0,316703,371,316059,0
0,0,548591,226,548190,0
0,0,1604078,116,1603452,0
0,0,85370,62,84681,0
0,0,17407,261,16820,0
0,0,1033564,298,1032920,0
1,0,1738968,28,1738420,0
0,0,6677,379,6162,1
0,0,278070,222,277438,1
0,0,1731530,336,1730895,0
0,0,477620,206,476973,0
0,0,567879,381,567310,0
0,0,10321,126,9749,0
0,0,1686468,112,1685914,0
0,0,7629,230,6979,0
0,0,1645,356,1004,0
0,0,376974,56,376393,1
1,0,807869,25,807330,1
0,0,426818,137,426186,1
0,0,39701,53,39237,1
0,0,307213,259,306524,0
0,0,782,47,129,1
0,0,1132814,317,1132212,1
0,0,36247,72,35642,1
0,0,159847,68,159101,1
0,0,717564,270,716974,1
0,0,1637787,114,1637185,1
0,0,487905,170,487330,0
1,0,356421,430,355831,1
0,0,1932015,107,1931470,0
0,0,2027,40,1341,0
0,0,1743790,335,1743146,0
0,0,515441,207,514617,0
0,0,1118634,319,1117975,1
1,0,347837,18,347313,0
0,0,250738,323,250097,0
0,0,1579,3,1004,1
0,0,570400,76,569783,0
0,0,552848,145,552180,1
0,0,52129,265,51491,0
1,0,19103,380,18480,1
0,0,4829,257,4128,0
0,0,599763,233,598996,1
0,0,436400,12,435816,0
0,0,1148872,410,1148204,0
0,0,339516,225,338926,0
0,0,1581481,215,1580900,1
0,0,1081012,406,1080440,1
0,0,15668,344,15015,0
0,0,6518,304,5874,1
0,0,26110,306,25487,1
1,0,504309,428,503911,1
0,0,668902,149,668282,1
0,0,1995197,217,1994529,0
0,0,216763,322,216122,0
1,0,588625,157,587969,1
0,0,416038,383,415541,0
1,0,463493,101,462885,1
0,0,14001,394,13402,1
1,0,385637,21,384969,0
0,0,602338,320,601643,1
0,0,1845,389,1489,1
0,0,314714,123,314181,0
0,0,1473130,87,1472456,0
0,0,1134002,408,1133424,1
0,0,444695,32,444042,0
0,0,42175,386,41594,0
0,0,9261,128,8539,0
0,0,382637,58,382086,0
0,0,35038,303,34388,1
0,0,416102,247,415509,0
1,0,13194,349,12661,1
0,0,641578,83,640880,1
0,0,320021,423,319437,1
0,0,78452,300,77844,0
0,0,2893,384,2228,0
0,0,36160,20,35462,1
1,0,628319,184,627354,1
0,0,1066542,405,1065931,1
0,0,438865,351,438233,0
0,0,345916,154,345353,0
1,0,499409,366,498789,0
0,0,262228,38,261515,0
0,0,350824,414,350453,1
0,0,224418,167,223792,0
0,0,17055,49,16375,0
0,0,1049,284,204,1
0,0,807166,152,806492,1
1,0,874302,275,873739,1
0,0,281,10,3,1
0,0,16035,342,15472,0
0,0,311595,412,311224,1
0,0,6125,11,5631,1
0,0,578960,77,578253,0
0,0,1670681,29,1670067,0
1,0,544317,147,543658,0
0,0,285006,246,284026,0
0,0,482096,254,481446,0
0,0,16573,165,15977,0
0,0,1236,125,691,0
0,0,2152710,106,2152117,1
0,0,218124,166,217234,0
0,0,497850,295,497083,1
0,0,653543,84,652923,1
0,0,729959,96,729363,0
0,0,358436,278,358038,1
0,0,584282,133,583626,1
0,1,22696,73,22061,1
1,0,1261581,324,1260970,0
