StrandOrientation,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition
0,301826,243,243,0,31,299487
1,125132,82,82,0,4,122370
0,387675,28,28,1,5,385183
0,736453,80,80,0,23,733583
1,190552,81,81,0,21,188093
1,1516533,43,43,0,32,1514173
0,476728,161,161,0,15,474101
1,54199,31,31,0,58,51578
1,988200,209,209,0,23,985546
1,1062895,234,234,0,31,1060310
0,246580,88,88,0,19,243767
0,758419,46,46,0,22,756089
0,488327,205,205,0,23,485541
0,322020,237,237,1,19,319249
0,33755,25,25,0,44,30969
1,423886,68,68,0,6,421607
1,993191,44,44,0,32,990858
1,1150558,195,195,1,23,1147775
0,1152306,223,223,0,24,1149583
0,1161129,168,168,0,32,1158613
1,32977,217,217,1,85,30248
1,33431,24,24,0,55,30843
1,504459,248,248,0,12,501763
1,1757922,191,191,0,32,1755496
0,560388,176,176,0,1,557518
0,16153,29,29,0,56,13502
0,355891,245,245,0,6,353552
0,309384,109,109,0,5,306937
0,25495,52,52,0,61,22811
1,8691,198,198,0,78,6085
0,200907,151,151,0,11,198367
1,15222,214,214,0,82,12538
0,867065,115,115,0,23,864531
1,1966199,102,102,0,31,1963551
0,557682,143,143,0,15,555076
0,1024944,233,233,0,31,1022305
0,556640,255,255,0,7,553878
0,1176004,167,167,0,32,1173581
1,156435,33,33,0,19,153649
1,447956,179,179,0,24,445458
0,735391,127,127,0,31,733043
0,1102343,227,227,0,24,1099539
0,1314205,91,91,0,32,1311887
1,1034195,211,211,0,23,1031508
1,650434,39,39,0,14,647633
1,1800605,107,107,0,31,1797939
0,187941,232,232,0,5,185287
0,17633,20,20,1,53,14982
0,4209,120,120,0,69,1423
0,198843,126,126,0,5,196225
0,1065877,201,201,0,26,1063010
0,432191,134,134,0,16,429708
0,536061,258,258,0,15,533287
1,568671,175,175,0,32,566338
0,1123469,222,222,1,24,1120611
0,443238,159,159,0,15,440629
0,422008,203,203,0,17,419294
1,125047,38,38,0,3,122324
1,50888,153,153,0,20,48174
0,119436,257,257,0,2,116878
0,622377,41,41,0,31,620053
0,404953,163,163,0,15,402317
1,352788,252,252,0,18,350182
0,185153,22,22,0,27,182502
0,389747,166,166,1,15,387120
1,373899,27,27,0,5,371611
0,475012,141,141,0,7,472298
0,7162,18,18,0,51,4697
0,378614,165,165,0,15,375975
1,23290,219,219,0,50,20606
0,9867,62,62,0,63,7462
0,473501,204,204,0,23,470631
0,1713823,7,7,0,30,1711409
0,381075,238,238,0,16,378301
0,14845,49,49,0,60,11996
0,8092,215,215,0,83,5759
1,13979,200,200,1,80,11352
0,1053239,111,111,0,23,1050549
0,15062,87,87,0,66,12438
1,1100880,197,197,1,23,1098211
1,8115,174,174,0,49,5269
1,379418,172,172,0,34,376740
1,2047179,187,187,0,31,2044399
1,665447,75,75,0,23,662586
0,519004,254,254,0,7,516413
0,1324430,90,90,0,32,1322082
0,1156973,236,236,0,31,1154469
1,9580,199,199,1,79,6749
0,428427,89,89,0,20,425755
1,1096585,235,235,0,31,1093946
0,810651,171,171,0,22,808318
0,12594,152,152,0,76,9967
1,9089,218,218,0,85,6579
0,45075,123,123,1,72,42286
1,1611964,99,99,1,30,1609262
0,1828534,106,106,0,31,1825916
1,483376,96,96,0,24,480707
0,1865809,104,104,0,31,1862957
0,139709,256,256,0,1,138117
0,404584,117,117,0,22,402206
0,1731005,193,193,0,29,1728183
1,2060220,186,186,0,31,2057611
0,255561,16,16,1,23,253126
