SportType,HostCountry,RaceDescription,EditionNumber,RaceType,StartLocation,PreviousRace,RaceWinner,NextRace,EndLocation
1,2,1,20.0,9,15,0,0,0,0
1,2,0,12.0,11,10,31,10,34,10
1,2,0,40.0,3,10,21,15,23,10
0,1,0,46.0,4,10,13,5,14,12
1,2,1,69.0,10,5,26,10,28,2
0,2,1,6.0,1,13,15,6,16,13
1,0,0,,13,7,32,10,27,9
0,2,1,61.0,10,3,3,3,4,7
1,2,1,23.0,9,8,9,7,10,10
0,2,1,68.0,10,12,23,12,24,5
1,1,0,31.0,2,11,6,14,7,11
1,2,0,36.0,3,10,5,16,6,10
1,2,0,32.0,7,10,16,4,17,10
1,2,1,38.0,12,0,10,1,11,6
1,2,0,36.0,7,10,27,6,30,10
1,2,0,35.0,7,10,25,10,26,10
1,2,1,24.0,9,10,11,18,12,15
0,2,1,2.0,1,13,4,10,5,13
1,2,0,42.0,3,10,29,15,32,10
1,1,1,82.0,6,4,20,2,21,8
1,2,0,65.0,8,10,22,10,22,10
1,2,0,8.0,11,10,17,10,18,10
1,2,1,46.0,12,9,33,11,35,6
1,2,0,38.0,0,10,2,10,2,10
1,2,0,10.0,11,10,24,10,25,10
1,1,0,42.0,5,10,8,5,9,10
1,2,1,25.0,9,2,14,17,15,1
1,2,0,9.0,11,10,19,10,20,10
1,2,1,70.0,10,1,30,8,33,3
1,1,0,,14,14,34,10,29,14
0,1,0,44.0,4,10,7,10,8,12
0,2,1,1.0,1,13,35,10,3,13
1,2,0,67.0,8,10,28,13,31,10
0,2,1,60.0,10,6,1,10,1,4
1,2,0,33.0,7,10,18,7,19,10
1,1,0,33.0,2,11,12,9,13,11
