Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,ProCyclingStatsCyclistId,BirthPlace,UciRiderId,Languages,WeightKg,BirthDate,SportsTeam,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId
0,15,18673.0,4744.0,22,140485,5,30730,3,64.0,4,27,3,21,22746,1864.0,0,175.0,11
1,19,29720.0,10454.0,20,140453,9,55042,0,70.0,15,24,14,19,22193,812.0,13,176.0,7
0,23,,18391.0,4,137455,23,77456,4,,18,10,13,3,61556,,9,,22
0,24,,25739.0,15,196664,13,91488,4,,29,0,23,14,114652,50555.0,9,,22
0,10,,13311.0,31,136289,0,64979,4,69.0,17,18,23,25,59421,6584.0,14,172.0,1
0,3,27587.0,8079.0,28,140146,6,54970,5,70.0,12,17,30,28,36946,7871.0,14,178.0,0
0,27,27800.0,13382.0,19,139457,28,59730,4,72.0,19,5,0,18,36985,6544.0,4,177.0,20
0,8,65972.0,25066.0,7,174346,25,109960,4,,28,22,12,6,114123,39009.0,9,185.0,22
0,20,,12297.0,16,138877,18,34718,0,,8,12,4,15,15290,2364.0,6,,22
1,18,10573.0,1849.0,13,140695,26,28865,4,63.0,5,21,21,12,5845,856.0,13,177.0,5
0,29,,12218.0,17,140245,8,60033,4,,20,6,1,16,42364,4404.0,12,,2
0,23,,,25,176308,15,99711,4,,32,23,27,25,86316,27140.0,9,,22
0,30,,19908.0,9,168202,7,69147,4,,26,1,24,8,77437,29694.0,8,,22
0,2,28089.0,9851.0,18,140765,10,53793,2,77.0,13,9,8,17,22100,1013.0,1,179.0,13
0,6,,22763.0,3,171175,27,134264,4,,30,29,23,25,89012,27096.0,7,,22
0,21,55639.0,20535.0,10,160352,2,89125,3,,27,25,19,9,73388,14791.0,9,181.0,22
0,5,8760.0,4179.0,1,140749,24,32691,4,78.0,9,4,18,1,19407,406.0,1,181.0,10
0,0,47767.0,18714.0,5,137724,21,68950,1,58.0,24,26,7,4,38737,16752.0,11,169.0,18
0,25,12798.0,270.0,27,140619,12,14576,6,77.0,0,28,25,27,3926,666.0,13,190.0,6
0,13,6679.0,2086.0,2,140786,19,22143,2,82.0,2,2,11,2,9414,377.0,13,184.0,14
0,23,37518.0,10424.0,25,140934,22,55735,6,,7,14,10,23,32000,2182.0,13,172.0,19
0,7,52673.0,19070.0,6,137769,3,79921,6,,22,7,2,5,71836,7639.0,13,178.0,22
0,22,1661.0,2440.0,14,140780,14,28331,4,74.0,3,3,5,13,10109,790.0,13,178.0,12
0,1,16289.0,5.0,0,140924,16,14575,4,61.0,1,13,28,0,7005,38.0,11,177.0,9
0,26,54389.0,19838.0,29,167799,17,60035,4,,14,20,15,29,76732,10072.0,7,,22
1,17,19255.0,3891.0,12,140196,4,32532,0,71.0,6,11,26,11,11292,716.0,10,183.0,4
0,16,47066.0,16881.0,24,140633,31,59614,1,,21,8,6,24,32178,2530.0,13,175.0,16
0,4,52879.0,19448.0,21,132428,20,73817,4,,25,24,22,20,71390,7695.0,2,184.0,21
0,12,43391.0,7948.0,30,139845,11,59022,4,71.0,10,30,9,30,61694,865.0,5,179.0,3
0,14,65252.0,24151.0,11,179224,2,101658,3,,31,16,29,10,95087,27278.0,8,,22
0,9,50824.0,18498.0,8,138830,29,63841,0,72.0,23,15,20,7,58906,16154.0,3,187.0,8
0,28,8424.0,6784.0,23,140342,1,45024,2,82.0,11,21,16,22,18093,1007.0,13,188.0,15
1,11,,10151.0,26,140061,30,47796,4,,16,19,17,26,22176,1972.0,13,,17
0,14,65252.0,24151.0,11,179224,2,101658,3,,31,16,29,10,95087,27278.0,8,,22
0,0,47767.0,18714.0,5,137724,21,68950,1,58.0,24,26,7,4,38737,16752.0,11,169.0,18
