StrandOrientation,GenomicStartPosition,GeneDbId,GeneClassification,GenomicEndPosition
1,447142,85,1,447558
0,7647,80,1,9446
0,2763,72,0,5255
0,993237,12,1,994934
1,2112008,4,1,2113129
1,338613,95,1,339503
0,570902,58,1,571876
0,445976,57,1,446968
0,745645,59,0,747945
0,74,76,0,415
0,34403,82,1,34900
1,1567459,33,0,1568049
0,795886,74,1,796821
1,752246,23,1,752839
1,1050087,91,1,1050401
1,434554,7,0,434997
0,786539,68,1,787501
1,513210,84,0,514049
1,1786159,47,1,1786875
0,766081,26,1,767190
0,154171,89,1,155295
0,14209,15,0,14817
0,73803,20,1,74492
1,1036476,92,1,1037381
0,1751281,6,1,1751697
0,309811,36,1,310242
1,1077569,0,1,1078009
0,808633,66,1,810033
0,523744,28,1,524283
0,1574483,48,1,1575106
0,795304,67,1,796791
1,1225625,42,1,1226536
0,291777,49,0,292232
1,519183,86,1,520133
1,1,44,0,579
0,1605162,78,1,1605890
1,1284860,41,1,1285729
0,736090,46,1,738027
1,623469,24,1,624101
1,4343,13,0,6256
1,1996,40,1,3678
0,414870,8,0,415202
0,456034,37,1,456990
1,24623,55,1,26464
0,43105,64,0,43740
0,555500,27,0,556441
0,301999,34,1,302448
0,408633,94,0,409340
1,11517,88,0,14261
1,68592,90,0,69017
1,1642802,31,1,1643722
1,84111,19,1,84542
1,1541,11,0,2665
1,1179752,77,1,1180888
0,309383,53,0,309976
1,2,61,0,598
0,875551,52,0,876723
1,1444765,21,1,1445532
1,828978,3,1,829655
1,471,81,1,1493
1,1114712,69,1,1115404
1,715,10,1,2418
1,404846,51,1,405646
0,1735636,71,0,1735953
0,1067248,79,1,1067748
1,2025506,9,0,2026309
1,1,18,1,483
0,1734645,70,0,1735532
1,646296,5,1,647282
0,886754,87,1,888037
1,17574,63,0,18905
0,702091,65,1,703062
0,1021316,56,1,1021876
1,2239,62,1,3924
0,286817,35,0,287968
0,775092,25,1,776048
1,14755,43,1,15756
0,231249,29,1,232541
0,458618,75,0,459577
1,74263,1,1,75990
0,155782,97,1,156954
1,388238,83,1,389254
0,11726,17,0,12112
1,1521,14,0,3821
0,1680060,32,1,1680779
1,9516,45,0,11816
1,570709,73,1,571767
1,1658077,30,1,1658775
0,1429318,22,1,1430208
0,24,96,1,1217
1,143469,60,1,145136
1,828224,2,0,828817
0,407363,93,1,408301
0,2,39,1,1000
0,457121,38,0,457660
1,1621,50,1,2307
0,321357,54,1,322283
0,11321,16,0,11716
