GeneSubclass,GeneType,GenomicStartPosition,StrandOrientation,GeneLabel,EncodedProtein,GeneDbId,OrthologousGene,GenomicEndPosition
1,1,1159709,0,344,3,344,56,1160395
1,1,17649,0,401,3,401,156,18293
0,0,6637,0,132,4,132,25,7200
0,0,54438,0,356,4,356,101,55025
0,0,1463646,0,86,4,86,97,1464254
0,0,494134,1,199,4,199,14,494817
0,0,2015537,0,326,4,326,63,2016292
0,0,8128,0,385,4,385,91,9057
0,0,3962,0,130,4,130,131,4555
0,0,682675,0,96,4,96,58,683253
1,1,844098,0,365,3,365,113,844685
1,1,111971,0,398,1,398,38,112468
0,0,4217,0,337,4,337,140,4870
0,0,1954,0,260,4,260,131,2682
0,0,158113,0,17,4,17,1,158502
0,0,1955171,0,329,4,329,160,1955674
0,0,755460,1,97,4,97,97,756041
0,0,1367977,1,306,4,306,76,1368555
0,0,1486369,1,90,4,90,29,1487064
1,1,43754,1,297,3,297,122,44362
0,0,264339,0,254,4,254,5,265007
0,0,128075,0,413,2,413,7,128464
0,0,1920904,1,106,4,106,58,1921473
0,0,458125,0,349,4,349,100,458814
0,0,316059,0,368,4,368,47,316703
0,0,548190,0,221,2,221,42,548591
0,0,1603452,0,114,4,114,76,1604078
0,0,84681,0,59,4,59,77,85370
0,0,16820,0,257,4,257,44,17407
0,0,1032920,0,294,4,294,167,1033564
1,1,1738420,0,26,3,26,42,1738968
0,0,6162,1,376,4,376,90,6677
0,0,277438,1,217,4,217,157,278070
0,0,1730895,0,333,4,333,58,1731530
0,0,514617,0,202,4,202,66,515441
0,0,567310,0,378,2,378,89,567879
0,0,9749,0,124,4,124,44,10321
0,0,1685914,0,110,4,110,97,1686468
0,0,6979,0,225,4,225,44,7629
0,0,1004,0,353,4,353,105,1645
0,0,376393,1,53,4,53,150,376974
1,1,807330,1,23,3,23,118,807869
0,0,430704,0,424,4,424,144,431207
0,0,39237,1,50,4,50,44,39701
0,0,306524,0,255,4,255,14,307213
0,0,129,1,44,4,44,127,782
0,0,1132212,1,314,4,314,58,1132814
0,0,35642,1,70,4,70,64,36247
0,0,170208,1,66,4,66,32,170789
0,0,716974,1,266,4,266,123,717564
0,0,1637185,1,112,4,112,58,1637787
0,0,487330,0,166,4,166,150,487905
1,1,627354,1,180,3,180,66,628319
0,0,1931470,0,105,4,105,97,1932015
0,0,1341,0,38,4,38,72,2027
0,0,1743146,0,332,4,332,58,1743790
0,0,520573,0,203,4,203,113,521226
0,0,1117975,1,316,4,316,152,1118634
1,1,347313,0,16,3,16,9,347837
0,0,250097,0,320,4,320,157,250738
0,0,1004,1,2,4,2,166,1579
0,0,578253,0,74,4,74,115,578960
0,0,552180,1,141,4,141,163,552848
0,0,51491,0,261,4,261,131,52129
1,1,18480,1,377,3,377,32,19103
0,0,4128,0,253,4,253,39,4829
0,0,602248,1,234,4,234,15,603114
0,0,435816,0,10,4,10,27,436400
0,0,1148204,0,407,4,407,35,1148872
0,0,338926,0,220,4,220,83,339516
0,0,1580900,1,210,4,210,85,1581481
0,0,1080440,1,403,4,403,169,1081012
0,0,15015,0,341,4,341,21,15668
0,0,5874,1,300,4,300,150,6518
0,0,32291,1,18,4,18,48,33001
0,0,526817,1,426,4,426,129,527500
0,0,668282,1,145,4,145,78,668902
0,0,1994529,0,212,4,212,149,1995197
0,0,216122,0,319,4,319,143,216763
0,0,595866,0,156,4,156,136,596495
0,0,415541,0,380,4,380,65,416038
1,1,462885,1,99,3,99,80,463493
0,0,13402,1,391,4,391,153,14001
1,1,384969,0,19,3,19,56,385637
0,0,626603,1,98,4,98,84,627298
0,0,1489,1,386,2,386,88,1845
0,0,374536,1,120,4,120,26,375081
0,0,1472456,0,85,4,85,28,1473130
0,0,1133424,1,405,4,405,49,1134002
0,0,444042,0,30,4,30,111,444695
