Nationality,ProfileImage,BirthDate,CycleBaseCyclistId,CqRankingMaleCyclistId,LastName,FirstName,FirstCyclingRiderId,HeightCm,CommonsCategory,TeamAffiliation,ProCyclingStatsCyclistId,BirthPlace,UciRiderId,CyclingArchivesCyclistId
4,5,2,7522,2338,1,5,477,179,5,6,140519,8,24499.0,10562
1,3,3,16313,3333,8,4,150,181,4,1,140752,5,44513.0,18746
6,6,7,26009,12193,7,7,784,184,7,2,140797,9,54603.0,30229
3,4,9,50317,18455,2,1,6230,175,1,0,138294,1,68778.0,61900
1,8,6,38789,10148,9,6,2317,179,6,7,140664,4,53516.0,17951
2,0,5,19479,8649,3,0,791,182,0,4,140208,6,54831.0,22615
0,1,0,10506,32,5,2,469,182,2,3,117828,7,12922.0,5814
5,2,4,19245,3460,4,3,51,176,3,7,140790,0,32248.0,16377
8,7,8,28088,12276,6,9,800,197,9,1,140886,2,59339.0,31595
7,9,1,3516,1303,0,8,271,190,8,5,140584,3,,12756
