Profession,ProfileImage,BirthDate,CycleBaseCyclistId,CqRankingMaleCyclistId,LastName,FirstName,FirstCyclingRiderId,HeightCm,CommonsCategory,ProCyclingStatsCyclistId,BirthPlace,CyclistName,UciRiderId,CyclistDescription,CyclingArchivesCyclistId
0,0,9,66490.0,,8,4,50933.0,1.87,3,188791,12,4,101769,4,114741.0
0,5,1,,,10,14,,,7,178298,6,14,90493,0,87867.0
0,8,2,58495.0,22516.0,7,2,16783.0,181.0,1,168779,13,2,86813,2,78350.0
0,5,12,,,1,9,78803.0,,7,209616,8,9,227565,5,
0,5,15,68787.0,30636.0,12,1,93288.0,,7,215939,10,1,226805,5,125022.0
0,5,11,,28189.0,5,13,69827.0,,7,205750,11,13,109565,1,108930.0
0,1,0,,21238.0,11,11,16811.0,178.0,8,132431,4,11,79514,10,80578.0
0,2,5,65955.0,26396.0,10,15,41293.0,186.0,9,189441,0,15,92304,3,110201.0
0,5,13,,,6,10,95129.0,,7,216756,8,10,631079,8,150933.0
0,9,4,49495.0,23426.0,4,3,37748.0,181.0,2,177246,3,3,87061,5,88470.0
0,5,6,,,0,7,58251.0,183.0,7,193726,9,7,95475,10,98446.0
0,4,8,,24961.0,10,8,37756.0,176.0,6,186405,1,8,101735,6,101474.0
0,6,7,66653.0,27315.0,2,5,37359.0,172.0,4,186431,7,5,110444,7,99024.0
0,7,10,,28641.0,9,0,65033.0,185.0,0,202338,2,0,156896,1,106043.0
0,5,14,,,10,12,95518.0,,7,216906,8,12,649412,1,
0,3,3,65209.0,23425.0,3,6,27230.0,179.0,5,176686,5,6,100233,9,87208.0
