Profession,ProfileImage,BirthDate,CycleBaseCyclistId,CqRankingMaleCyclistId,LastName,FirstName,FirstCyclingRiderId,HeightCm,CommonsCategory,GoogleKnowledgeGraphId,ProCyclingStatsCyclistId,BirthPlace,CyclistName,UciRiderId,CyclingDiscipline,CyclistDescription,CyclingArchivesCyclistId
0,9,9,71992.0,26637.0,4,6,61988,176.0,6,1,201838,4,7,111683,1,0,125323
0,2,10,82827.0,30643.0,6,8,97547,184.0,9,6,217465,7,9,227110,1,4,151350
0,7,5,65955.0,26396.0,8,11,41293,186.0,11,0,189441,1,12,92304,1,3,110201
0,1,11,,,10,7,96312,,7,5,239223,3,8,221617,2,7,137570
0,5,1,27804.0,15286.0,0,5,5273,170.0,5,9,137756,11,6,55839,1,10,39975
0,8,7,,26392.0,9,4,45363,176.0,4,2,193131,6,5,148275,1,1,89152
0,10,12,,,5,9,127939,,8,7,259695,10,10,199947,1,8,166006
0,11,2,41076.0,13362.0,1,10,3277,177.0,10,9,139405,12,11,65995,2,5,51551
0,0,4,56070.0,20777.0,8,3,18575,180.0,3,8,179769,5,4,86568,2,2,79781
0,6,6,69671.0,28448.0,7,2,53489,191.0,2,3,197781,2,3,152803,0,1,101978
0,4,8,,26965.0,3,0,71333,176.0,1,4,206730,0,1,162997,1,6,128820
0,10,0,,2762.0,8,1,9030,,8,9,138150,9,2,30887,0,11,10624
0,3,3,52038.0,20697.0,2,0,20584,180.0,0,9,156131,8,0,86630,1,9,68186
