Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,1474,51,50,9,10,24,0
1,107750,139,138,9,59,106153,0
0,4728447,70,69,8,24,4728247,1
0,673514,116,115,7,11,671973,1
1,113223,159,158,9,13,111766,0
1,2963001,153,152,9,13,2961642,0
0,98113,61,60,11,24,96665,1
0,234927,104,103,7,4,233464,1
0,3074,32,32,7,2,1527,1
1,106612,3,3,9,50,106202,1
1,194108,16,16,9,52,192547,1
1,38437,136,135,9,48,36916,0
0,1673892,128,127,0,45,1672390,1
1,22525,1,1,9,59,20999,1
1,4097911,86,85,9,20,4096637,0
1,13747,45,44,10,1,12274,0
1,4696555,91,90,4,39,4695357,0
1,55488,42,41,9,0,53963,1
1,6514,24,24,9,17,4976,1
1,1176353,118,117,9,21,1175359,1
1,397,21,21,9,8,120,0
1,222454,162,161,9,43,222215,0
0,1338858,62,61,8,58,1337821,0
0,140801,161,160,7,38,139203,0
0,3300734,67,66,7,24,3299619,0
1,43444,100,99,13,22,41978,0
0,4811681,74,73,7,24,4810350,1
1,1190683,120,119,9,55,1189121,1
1,1134,49,48,9,57,394,1
1,2751752,65,64,7,27,2750562,0
0,4592637,87,86,7,53,4591225,0
1,158094,102,101,9,22,156706,1
1,147872,14,14,9,52,146312,1
0,4790735,73,72,8,58,4789134,1
1,34085,99,98,11,22,32568,0
1,3088628,157,156,9,13,3087307,1
0,26455,57,56,11,58,24893,1
1,10376,56,55,6,27,9589,1
1,2557165,142,141,9,43,2556965,1
1,2991723,155,154,9,43,2990299,1
0,96632,121,120,7,34,95058,0
1,1583995,122,121,9,35,1582390,1
0,4918348,77,76,8,58,4916846,1
1,4070879,85,84,9,24,4070196,0
1,4769841,92,91,3,39,4768519,0
1,1554901,132,131,9,6,1553302,1
1,87159,60,59,11,15,85747,1
0,4109268,68,67,7,24,4108888,0
1,2842847,151,150,9,13,2842087,1
0,28198,38,37,7,38,26588,0
0,593688,113,112,7,4,592108,1
1,135030,13,13,9,52,133507,0
1,13271,47,46,9,18,11830,0
0,2161844,64,63,7,24,2161053,0
0,138222,160,159,8,38,136702,0
1,32771,50,49,9,57,31464,0
1,120397,12,12,9,52,118489,0
0,1783574,129,128,0,3,1782018,0
0,47692,58,57,11,40,46340,1
1,12451,46,45,9,19,11360,1
0,1629760,126,125,7,3,1628255,1
0,1799779,63,62,0,58,1798304,1
1,2775177,146,145,9,43,2774642,1
1,4866989,95,94,1,39,4866255,1
1,167770,15,15,9,52,166233,1
1,4815043,94,93,2,39,4813653,1
0,126989,140,139,8,12,125412,0
0,31216,39,38,8,54,29741,1
1,3085393,156,155,9,43,3083824,1
1,18623,36,162,9,49,18300,1
1,10546,20,20,9,19,9201,1
0,40024,6,6,7,36,38597,1
1,5571,33,33,9,49,4160,1
1,117932,4,4,9,50,116413,1
1,24394,7,7,9,31,23117,0
1,335414,108,107,9,22,333937,1
0,10563,52,51,7,56,9100,1
0,4877715,76,75,8,24,4876315,1
1,4685459,90,89,1,39,4683882,1
0,76678,59,58,11,24,74915,1
0,4782124,72,71,8,58,4781585,1
1,2810144,150,149,9,25,2809842,1
1,244383,106,105,9,22,242828,1
1,11536,9,9,9,42,10562,0
1,189308,103,102,9,22,187760,0
1,56392,10,10,9,42,54844,0
0,682801,117,116,8,4,681272,1
0,616961,114,113,7,11,615417,1
1,56811,2,2,9,59,55260,1
1,4875012,97,96,5,39,4874521,1
1,1565816,124,123,9,7,1564291,1
0,4776857,71,70,8,58,4776225,1
1,4912,19,19,9,19,4080,1
0,4967327,78,77,7,24,4966602,1
1,34744,158,157,9,43,33178,0
1,21634,30,30,10,24,20639,0
0,4874210,75,74,7,24,4872705,1
1,4626801,88,87,3,46,4625572,0
0,1579460,125,124,8,45,1577859,1
1,2790703,147,146,9,13,2789186,1
0,4803585,93,92,8,53,4802227,1
1,582162,112,111,9,1,580638,1
1,13354,34,34,9,29,11827,1
1,13439,25,25,9,44,11985,0
1,41821,41,40,9,0,40324,1
0,5282553,80,79,7,24,5281459,0
1,1518492,123,122,9,7,1516971,1
0,2882434,66,65,8,24,2880989,0
0,1789201,130,129,0,3,1788008,0
1,2900714,152,151,9,43,2899262,1
1,45373,137,136,9,59,43850,0
1,1639048,127,126,9,9,1637475,1
1,12732,29,29,10,42,11219,1
1,16779,35,35,9,49,15187,1
1,35078,135,134,9,59,33526,0
0,1792811,131,130,0,3,1791306,0
0,2586486,143,142,8,28,2584942,0
0,23403,31,31,7,37,22009,1
1,4496,23,23,9,32,3127,1
1,511211,111,110,3,1,509571,1
0,4064628,83,82,0,62,4063192,0
1,6249,27,27,9,44,4591,0
1,15374,54,53,9,3,14245,0
1,660088,115,114,9,22,658460,1
1,2436,18,18,9,25,1291,1
1,56650,37,36,9,49,55175,1
0,47277,43,42,8,46,45691,0
