Gene_Subclass,Gene_Type,Genomic_Start_Position,Strand_Orientation,Gene_Label,Encoded_Protein,Gene_Db_Id,Genomic_End_Position
1,1,24,0,49,9,50,1474
1,1,33178,0,157,9,158,34744
0,0,4776225,1,71,8,72,4776857
0,0,681272,1,116,8,117,682801
1,1,190928,0,161,9,162,192280
1,1,2990299,1,154,9,155,2991723
0,0,124904,1,62,11,63,126298
0,0,233464,1,105,7,106,234927
0,0,26588,0,36,7,37,28198
1,1,116413,1,4,9,4,117932
1,1,192547,1,16,9,16,194108
1,1,43850,0,136,9,137,45373
0,0,1672390,1,127,0,128,1673892
1,1,55260,1,2,9,2,56811
1,1,32568,0,99,11,100,34085
1,1,12274,0,43,10,44,13747
1,1,4721453,1,91,9,92,4722977
1,1,53963,1,40,9,41,55488
1,1,4976,1,23,9,23,6514
1,1,1180816,1,118,9,119,1182456
1,1,120,0,21,9,21,397
1,1,266604,0,140,9,141,268059
0,0,1798304,1,64,0,65,1799779
0,0,139203,0,160,7,161,140801
0,0,4108888,0,68,7,69,4109268
1,1,145692,1,101,9,102,147206
0,0,4872705,1,75,7,76,4874210
1,1,53031,0,120,9,121,54617
1,1,394,1,47,9,48,1134
1,1,5468462,0,55,9,56,5469370
0,0,4656557,0,88,7,89,4658068
1,1,187760,0,103,9,104,189308
1,1,146312,1,14,9,14,147872
0,0,4810350,1,74,7,75,4811681
1,1,41978,0,100,12,101,43444
1,1,4054376,0,83,9,84,4055896
0,0,46340,1,58,11,59,47692
1,1,85747,1,60,11,61,87159
1,1,2652725,1,143,9,144,2653794
1,1,3083824,1,155,9,156,3085393
0,0,95058,0,121,7,122,96632
1,1,1585925,1,122,9,123,1587516
0,0,4966602,1,78,7,79,4967327
1,1,4096637,0,86,9,87,4097911
1,1,4785032,1,92,6,93,4785610
1,1,1563723,1,132,9,133,1565211
1,1,924816,1,63,13,64,926246
0,0,4541535,0,69,7,70,4542881
1,1,2899262,1,151,9,152,2900714
0,0,29741,1,37,8,38,31216
0,0,592108,1,113,7,114,593688
1,1,133507,0,13,9,13,135030
1,1,11830,0,45,9,46,13271
0,0,2880989,0,66,8,67,2882434
0,0,136702,0,159,8,160,138222
1,1,31464,0,48,9,49,32771
1,1,118489,0,12,9,12,120397
0,0,1782018,0,128,0,129,1783574
0,0,74915,1,59,11,60,76678
1,1,11360,1,44,9,45,12451
0,0,1628255,1,125,7,126,1629760
0,0,2161053,0,65,7,66,2161844
1,1,2789186,1,146,9,147,2790703
1,1,4870365,1,95,1,96,4871690
1,1,166233,1,15,9,15,167770
1,1,4866255,1,94,1,95,4866989
0,0,125412,0,139,8,140,126989
0,0,45691,0,41,8,42,47277
1,1,3087307,1,156,9,157,3088628
1,1,18300,1,162,9,35,18623
1,1,9201,1,20,9,20,10546
0,0,38597,1,7,7,7,40024
1,1,4160,1,32,9,32,5571
1,1,119770,1,5,9,5,121323
1,1,9201,0,8,9,8,10341
1,1,363050,1,109,9,110,364495
0,0,4153,0,51,7,52,5667
0,0,4881942,1,77,8,78,4883498
1,1,4695357,0,90,4,91,4696555
0,0,96665,1,61,11,62,98113
0,0,4789134,1,73,8,74,4790735
1,1,2842087,1,150,9,151,2842847
1,1,333937,1,108,9,109,335414
1,1,10562,0,9,9,9,11536
1,1,207286,1,104,9,105,208752
1,1,54844,0,10,9,10,56392
0,0,24893,1,57,11,58,26455
0,0,615417,1,114,7,115,616961
1,1,106202,1,3,9,3,106612
1,1,4906250,1,97,3,98,4907622
1,1,1631685,1,126,9,127,1633265
0,0,4781585,1,72,8,73,4782124
1,1,4080,1,19,9,19,4912
0,0,4969470,1,79,7,80,4971029
1,1,92470,0,158,9,159,93783
1,1,20639,0,29,10,29,21634
0,0,4876315,1,76,8,77,4877715
1,1,4683882,1,89,1,90,4685459
0,0,1577859,1,124,8,125,1579460
1,1,2793789,0,147,9,148,2794118
0,0,17837,1,0,8,0,19432
1,1,658460,1,115,9,116,660088
1,1,11827,1,33,9,33,13354
1,1,11985,0,24,9,24,13439
1,1,40324,1,39,9,40,41821
0,0,5379008,0,81,7,82,5380636
1,1,1564291,1,123,9,124,1565816
0,0,3299619,0,67,7,68,3300734
0,0,1788008,0,129,0,130,1789201
1,1,2961642,0,152,9,153,2963001
1,1,69197,0,137,9,138,70716
1,1,1493022,1,131,9,132,1494614
1,1,11219,1,28,10,28,12732
1,1,15187,1,34,9,34,16779
1,1,36916,0,135,9,136,38437
0,0,1791306,0,130,0,131,1792811
0,0,2584942,0,142,8,143,2586486
0,0,1527,1,31,7,31,3074
1,1,3127,1,22,9,22,4496
1,1,544894,1,112,9,113,546312
0,0,4063192,0,84,0,85,4064628
1,1,1175359,1,117,9,118,1176353
1,1,14245,0,53,9,54,15374
1,1,585,1,56,11,57,1622
1,1,1291,1,18,9,18,2436
1,1,55175,1,35,9,36,56650
0,0,9100,1,50,7,51,10563
0,0,51710,1,1,8,1,53263
1,1,2809842,1,149,9,150,2810144
0,0,4591225,0,87,7,88,4592637
1,1,7965,1,52,9,53,9494
1,1,28997,0,17,9,17,29574
0,0,22009,1,30,7,30,23403
0,0,5281459,0,80,7,81,5282553
1,1,33526,0,134,9,135,35078
