SportType,HostCountry,ProCyclingStatsRaceId,StartLocation,EndLocation
1,6,210080.0,3,20
1,8,173373.0,14,14
1,8,173375.0,2,17
1,9,181431.0,13,18
1,8,173374.0,14,4
1,8,181883.0,21,10
1,8,173377.0,24,21
1,9,181430.0,23,18
1,10,256611.0,7,7
1,8,177341.0,14,21
1,5,247208.0,17,19
1,7,181338.0,12,13
1,8,181882.0,20,25
0,1,,25,22
1,11,279131.0,8,23
1,0,,4,1
1,3,180920.0,5,6
1,3,248213.0,22,9
1,2,270409.0,19,12
1,3,180917.0,9,24
1,2,270408.0,1,2
1,6,210079.0,3,5
1,4,256777.0,10,16
1,8,181886.0,20,11
1,0,,0,0
1,8,173376.0,18,21
1,8,181185.0,6,3
1,7,181337.0,11,13
1,8,181885.0,18,11
1,10,250966.0,16,8
1,5,290097.0,15,15
